A census of human transcription factors: function, expression and evolution
Juan M Vaquerizas, Sarah K Kummerfeld, Sarah A Teichmann, Nicholas M Luscombe

Supplementary Table 3
List of TF families and corresponding InterPro domains. InterPro domains were grouped on the basis of the InterPro parent-child relationships. TF that belong only to families with less than five TFs were classified as 'other'.

Last modified on Tuesday 10 Feb 2009 14:37

Downloaded from the Nature Reviews Genetics website: Downloaded from the Nature Reviews Genetics website: http://www.nature.com/nrg/journal/v10/n4/index.html 

--Table start--
TF family (abbreviation if applicable)	InterPro ID	Interpro description
Basic-leucine zipper (bZIP)	IPR004826	Maf transcription factor
Basic-leucine zipper (bZIP)	IPR004827	Basic-leucine zipper (bZIP) transcription factor
Basic-leucine zipper (bZIP)	IPR008917	Eukaryotic transcription factor, Skn-1-like, DNA-binding
Basic-leucine zipper (bZIP)	IPR011616	bZIP transcription factor, bZIP-1
Basic-leucine zipper (bZIP)	IPR011700	Basic leucine zipper
CP2 transcription factor (CP2)	IPR007604	CP2 transcription factor
DM	IPR001275	DM DNA-binding
DNA-binding Regulatory Factor X (RFX)	IPR003150	DNA-binding RFX
ETS	IPR000418	Ets
Forkhead	IPR001766	Transcription factor, fork head
Heat-shock factor (Heat shock)	IPR000232	Heat shock factor (HSF)-type, DNA-binding
Helix-loop-helix (HLH)	IPR011598	Helix-loop-helix DNA-binding
High mobility group (HMG)	IPR000135	High mobility group, HMG1/HMG2, subgroup
High mobility group (HMG)	IPR000637	HMG-I and HMG-Y, DNA-binding, conserved site
High mobility group (HMG)	IPR000910	High mobility group, HMG1/HMG2
High mobility group (HMG)	IPR009071	High mobility group, superfamily
High mobility group (HMG)	IPR015101	Region of unknown function DUF1898
Homeodomain	IPR000047	Helix-turn-helix motif, lambda-like repressor
Homeodomain	IPR000747	Homeobox engrailed-type protein
Homeodomain	IPR001005	SANT, DNA-binding
Homeodomain	IPR001356	Homeobox
Homeodomain	IPR001827	Homeobox protein, antennapedia type, conserved site
Homeodomain	IPR003350	Homeodomain protein CUT
Homeodomain	IPR009057	Homeodomain-like
Homeodomain	IPR012287	Homeodomain-related
Homeodomain	IPR014778	Myb, DNA-binding
Interferon regulatory factor (IRF)	IPR001346	Interferon regulatory factor
IPT/TIG	IPR002909	Cell surface receptor IPT/TIG
MAD	IPR001132	SMAD domain, Dwarfin-type
MAD	IPR003619	MAD homology 1, Dwarfin-type
MAD	IPR013019	MAD homology, MH1
MADs-box	IPR002100	Transcription factor, MADS-box
Nuclear hormone receptor (Nucl. Horm. Recep.)	IPR001103	Androgen receptor
Nuclear hormone receptor (Nucl. Horm. Recep.)	IPR001409	Glucocorticoid receptor
Nuclear hormone receptor (Nucl. Horm. Recep.)	IPR001628	Zinc finger, nuclear hormone receptor-type
Other	IPR000571	Zinc finger, CCCH-type
Other	IPR000967	Zinc finger, NF-X1-type
Other	IPR000972	Octamer-binding transcription factor
Other	IPR001321	Hypoxia-inducible factor-1 alpha, PAS fold
Other	IPR002059	Cold-shock protein, DNA-binding
Other	IPR003026	Transcription factor Otx1, C-terminal
Other	IPR003656	Zinc finger, BED-type predicted
Other	IPR003958	Transcription factor CBF/NF-Y/archaeal histone
Other	IPR005559	CG-1
Other	IPR005612	CCAAT-binding factor
Other	IPR006612	Zinc finger, C2CH-type
Other	IPR007889	Helix-turn-helix, Psq
Other	IPR009061	Putative DNA binding
Other	IPR010982	Lambda repressor-like, DNA-binding
Other	IPR011526	Helix-turn-helix, Psq-like
Other	IPR011991	Winged helix repressor DNA-binding
Other	IPR013681	Myelin transcription factor 1
Other	IPR015350	Beta-trefoil
p53	IPR002117	p53 tumour antigen
p53	IPR008967	p53-like transcription factor, DNA-binding"
p53	IPR011539	Rel homology
p53	IPR011615	p53, DNA-binding
p53	IPR012346	p53 and RUNT-type transcription factor, DNA-binding
p53	IPR013524	Acute myeloid leukemia 1 (AML 1)/Runt
p53	IPR015351	LAG1, DNA binding
p53	IPR015551	Cellular tumour antigen p53
POU	IPR000327	POU-specific
POU	IPR013847	POU
SAND	IPR000770	SAND
SAND	IPR010919	SAND-like
Signal Transducers and Activators of Transcription (STAT)	IPR012345	STAT transcription factor, DNA-binding, subdomain
Signal Transducers and Activators of Transcription (STAT)	IPR013801	STAT transcription factor, DNA-binding
Transcription factor AP-2 (AP2)	IPR013854	Transcription factor AP-2, C-terminal
Transcription factor E2F/dimerisation partner (TDP)	IPR003316	Transcription factor E2F/dimerisation partner (TDP)
Zinc finger - C2H2-type (ZNF-C2H2)	IPR007086	Zinc finger, C2H2-subtype
Zinc finger - C2H2-type (ZNF-C2H2)	IPR007087	Zinc finger, C2H2-type
Zinc finger - C2H2-type (ZNF-C2H2)	IPR015880	Zinc finger, C2H2-like
Zinc finger - GATA-type (ZNF-GATA)	IPR000679	Zinc finger, GATA-type
