A census of human transcription factors: function, expression and evolution
Juan M Vaquerizas, Sarah K Kummerfeld, Sarah A Teichmann, Nicholas M Luscombe

Supplementary Table 1
List of Interpro DNA-binding domains and families used to characterise the human TFs repertoire.

Last modified on Tuesday 10 Feb 2009 14:35

Downloaded from the Nature Reviews Genetics website: Downloaded from the Nature Reviews Genetics website: http://www.nature.com/nrg/journal/v10/n4/index.html 

--Table start--
Interpro ID	Type
IPR000005	domain
IPR000047	domain
IPR000135	domain
IPR000232	domain
IPR000281	domain
IPR000327	domain
IPR000418	domain
IPR000427	domain
IPR000524	domain
IPR000551	domain
IPR000571	domain
IPR000637	domain
IPR000679	domain
IPR000747	domain
IPR000770	domain
IPR000792	domain
IPR000843	domain
IPR000847	domain
IPR000910	domain
IPR000967	domain
IPR000972	domain
IPR001005	domain
IPR001034	domain
IPR001103	domain
IPR001132	domain
IPR001138	domain
IPR001275	domain
IPR001321	domain
IPR001346	domain
IPR001356	domain
IPR001387	domain
IPR001409	domain
IPR001471	domain
IPR001628	domain
IPR001647	domain
IPR001766	domain
IPR001808	domain
IPR001827	domain
IPR001845	domain
IPR001866	domain
IPR001867	domain
IPR002059	domain
IPR002100	domain
IPR002117	domain
IPR002145	domain
IPR002197	domain
IPR002577	domain
IPR002909	domain
IPR003026	domain
IPR003106	domain
IPR003150	domain
IPR003163	domain
IPR003176	domain
IPR003314	domain
IPR003316	domain
IPR003350	domain
IPR003441	domain
IPR003619	domain
IPR003656	domain
IPR003657	domain
IPR003711	domain
IPR003958	domain
IPR004333	domain
IPR004409	domain
IPR004826	domain
IPR004827	domain
IPR005206	domain
IPR005471	domain
IPR005559	domain
IPR005612	domain
IPR006199	domain
IPR006339	domain
IPR006447	domain
IPR006455	domain
IPR006578	domain
IPR006612	domain
IPR007050	domain
IPR007086	domain
IPR007087	domain
IPR007478	domain
IPR007492	domain
IPR007604	domain
IPR007737	domain
IPR007889	domain
IPR008917	domain
IPR008967	domain
IPR009021	domain
IPR009057	domain
IPR009061	domain
IPR009071	domain
IPR009718	domain
IPR010919	domain
IPR010921	domain
IPR010982	domain
IPR010985	domain
IPR010995	domain
IPR011526	domain
IPR011539	domain
IPR011598	domain
IPR011615	domain
IPR011616	domain
IPR011700	domain
IPR011991	domain
IPR012287	domain
IPR012318	domain
IPR012345	domain
IPR012346	domain
IPR012906	domain
IPR012909	domain
IPR013019	domain
IPR013159	domain
IPR013196	domain
IPR013198	domain
IPR013199	domain
IPR013318	domain
IPR013321	domain
IPR013524	domain
IPR013681	domain
IPR013741	domain
IPR013801	domain
IPR013847	domain
IPR013854	domain
IPR013972	domain
IPR014778	domain
IPR014875	domain
IPR014876	domain
IPR014884	domain
IPR014977	domain
IPR015101	domain
IPR015126	domain
IPR015175	domain
IPR015189	domain
IPR015191	domain
IPR015195	domain
IPR015241	domain
IPR015265	domain
IPR015280	domain
IPR015285	domain
IPR015318	domain
IPR015350	domain
IPR015351	domain
IPR015358	domain
IPR015551	domain
IPR015880	domain
IPR016032	domain
IPR016144	domain
IPR016177	domain
IPR000003	family
IPR000040	family
IPR000116	family
IPR000148	family
IPR000324	family
IPR000451	family
IPR000485	family
IPR000580	family
IPR000625	family
IPR000647	family
IPR000655	family
IPR000818	family
IPR000831	family
IPR000835	family
IPR000976	family
IPR001067	family
IPR001083	family
IPR001217	family
IPR001289	family
IPR001367	family
IPR001630	family
IPR001669	family
IPR001699	family
IPR001723	family
IPR001728	family
IPR001801	family
IPR002070	family
IPR002084	family
IPR002112	family
IPR002409	family
IPR002418	family
IPR002481	family
IPR002571	family
IPR002634	family
IPR002910	family
