Regulon	Size	NES	p.value	FDR	Ledge
GMEB2	GMEB2	11212	4.34	1.42e-05	0.00237	TUBA1C, RPGR, TUBA1B, RPS15, + 6045 genes
ZNF668	ZNF668	10910	4.24	2.28e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 9032 genes
SLC11A1	SLC11A1	10490	4.15	3.37e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 5948 genes
INHBA	INHBA	9891	4.12	3.73e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8538 genes
ZDHHC7	ZDHHC7	10781	4.11	3.91e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 7912 genes
ZNF142	ZNF142	5280	4.09	4.4e-05	0.00237	TUBA1C, RPGR, TUBA1B, RPS15, + 2602 genes
PHB2	PHB2	11437	4.05	5.02e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 9731 genes
CIZ1	CIZ1	11620	3.98	6.83e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8528 genes
TRRAP	TRRAP	10692	3.97	7.19e-05	0.00237	TUBA1C, RPGR, TUBA1B, RPS15, + 7445 genes
VPS72	VPS72	10235	3.95	7.7e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8150 genes
SIGIRR	SIGIRR	11795	3.94	8e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8776 genes
ZMYM6	ZMYM6	9374	3.94	8.24e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 7214 genes
TICAM1	TICAM1	9662	3.94	8.25e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8332 genes
JMJD6	JMJD6	11086	3.93	8.59e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8606 genes
NCOR1	NCOR1	8918	3.92	8.77e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 5775 genes
ASXL1	ASXL1	11576	3.91	9.24e-05	0.00237	TUBA1C, TUBA1B, RPS15, RPS2, + 6688 genes
SREBF1	SREBF1	12206	3.91	9.36e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 7942 genes
RING1	RING1	12139	3.9	9.66e-05	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8973 genes
DEAF1	DEAF1	11207	3.89	1e-04	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 8446 genes
HIF1AN	HIF1AN	10640	3.87	0.000108	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 6347 genes
C14orf169	C14orf169	11950	3.87	0.000109	0.00237	TUBA1C, RPGR, TUBA1B, SCN3A, + 7122 genes
