lista	Regulon	Size	NES	p.value	FDR
hugo100mrs	PARP1	11026	4.04	5.46E-05	0.00274
hugo100mrs	HLA-A	11426	4	6.31E-05	0.00274
hugo100mrs	SREBF1	12206	3.9	9.61E-05	0.00274
hugo100mrs	DAP	11247	3.89	0.000101	0.00274
hugo100mrs	IRF9	10924	3.89	0.000102	0.00274
hugo100mrs	ACP5	10742	3.89	0.000102	0.00274
hugo100mrs	NCOR1	8918	3.88	0.000104	0.00274
hugo100mrs	IRF7	11341	3.88	0.000106	0.00274
hugo100mrs	HLA-C	11658	3.86	0.000112	0.00274
hugo100mrs	PDLIM1	10583	3.86	0.000114	0.00274
hugo100mrs	RPS19	11578	3.85	0.00012	0.00274
hugo100mrs	ZBTB17	11578	3.84	0.000121	0.00274
hugo100mrs	E4F1	11843	3.84	0.000122	0.00274
hugo100mrs	RBM9	10792	3.83	0.000127	0.00274
hugo100mrs	ZKSCAN4	4975	3.83	0.00013	0.00274
hugo100mrs	SUPT6H	11963	3.83	0.000131	0.00274
hugo100mrs	MYH9	12069	3.83	0.000131	0.00274
hugo100mrs	PDCD11	11966	3.82	0.000132	0.00274
hugo100mrs	HCFC1	12097	3.82	0.000133	0.00274
hugo100mrs	REXO4	10527	3.81	0.000137	0.00274
hugo100mrs	JUNB	12603	3.8	0.000143	0.00274
hugo100mrs	CREB3L2	11179	3.8	0.000145	0.00274
hugo100mrs	DNMT1	11698	3.8	0.000146	0.00274
hugo100mrs	HIST1H3G	11686	3.8	0.000146	0.00274
hugo100mrs	KDM1	11538	3.8	0.000147	0.00274
hugo100mrs	NOTCH1	10712	3.79	0.000151	0.00274
hugo100mrs	LASS2	11893	3.78	0.000157	0.00274
hugo100mrs	HIST1H2BD	9925	3.76	0.000167	0.00274
hugo100mrs	NOLC1	10334	3.75	0.000174	0.00274
hugo100mrs	ATF4	11326	3.75	0.000177	0.00274
hugo100mrs	FLNA	12364	3.75	0.000177	0.00274
hugo100mrs	FOXO3	10834	3.74	0.00018	0.00274
hugo100mrs	TRIM28	12269	3.74	0.000184	0.00274
hugo100mrs	TRIB1	9410	3.73	0.000189	0.00274
hugo100mrs	CEBPB	11618	3.73	0.000189	0.00274
hugo100mrs	SUB1	11528	3.73	0.000193	0.00274
hugo100mrs	TFCP2	9754	3.73	0.000193	0.00274
hugo100mrs	FOXK2	9568	3.72	2.00E-04	0.00274
hugo100mrs	TAF10	10540	3.72	0.000202	0.00274
hugo100mrs	SPG7	11293	3.72	0.000203	0.00274
hugo100mrs	PFDN5	12596	3.71	0.000205	0.00274
hugo100mrs	NCOA1	11454	3.71	0.000206	0.00274
hugo100mrs	RPL27	10864	3.7	0.000211	0.00274
hugo100mrs	CREB3	11070	3.69	0.000225	0.00274
hugo100mrs	TPT1	11910	3.68	0.000229	0.00274
hugo100mrs	PITX1	10425	3.68	0.000235	0.00274
hugo100mrs	CSDA	10764	3.67	0.000239	0.00274
hugo100mrs	HNRNPK	11681	3.67	0.000246	0.00274
hugo100mrs	HDAC5	11485	3.65	0.00026	0.00274
hugo100mrs	USP7	11405	3.64	0.000274	0.00274
hugo100mrs	ZNF33B	10136	-3.65	0.000265	0.00274
hugo100mrs	DLX2	11194	-3.65	0.000264	0.00274
hugo100mrs	ZNF135	9447	-3.65	0.000264	0.00274
hugo100mrs	ZNF175	11793	-3.65	0.000262	0.00274
hugo100mrs	CSRNP3	9934	-3.65	0.00026	0.00274
hugo100mrs	HLF	11649	-3.68	0.000235	0.00274
hugo100mrs	ZNF639	3531	-3.68	0.000231	0.00274
hugo100mrs	HOXA1	12068	-3.68	0.00023	0.00274
hugo100mrs	IRX4	10819	-3.69	0.000228	0.00274
hugo100mrs	LOC100130354	10848	-3.69	0.000226	0.00274
hugo100mrs	KDM4C	11129	-3.69	0.000222	0.00274
hugo100mrs	SOX30	10917	-3.7	0.000216	0.00274
hugo100mrs	BNC1	11480	-3.7	0.000214	0.00274
hugo100mrs	ST18	11215	-3.7	0.000212	0.00274
hugo100mrs	DMRT1	11323	-3.7	0.000212	0.00274
hugo100mrs	RREB1	11544	-3.76	0.000173	0.00274
hugo100mrs	RFX4	10672	-3.76	0.00017	0.00274
hugo100mrs	SATB2	10330	-3.77	0.000163	0.00274
hugo100mrs	ESR2	11154	-3.77	0.000162	0.00274
hugo100mrs	ZKSCAN5	10789	-3.77	0.000162	0.00274
hugo100mrs	SNAPC5	11879	-3.78	0.000159	0.00274
hugo100mrs	MSX2	11124	-3.78	0.000156	0.00274
hugo100mrs	SIM1	10448	-3.79	0.00015	0.00274
hugo100mrs	MYT1L	11194	-3.8	0.000146	0.00274
hugo100mrs	FOXE1	10917	-3.8	0.000142	0.00274
hugo100mrs	ELSPBP1	11224	-3.81	0.000141	0.00274
hugo100mrs	MYST2	9967	-3.81	0.000138	0.00274
hugo100mrs	MYB	8221	-3.82	0.000134	0.00274
hugo100mrs	SCAND2	10836	-3.84	0.000121	0.00274
hugo100mrs	HNF1A	11565	-3.85	0.00012	0.00274
hugo100mrs	DAXX	10808	-3.85	0.000116	0.00274
hugo100mrs	FOXL1	11107	-3.87	0.000108	0.00274
hugo100mrs	POU4F1	11991	-3.88	0.000103	0.00274
hugo100mrs	ZNF157	10980	-3.9	9.57E-05	0.00274
hugo100mrs	MEOX2	11129	-3.9	9.54E-05	0.00274
hugo100mrs	HESX1	11172	-3.91	9.17E-05	0.00274
hugo100mrs	H2AFJ	8038	-3.93	8.62E-05	0.00274
hugo100mrs	HIST1H2AL	10431	-3.93	8.50E-05	0.00274
hugo100mrs	BLZF1	11238	-3.93	8.43E-05	0.00274
hugo100mrs	TAF9B	9114	-3.94	8.30E-05	0.00274
hugo100mrs	PTH	10447	-3.95	7.91E-05	0.00274
hugo100mrs	FUT1	7520	-3.95	7.78E-05	0.00274
hugo100mrs	ZNF80	9708	-3.95	7.70E-05	0.00274
hugo100mrs	SOX3	10825	-3.98	6.90E-05	0.00274
hugo100mrs	ALS2CR8	10454	-3.98	6.82E-05	0.00274
hugo100mrs	DR1	11023	-4.01	6.18E-05	0.00274
hugo100mrs	TLE4	11159	-4.09	4.23E-05	0.00274
hugo100mrs	ZFX	8187	-4.16	3.13E-05	0.00274
hugo100mrs	POU2F3	5621	-4.24	2.23E-05	0.00274
hugo100mrs	C2orf3	8859	-4.34	1.40E-05	0.00274
ShAtop100mrs	GMEB2	11212	4.34	1.42E-05	0.00237
ShAtop100mrs	ZNF668	10910	4.24	2.28E-05	0.00237
ShAtop100mrs	SLC11A1	10490	4.15	3.37E-05	0.00237
ShAtop100mrs	INHBA	9891	4.12	3.73E-05	0.00237
ShAtop100mrs	ZDHHC7	10781	4.11	3.91E-05	0.00237
ShAtop100mrs	ZNF142	5280	4.09	4.40E-05	0.00237
ShAtop100mrs	PHB2	11437	4.05	5.02E-05	0.00237
ShAtop100mrs	CIZ1	11620	3.98	6.83E-05	0.00237
ShAtop100mrs	TRRAP	10692	3.97	7.19E-05	0.00237
ShAtop100mrs	VPS72	10235	3.95	7.70E-05	0.00237
ShAtop100mrs	SIGIRR	11795	3.94	8.00E-05	0.00237
ShAtop100mrs	ZMYM6	9374	3.94	8.24E-05	0.00237
ShAtop100mrs	TICAM1	9662	3.94	8.25E-05	0.00237
ShAtop100mrs	JMJD6	11086	3.93	8.59E-05	0.00237
ShAtop100mrs	NCOR1	8918	3.92	8.77E-05	0.00237
ShAtop100mrs	ASXL1	11576	3.91	9.24E-05	0.00237
ShAtop100mrs	SREBF1	12206	3.91	9.36E-05	0.00237
ShAtop100mrs	RING1	12139	3.9	9.66E-05	0.00237
ShAtop100mrs	DEAF1	11207	3.89	1.00E-04	0.00237
ShAtop100mrs	HIF1AN	10640	3.87	0.000108	0.00237
ShAtop100mrs	C14orf169	11950	3.87	0.000109	0.00237
ShAtop100mrs	PNN	11485	3.87	0.00011	0.00237
ShAtop100mrs	SMARCD2	10914	3.86	0.000111	0.00237
ShAtop100mrs	IRF9	10924	3.86	0.000111	0.00237
ShAtop100mrs	IRF7	11341	3.86	0.000115	0.00237
ShAtop100mrs	SUPT6H	11963	3.85	0.000117	0.00237
ShAtop100mrs	PPRC1	10482	3.85	0.000118	0.00237
ShAtop100mrs	ZBTB17	11578	3.84	0.000122	0.00237
ShAtop100mrs	TRIB3	10895	3.84	0.000123	0.00237
ShAtop100mrs	PDLIM1	10583	3.84	0.000124	0.00237
ShAtop100mrs	REXO4	10527	3.83	0.000127	0.00237
ShAtop100mrs	E4F1	11843	3.83	0.000127	0.00237
ShAtop100mrs	PYCARD	11250	3.83	0.000128	0.00237
ShAtop100mrs	SUPT16H	7674	3.83	0.00013	0.00237
ShAtop100mrs	CREB3L2	11179	3.82	0.000131	0.00237
ShAtop100mrs	COBRA1	11110	3.82	0.000132	0.00237
ShAtop100mrs	ZNF428	11843	3.81	0.000137	0.00237
ShAtop100mrs	HMGN2	11139	3.81	0.000137	0.00237
ShAtop100mrs	FLII	10815	3.81	0.000138	0.00237
ShAtop100mrs	ZKSCAN4	4975	3.81	0.000139	0.00237
ShAtop100mrs	HCFC1	12097	3.81	0.000139	0.00237
ShAtop100mrs	JUNB	12602	3.81	0.000139	0.00237
ShAtop100mrs	C17orf81	8687	3.8	0.000142	0.00237
ShAtop100mrs	ENG	11718	3.8	0.000143	0.00237
ShAtop100mrs	CTNNBIP1	10889	3.8	0.000143	0.00237
ShAtop100mrs	NOTCH1	10712	3.8	0.000145	0.00237
ShAtop100mrs	IL2	10892	-3.8	0.000144	0.00237
ShAtop100mrs	PBRM1	10500	-3.8	0.000143	0.00237
ShAtop100mrs	FOXE1	10916	-3.81	0.000142	0.00237
ShAtop100mrs	ZNF586	5639	-3.81	0.000141	0.00237
ShAtop100mrs	ZNF506	11690	-3.81	0.00014	0.00237
ShAtop100mrs	KCNH6	10447	-3.81	0.000137	0.00237
ShAtop100mrs	MYST2	9967	-3.81	0.000136	0.00237
ShAtop100mrs	ZNF419	10625	-3.84	0.000122	0.00237
ShAtop100mrs	RQCD1	11663	-3.85	0.00012	0.00237
ShAtop100mrs	IKBKAP	10618	-3.85	0.000119	0.00237
ShAtop100mrs	CHD7	11308	-3.85	0.000116	0.00237
ShAtop100mrs	ZNF780B	11087	-3.85	0.000116	0.00237
ShAtop100mrs	SCAND2	10836	-3.86	0.000115	0.00237
ShAtop100mrs	DAXX	10808	-3.86	0.000115	0.00237
ShAtop100mrs	HNF1A	11565	-3.86	0.000114	0.00237
ShAtop100mrs	NPAS3	11201	-3.86	0.000114	0.00237
ShAtop100mrs	POU4F1	11991	-3.86	0.000113	0.00237
ShAtop100mrs	FOXL1	11107	-3.87	0.000109	0.00237
ShAtop100mrs	ZNF667	10584	-3.87	0.000107	0.00237
ShAtop100mrs	SKIL	11233	-3.89	9.95E-05	0.00237
ShAtop100mrs	ZNF157	10980	-3.9	9.67E-05	0.00237
ShAtop100mrs	MEOX2	11128	-3.9	9.47E-05	0.00237
ShAtop100mrs	HESX1	11171	-3.91	9.21E-05	0.00237
ShAtop100mrs	ZBTB43	9197	-3.91	9.16E-05	0.00237
ShAtop100mrs	IL17A	10730	-3.92	9.01E-05	0.00237
ShAtop100mrs	ZFAND5	11432	-3.92	9.00E-05	0.00237
ShAtop100mrs	TAF9B	9114	-3.93	8.41E-05	0.00237
ShAtop100mrs	USP22	11614	-3.94	8.29E-05	0.00237
ShAtop100mrs	BLZF1	11237	-3.94	8.12E-05	0.00237
ShAtop100mrs	PTH	10447	-3.94	8.07E-05	0.00237
ShAtop100mrs	PIAS2	10931	-3.94	8.02E-05	0.00237
ShAtop100mrs	EREG	9329	-3.95	7.84E-05	0.00237
ShAtop100mrs	IL11	11217	-3.95	7.71E-05	0.00237
ShAtop100mrs	ZBED4	11580	-3.95	7.66E-05	0.00237
ShAtop100mrs	ZNF80	9708	-3.97	7.28E-05	0.00237
ShAtop100mrs	SOX3	10825	-3.99	6.49E-05	0.00237
ShAtop100mrs	TIGD6	10860	-4	6.29E-05	0.00237
ShAtop100mrs	DR1	11022	-4.01	6.16E-05	0.00237
ShAtop100mrs	MSTN	8692	-4.01	5.99E-05	0.00237
ShAtop100mrs	ALS2CR8	10454	-4.02	5.92E-05	0.00237
ShAtop100mrs	HTATIP2	9220	-4.03	5.57E-05	0.00237
ShAtop100mrs	ZNF185	5768	-4.05	5.13E-05	0.00237
ShAtop100mrs	C11orf30	6670	-4.08	4.51E-05	0.00237
ShAtop100mrs	TLE4	11159	-4.09	4.24E-05	0.00237
ShAtop100mrs	SUV39H2	9191	-4.1	4.07E-05	0.00237
ShAtop100mrs	ZNF234	9680	-4.1	4.05E-05	0.00237
ShAtop100mrs	ZNF674	8859	-4.13	3.69E-05	0.00237
ShAtop100mrs	RNF2	7942	-4.16	3.19E-05	0.00237
ShAtop100mrs	BRWD1	8213	-4.16	3.15E-05	0.00237
ShAtop100mrs	ZFX	8187	-4.17	3.09E-05	0.00237
ShAtop100mrs	POU2F3	5621	-4.22	2.49E-05	0.00237
ShAtop100mrs	RCHY1	6300	-4.28	1.83E-05	0.00237
ShAtop100mrs	C2orf3	8859	-4.33	1.51E-05	0.00237
ShAtop100mrs	TMF1	10114	-4.4	1.10E-05	0.00237
TFDBtop100mrs	GMEB2	11212	4.3	1.68E-05	0.00286
TFDBtop100mrs	ZNF668	10910	4.26	2.04E-05	0.00286
TFDBtop100mrs	ZNF142	5280	4.15	3.40E-05	0.00286
TFDBtop100mrs	IRF9	10924	3.9	9.73E-05	0.00286
TFDBtop100mrs	IRF7	11341	3.89	0.000101	0.00286
TFDBtop100mrs	DEAF1	11208	3.86	0.000113	0.00286
TFDBtop100mrs	E4F1	11843	3.85	0.000116	0.00286
TFDBtop100mrs	SREBF1	12206	3.85	0.000116	0.00286
TFDBtop100mrs	ZBTB17	11579	3.85	0.000117	0.00286
TFDBtop100mrs	ZKSCAN4	4975	3.84	0.000124	0.00286
TFDBtop100mrs	NCOR1	8918	3.81	0.000139	0.00286
TFDBtop100mrs	CSDE1	11507	3.81	0.00014	0.00286
TFDBtop100mrs	CREB3L2	11179	3.8	0.000143	0.00286
TFDBtop100mrs	ZBED1	9810	3.77	0.000163	0.00286
TFDBtop100mrs	ATF4	11326	3.76	0.00017	0.00286
TFDBtop100mrs	FOXO3	10834	3.75	0.000179	0.00286
TFDBtop100mrs	SUB1	11529	3.73	0.000193	0.00286
TFDBtop100mrs	TFCP2	9754	3.72	0.000196	0.00286
TFDBtop100mrs	FOXK2	9568	3.72	0.000197	0.00286
TFDBtop100mrs	ZNF43	11329	3.72	2.00E-04	0.00286
TFDBtop100mrs	PITX1	10425	3.68	0.000235	0.00286
TFDBtop100mrs	CREB3	11070	3.68	0.000238	0.00286
TFDBtop100mrs	JUNB	12603	3.67	0.000241	0.00286
TFDBtop100mrs	NPAS2	7951	3.67	0.000245	0.00286
TFDBtop100mrs	CEBPB	11618	3.66	0.000251	0.00286
TFDBtop100mrs	SP110	10292	3.65	0.000258	0.00286
TFDBtop100mrs	IRF3	12111	3.65	0.000264	0.00286
TFDBtop100mrs	MBD1	9767	3.63	0.000279	0.00286
TFDBtop100mrs	THAP7	11663	3.63	0.000283	0.00286
TFDBtop100mrs	TGIF1	10618	3.62	0.00029	0.00286
TFDBtop100mrs	ZNF212	10858	3.62	0.000293	0.00286
TFDBtop100mrs	ELF1	11563	3.62	0.000297	0.00286
TFDBtop100mrs	HMGB1	10926	3.62	0.000297	0.00286
TFDBtop100mrs	ZNF410	9319	3.61	0.000301	0.00286
TFDBtop100mrs	RFX5	11436	3.61	0.000305	0.00286
TFDBtop100mrs	TCF21	10776	-3.61	0.000307	0.00286
TFDBtop100mrs	LHX2	8451	-3.61	0.000302	0.00286
TFDBtop100mrs	ZNF460	10218	-3.62	0.000294	0.00286
TFDBtop100mrs	ZNF41	9235	-3.63	0.000288	0.00286
TFDBtop100mrs	HOXB9	10791	-3.63	0.000283	0.00286
TFDBtop100mrs	HOXB6	10563	-3.63	0.000281	0.00286
TFDBtop100mrs	ZNF175	11793	-3.63	0.000281	0.00286
TFDBtop100mrs	IKZF5	10684	-3.63	0.000281	0.00286
TFDBtop100mrs	AFF2	11846	-3.64	0.000276	0.00286
TFDBtop100mrs	ZNF135	9447	-3.64	0.000269	0.00286
TFDBtop100mrs	ZNF493	11938	-3.64	0.000268	0.00286
TFDBtop100mrs	ZNF33B	10136	-3.65	0.000266	0.00286
TFDBtop100mrs	ZNF669	11492	-3.65	0.000265	0.00286
TFDBtop100mrs	ZNF549	10099	-3.66	0.000256	0.00286
TFDBtop100mrs	HLF	11649	-3.66	0.000255	0.00286
TFDBtop100mrs	DLX2	11194	-3.66	0.000254	0.00286
TFDBtop100mrs	ZNF471	10907	-3.67	0.00024	0.00286
TFDBtop100mrs	ZNF639	3532	-3.67	0.00024	0.00286
