Regulon	Size	NES	p.value	FDR
GMEB2	GMEB2	11212	4.32	1.55e-05	0.00259
ZNF668	ZNF668	10910	4.25	2.15e-05	0.00259
ZNF142	ZNF142	5280	4.11	4.01e-05	0.00259
PHB2	PHB2	11437	4.04	5.3e-05	0.00259
CIZ1	CIZ1	11620	4.03	5.57e-05	0.00259
PLXND1	PLXND1	12412	3.97	7.29e-05	0.00259
CPSF4	CPSF4	11104	3.96	7.59e-05	0.00259
VPS72	VPS72	10235	3.93	8.47e-05	0.00259
IRF7	IRF7	11341	3.88	0.000103	0.00259
IRF9	IRF9	10924	3.87	0.000107	0.00259
DEAF1	DEAF1	11207	3.87	0.000108	0.00259
E4F1	E4F1	11843	3.85	0.00012	0.00259
SREBF1	SREBF1	12206	3.84	0.000123	0.00259
ZBTB17	ZBTB17	11578	3.84	0.000125	0.00259
NCOR1	NCOR1	8918	3.83	0.000127	0.00259
ZNF428	ZNF428	11843	3.83	0.000128	0.00259
MKRN1	MKRN1	12132	3.82	0.000135	0.00259
HIST1H1C	HIST1H1C	6932	3.81	0.000139	0.00259
TOE1	TOE1	10332	3.8	0.000144	0.00259
ZBED1	ZBED1	9810	3.79	0.000149	0.00259
ZKSCAN4	ZKSCAN4	4975	3.79	0.000151	0.00259
TERF2IP	TERF2IP	10620	3.79	0.000152	0.00259
CREB3L2	CREB3L2	11179	3.78	0.000155	0.00259
MST1R	MST1R	8622	3.77	0.000161	0.00259
CSDE1	CSDE1	11507	3.76	0.000168	0.00259
FOXK2	FOXK2	9568	3.75	0.000175	0.00259
ATF4	ATF4	11325	3.75	0.000179	0.00259
MATR3	MATR3	11979	3.75	0.000179	0.00259
ZC3H11A	ZC3H11A	9793	3.74	0.000183	0.00259
JUNB	JUNB	12602	3.74	0.000185	0.00259
FOXO3	FOXO3	10834	3.73	0.000194	0.00259
HELZ	HELZ	11057	3.73	0.000195	0.00259
ZNF43	ZNF43	11328	3.72	0.000199	0.00259
TFCP2	TFCP2	9754	3.71	0.000204	0.00259
ZNF593	ZNF593	11488	3.71	0.000206	0.00259
PHF21A	PHF21A	9937	3.7	0.000211	0.00259
UBR4	UBR4	10524	3.69	0.000222	0.00259
DUSP12	DUSP12	10741	3.69	0.000222	0.00259
BOLA1	BOLA1	11447	3.69	0.000223	0.00259
ADAR	ADAR	10872	3.68	0.000232	0.00259
NCOA1	NCOA1	11454	3.68	0.000233	0.00259
CREB3	CREB3	11069	3.68	0.000234	0.00259
BRPF1	BRPF1	11374	-3.69	0.000228	0.00259
ZNF639	ZNF639	3531	-3.69	0.000227	0.00259
BNC1	BNC1	11479	-3.69	0.000224	0.00259
WDHD1	WDHD1	12002	-3.69	0.000223	0.00259
ZNF254	ZNF254	9601	-3.69	0.000222	0.00259
ST18	ST18	11215	-3.7	0.000219	0.00259
SOX30	SOX30	10917	-3.7	0.000217	0.00259
ZNF682	ZNF682	11008	-3.71	0.00021	0.00259
ZNF225	ZNF225	10796	-3.72	0.000203	0.00259
DMRT1	DMRT1	11322	-3.72	0.000199	0.00259
ZFR	ZFR	10255	-3.73	0.000193	0.00259
ZNF613	ZNF613	10426	-3.74	0.000186	0.00259
