Regulon	Size	NES	p.value	FDR
GMEB2	GMEB2	11212	4.35	1.34e-05	0.00241
ZNF668	ZNF668	10910	4.23	2.38e-05	0.00241
SLC11A1	SLC11A1	10490	4.17	3.09e-05	0.00241
INHBA	INHBA	9891	4.11	4.02e-05	0.00241
ZDHHC7	ZDHHC7	10781	4.09	4.26e-05	0.00241
ZNF142	ZNF142	5280	4.08	4.49e-05	0.00241
PHB2	PHB2	11437	4.04	5.24e-05	0.00241
CIZ1	CIZ1	11620	4	6.28e-05	0.00241
TRRAP	TRRAP	10692	3.96	7.54e-05	0.00241
VPS72	VPS72	10235	3.95	7.77e-05	0.00241
ZMYM6	ZMYM6	9374	3.95	7.88e-05	0.00241
SIGIRR	SIGIRR	11795	3.94	8.2e-05	0.00241
NCOR1	NCOR1	8918	3.93	8.44e-05	0.00241
TICAM1	TICAM1	9662	3.93	8.5e-05	0.00241
JMJD6	JMJD6	11086	3.9	9.42e-05	0.00241
DEAF1	DEAF1	11207	3.9	9.63e-05	0.00241
C14orf169	C14orf169	11950	3.9	9.63e-05	0.00241
SREBF1	SREBF1	12206	3.89	9.95e-05	0.00241
RING1	RING1	12139	3.89	1e-04	0.00241
ASXL1	ASXL1	11576	3.89	0.000102	0.00241
SMARCD2	SMARCD2	10914	3.87	0.00011	0.00241
HIF1AN	HIF1AN	10640	3.87	0.000111	0.00241
SUPT6H	SUPT6H	11963	3.86	0.000112	0.00241
IRF7	IRF7	11341	3.86	0.000113	0.00241
PNN	PNN	11485	3.86	0.000113	0.00241
ENG	ENG	11718	3.85	0.000118	0.00241
TRIB3	TRIB3	10895	3.85	0.000119	0.00241
IRF9	IRF9	10924	3.85	0.000119	0.00241
REXO4	REXO4	10527	3.84	0.000124	0.00241
E4F1	E4F1	11843	3.84	0.000124	0.00241
PPRC1	PPRC1	10482	3.84	0.000125	0.00241
ZBTB17	ZBTB17	11578	3.83	0.000129	0.00241
JUNB	JUNB	12602	3.83	0.000129	0.00241
PYCARD	PYCARD	11250	3.83	0.000131	0.00241
PDLIM1	PDLIM1	10583	3.82	0.000133	0.00241
COBRA1	COBRA1	11110	3.82	0.000136	0.00241
ZNF428	ZNF428	11843	3.81	0.000137	0.00241
SUPT16H	SUPT16H	7674	3.81	0.000138	0.00241
HMGN2	HMGN2	11139	3.81	0.00014	0.00241
ZBED1	ZBED1	9810	3.81	0.000141	0.00241
HDGF	HDGF	11833	3.8	0.000144	0.00241
C17orf81	C17orf81	8687	3.8	0.000146	0.00241
TFIP11	TFIP11	11083	-3.81	0.000141	0.00241
FOXE1	FOXE1	10916	-3.81	0.000141	0.00241
PBRM1	PBRM1	10500	-3.81	0.000139	0.00241
KCNH6	KCNH6	10447	-3.81	0.000136	0.00241
MYB	MYB	8220	-3.81	0.000136	0.00241
ZNF586	ZNF586	5639	-3.82	0.000134	0.00241
SATB2	SATB2	10330	-3.82	0.000133	0.00241
SIM1	SIM1	10448	-3.82	0.000133	0.00241
