Regulon	Size	NES	p.value	FDR
GMEB2	GMEB2	11212	4.31	1.66e-05	0.00278
ZNF668	ZNF668	10910	4.25	2.14e-05	0.00278
ZNF142	ZNF142	5280	4.14	3.44e-05	0.00278
IRF7	IRF7	11341	3.89	9.84e-05	0.00278
IRF9	IRF9	10924	3.88	0.000104	0.00278
DEAF1	DEAF1	11208	3.87	0.000108	0.00278
E4F1	E4F1	11843	3.86	0.000113	0.00278
ZBTB17	ZBTB17	11579	3.84	0.000124	0.00278
SREBF1	SREBF1	12206	3.84	0.000124	0.00278
NCOR1	NCOR1	8918	3.82	0.000133	0.00278
ZKSCAN4	ZKSCAN4	4975	3.82	0.000135	0.00278
ZBED1	ZBED1	9810	3.78	0.000155	0.00278
CSDE1	CSDE1	11507	3.78	0.000157	0.00278
CREB3L2	CREB3L2	11179	3.78	0.000158	0.00278
ATF4	ATF4	11326	3.76	0.000172	0.00278
FOXK2	FOXK2	9568	3.75	0.000174	0.00278
FOXO3	FOXO3	10834	3.72	0.000197	0.00278
ZNF43	ZNF43	11329	3.72	0.000201	0.00278
SUB1	SUB1	11529	3.72	0.000201	0.00278
TFCP2	TFCP2	9754	3.71	0.000204	0.00278
JUNB	JUNB	12603	3.69	0.000225	0.00278
CREB3	CREB3	11070	3.68	0.000234	0.00278
PITX1	PITX1	10425	3.68	0.000238	0.00278
NPAS2	NPAS2	7951	3.66	0.000249	0.00278
SP110	SP110	10292	3.66	0.000252	0.00278
CEBPB	CEBPB	11618	3.66	0.000257	0.00278
IRF3	IRF3	12111	3.64	0.00027	0.00278
TGIF1	TGIF1	10618	3.63	0.00028	0.00278
MBD1	MBD1	9767	3.62	0.000294	0.00278
ZNF212	ZNF212	10858	3.61	0.000301	0.00278
RFX5	RFX5	11436	3.61	0.000302	0.00278
THAP7	THAP7	11663	3.61	0.000305	0.00278
ELF1	ELF1	11563	3.6	0.000313	0.00278
ZNF132	ZNF132	11293	-3.6	0.000313	0.00278
ZNF222	ZNF222	7486	-3.61	0.000311	0.00278
PKNOX1	PKNOX1	11160	-3.61	0.000309	0.00278
LHX2	LHX2	8451	-3.61	0.000307	0.00278
ZNF41	ZNF41	9235	-3.61	0.000306	0.00278
ZNF460	ZNF460	10218	-3.62	0.000296	0.00278
HOXB9	HOXB9	10791	-3.62	0.000294	0.00278
ZNF175	ZNF175	11793	-3.63	0.000283	0.00278
ZNF135	ZNF135	9447	-3.64	0.000276	0.00278
AFF2	AFF2	11846	-3.64	0.000274	0.00278
DLX2	DLX2	11194	-3.64	0.000274	0.00278
IKZF5	IKZF5	10684	-3.64	0.000273	0.00278
ZNF669	ZNF669	11492	-3.64	0.000272	0.00278
ZNF493	ZNF493	11938	-3.64	0.000269	0.00278
ZNF33B	ZNF33B	10136	-3.65	0.000265	0.00278
HLF	HLF	11649	-3.66	0.000257	0.00278
HOXB6	HOXB6	10563	-3.66	0.000252	0.00278
ZNF549	ZNF549	10099	-3.67	0.000247	0.00278
IRX4	IRX4	10819	-3.67	0.000243	0.00278
ZNF334	ZNF334	11726	-3.67	0.000239	0.00278
HOXA1	HOXA1	12068	-3.68	0.000237	0.00278
ZNF471	ZNF471	10907	-3.68	0.000236	0.00278
ZNF639	ZNF639	3532	-3.68	0.000233	0.00278
ST18	ST18	11216	-3.69	0.000226	0.00278
ZNF254	ZNF254	9602	-3.69	0.000223	0.00278
SOX30	SOX30	10917	-3.7	0.000214	0.00278
ZNF682	ZNF682	11009	-3.71	0.000203	0.00278
DMRT1	DMRT1	11323	-3.71	0.000203	0.00278
ZNF225	ZNF225	10796	-3.72	2e-04	0.00278
ZNF613	ZNF613	10427	-3.74	0.000185	0.00278
ZKSCAN5	ZKSCAN5	10789	-3.75	0.000179	0.00278
RREB1	RREB1	11544	-3.75	0.000175	0.00278
RFX4	RFX4	10672	-3.77	0.000166	0.00278
ZNF614	ZNF614	11122	-3.77	0.000163	0.00278
CAMTA1	CAMTA1	5304	-3.78	0.000157	0.00278
PBRM1	PBRM1	10500	-3.79	0.000153	0.00278
ZNF506	ZNF506	11691	-3.79	0.00015	0.00278
ESR2	ESR2	11154	-3.8	0.000148	0.00278
SATB2	SATB2	10330	-3.8	0.000146	0.00278
FOXE1	FOXE1	10917	-3.8	0.000144	0.00278
MYT1L	MYT1L	11194	-3.8	0.000143	0.00278
SIM1	SIM1	10448	-3.81	0.000137	0.00278
NEUROG2	NEUROG2	11446	-3.82	0.000136	0.00278
ZNF586	ZNF586	5639	-3.82	0.000132	0.00278
ZNF419	ZNF419	10625	-3.83	0.000129	0.00278
MSX2	MSX2	11124	-3.83	0.000128	0.00278
HNF1A	HNF1A	11565	-3.84	0.000124	0.00278
