Regulon	Size	NES	p.value	FDR	Ledge
GMEB2	GMEB2	11212	4.3	1.68e-05	0.00286	TUBA1C, RPGR, TUBA1B, RPS15, + 6045 genes
ZNF668	ZNF668	10910	4.26	2.04e-05	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9032 genes
ZNF142	ZNF142	5280	4.15	3.4e-05	0.00286	TUBA1C, RPGR, TUBA1B, RPS15, + 2602 genes
IRF9	IRF9	10924	3.9	9.73e-05	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9274 genes
IRF7	IRF7	11341	3.89	0.000101	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9296 genes
DEAF1	DEAF1	11208	3.86	0.000113	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8446 genes
E4F1	E4F1	11843	3.85	0.000116	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8949 genes
SREBF1	SREBF1	12206	3.85	0.000116	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 7942 genes
ZBTB17	ZBTB17	11579	3.85	0.000117	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9517 genes
ZKSCAN4	ZKSCAN4	4975	3.84	0.000124	0.00286	RPS15, CYLD, RBM34, HNRNPK, + 2751 genes
NCOR1	NCOR1	8918	3.81	0.000139	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 5775 genes
CSDE1	CSDE1	11507	3.81	0.00014	0.00286	RPGR, RPS15, CYLD, RPS2, + 7463 genes
CREB3L2	CREB3L2	11179	3.8	0.000143	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 7841 genes
ZBED1	ZBED1	9810	3.77	0.000163	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8228 genes
ATF4	ATF4	11326	3.76	0.00017	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8934 genes
FOXO3	FOXO3	10834	3.75	0.000179	0.00286	TUBA1C, RPGR, TUBA1B, RPS15, + 8287 genes
SUB1	SUB1	11529	3.73	0.000193	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9668 genes
TFCP2	TFCP2	9754	3.72	0.000196	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8034 genes
FOXK2	FOXK2	9568	3.72	0.000197	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 6654 genes
ZNF43	ZNF43	11329	3.72	2e-04	0.00286	RPGR, SCN3A, RPS15, CYLD, + 7403 genes
PITX1	PITX1	10425	3.68	0.000235	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8734 genes
CREB3	CREB3	11070	3.68	0.000238	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9041 genes
JUNB	JUNB	12603	3.67	0.000241	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8057 genes
NPAS2	NPAS2	7951	3.67	0.000245	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 3697 genes
CEBPB	CEBPB	11618	3.66	0.000251	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8444 genes
SP110	SP110	10292	3.65	0.000258	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 7540 genes
IRF3	IRF3	12111	3.65	0.000264	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9250 genes
MBD1	MBD1	9767	3.63	0.000279	0.00286	TUBA1C, TUBA1B, SCN3A, RPS15, + 7540 genes
THAP7	THAP7	11663	3.63	0.000283	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9983 genes
TGIF1	TGIF1	10618	3.62	0.00029	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 9297 genes
ZNF212	ZNF212	10858	3.62	0.000293	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8831 genes
ELF1	ELF1	11563	3.62	0.000297	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8765 genes
HMGB1	HMGB1	10926	3.62	0.000297	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8573 genes
ZNF410	ZNF410	9319	3.61	0.000301	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 7485 genes
RFX5	RFX5	11436	3.61	0.000305	0.00286	TUBA1C, RPGR, TUBA1B, SCN3A, + 8742 genes
TCF21	TCF21	10776	-3.61	0.000307	0.00286	KRT7, RORA, PAM, SNED1, + 7727 genes
LHX2	LHX2	8451	-3.61	0.000302	0.00286	HOXA11, TAS2R1, AR, DNAH6, + 6315 genes
ZNF460	ZNF460	10218	-3.62	0.000294	0.00286	PFDN6, MAPK9, CORT, UBE3A, + 7794 genes
ZNF41	ZNF41	9235	-3.63	0.000288	0.00286	BAALC, SLC7A2, 212854_x_at, WWP2, + 7004 genes
HOXB9	HOXB9	10791	-3.63	0.000283	0.00286	220913_at, 216656_at, FXC1, KCNK2, + 7615 genes
HOXB6	HOXB6	10563	-3.63	0.000281	0.00286	220913_at, 216656_at, FXC1, KCNK2, + 7578 genes
ZNF175	ZNF175	11793	-3.63	0.000281	0.00286	TNFRSF9, SUOX, 215489_x_at, MDM2, + 7702 genes
IKZF5	IKZF5	10684	-3.63	0.000281	0.00286	220531_at, MDM4, 218366_x_at, PPARGC1A, + 7794 genes
AFF2	AFF2	11846	-3.64	0.000276	0.00286	PCLO, SAG, CKS2, ZNF586, + 8578 genes
ZNF135	ZNF135	9447	-3.64	0.000269	0.00286	UST, HIST1H2BI, OR6A2, AIFM1, + 7060 genes
ZNF493	ZNF493	11938	-3.64	0.000268	0.00286	217453_at, RUNDC3A, FDXR, RGS11, + 8288 genes
ZNF33B	ZNF33B	10136	-3.65	0.000266	0.00286	CROCC, BTG3, FZR1, SFXN3, + 7439 genes
ZNF669	ZNF669	11492	-3.65	0.000265	0.00286	NRG1, 220467_at, PLBD1, GNL3L, + 8009 genes
ZNF549	ZNF549	10099	-3.66	0.000256	0.00286	B9D1, KLRF1, RHOT1, 215727_x_at, + 8067 genes
HLF	HLF	11649	-3.66	0.000255	0.00286	204419_x_at, POU3F2, KNTC1, NASP, + 8188 genes
DLX2	DLX2	11194	-3.66	0.000254	0.00286	GABBR1, 220913_at, RRM2, 216656_at, + 7420 genes
