Regulon	Size	NES	p.value	FDR	Ledge
GMEB2	GMEB2	11212	4.32	1.57e-05	0.00259	TUBA1C, RPGR, TUBA1B, RPS15, + 6045 genes
ZNF668	ZNF668	10910	4.26	2.05e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 9032 genes
ZNF142	ZNF142	5280	4.11	3.94e-05	0.00259	TUBA1C, RPGR, TUBA1B, RPS15, + 2602 genes
PHB2	PHB2	11437	4.05	5.06e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 9731 genes
CIZ1	CIZ1	11620	4.01	6.07e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 8528 genes
PLXND1	PLXND1	12412	3.98	6.94e-05	0.00259	TUBA1C, RPGR, TUBA1B, RPS15, + 7321 genes
CPSF4	CPSF4	11104	3.97	7.08e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 7325 genes
VPS72	VPS72	10235	3.93	8.38e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 8150 genes
IRF9	IRF9	10924	3.89	9.96e-05	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 9274 genes
IRF7	IRF7	11341	3.88	0.000105	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 9296 genes
DEAF1	DEAF1	11207	3.86	0.000112	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 8446 genes
SREBF1	SREBF1	12206	3.85	0.000116	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 7942 genes
ZBTB17	ZBTB17	11578	3.85	0.000118	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 9517 genes
E4F1	E4F1	11843	3.84	0.000123	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 8949 genes
MKRN1	MKRN1	12132	3.83	0.000127	0.00259	TUBA1C, TUBA1B, SCN3A, RPS15, + 7135 genes
ZNF428	ZNF428	11843	3.83	0.000129	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 7898 genes
NCOR1	NCOR1	8918	3.82	0.000132	0.00259	TUBA1C, RPGR, TUBA1B, SCN3A, + 5775 genes
