Regulon	Size	NES	p.value	FDR
PARP1	PARP1	11026	4.03	5.61e-05	0.0027
HLA-A	HLA-A	11426	3.98	6.92e-05	0.0027
NCOR1	NCOR1	8918	3.89	1e-04	0.0027
SREBF1	SREBF1	12206	3.89	0.000102	0.0027
IRF7	IRF7	11341	3.88	0.000104	0.0027
ACP5	ACP5	10742	3.88	0.000104	0.0027
DAP	DAP	11247	3.88	0.000106	0.0027
IRF9	IRF9	10924	3.87	0.00011	0.0027
E4F1	E4F1	11843	3.85	0.000119	0.0027
HLA-C	HLA-C	11658	3.84	0.000121	0.0027
RPS19	RPS19	11578	3.84	0.000122	0.0027
PDLIM1	PDLIM1	10583	3.84	0.000123	0.0027
SUPT6H	SUPT6H	11963	3.83	0.000126	0.0027
ZBTB17	ZBTB17	11578	3.83	0.000128	0.0027
JUNB	JUNB	12603	3.82	0.000133	0.0027
REXO4	REXO4	10527	3.82	0.000134	0.0027
MYH9	MYH9	12069	3.82	0.000134	0.0027
PDCD11	PDCD11	11966	3.81	0.000138	0.0027
HCFC1	HCFC1	12097	3.81	0.000141	0.0027
KDM1	KDM1	11538	3.8	0.000142	0.0027
ZKSCAN4	ZKSCAN4	4975	3.8	0.000144	0.0027
RBM9	RBM9	10792	3.79	0.000148	0.0027
DNMT1	DNMT1	11698	3.79	0.000149	0.0027
NOTCH1	NOTCH1	10712	3.78	0.000154	0.0027
LASS2	LASS2	11893	3.78	0.000157	0.0027
HIST1H3G	HIST1H3G	11686	3.78	0.000158	0.0027
CREB3L2	CREB3L2	11179	3.77	0.000161	0.0027
NOLC1	NOLC1	10334	3.77	0.000164	0.0027
FLNA	FLNA	12364	3.76	0.000171	0.0027
FOXK2	FOXK2	9568	3.75	0.000177	0.0027
ATF4	ATF4	11326	3.75	0.000178	0.0027
HIST1H2BD	HIST1H2BD	9925	3.74	0.000182	0.0027
TRIM28	TRIM28	12269	3.74	0.000182	0.0027
TRIB1	TRIB1	9410	3.74	0.000184	0.0027
CEBPB	CEBPB	11618	3.73	0.000194	0.0027
FOXO3	FOXO3	10834	3.72	0.000198	0.0027
SUB1	SUB1	11528	3.72	0.000202	0.0027
TFCP2	TFCP2	9754	3.72	0.000202	0.0027
TAF10	TAF10	10540	3.7	0.000214	0.0027
SPG7	SPG7	11293	3.7	0.000215	0.0027
NCOA1	NCOA1	11454	3.7	0.000219	0.0027
PFDN5	PFDN5	12596	3.7	0.00022	0.0027
CREB3	CREB3	11070	3.69	0.00022	0.0027
RPL27	RPL27	10864	3.69	0.000226	0.0027
PITX1	PITX1	10425	3.68	0.000237	0.0027
TPT1	TPT1	11910	3.67	0.000238	0.0027
USP7	USP7	11405	3.67	0.000241	0.0027
