Regulon	Size	NES	p.value	FDR
LBX1	LBX1	1161	4.41	1.04e-05	0.00178
ERCC2	ERCC2	956	4.38	1.19e-05	0.00178
SOX1	SOX1	912	4.14	3.42e-05	0.00285
ALX4	ALX4	873	4.14	3.42e-05	0.00285
HOXB7	HOXB7	657	4.1	4.08e-05	0.00285
AP5Z1	AP5Z1	1778	4.1	4.2e-05	0.00285
ZGPAT	ZGPAT	1020	4.03	5.62e-05	0.00285
GLI2	GLI2	469	3.96	7.43e-05	0.00285
DOT1L	DOT1L	930	3.93	8.62e-05	0.00285
FOXH1	FOXH1	255	3.93	8.64e-05	0.00285
ZKSCAN5	ZKSCAN5	405	3.92	8.7e-05	0.00285
RFX1	RFX1	885	3.91	9.36e-05	0.00285
TBX10	TBX10	413	3.85	0.000116	0.00285
NHLH2	NHLH2	667	3.85	0.00012	0.00285
HIST1H3G	HIST1H3G	1145	3.82	0.000135	0.00285
SOX18	SOX18	822	3.81	0.000138	0.00285
NPAS1	NPAS1	1063	3.77	0.000164	0.00285
ASCL2	ASCL2	1013	3.76	0.000168	0.00285
ZBTB17	ZBTB17	1191	3.73	0.000188	0.00285
POU1F1	POU1F1	291	3.72	0.000199	0.00285
GTF2F1	GTF2F1	2225	3.71	0.000203	0.00285
CENPF	CENPF	353	3.71	0.000204	0.00285
ATF5	ATF5	1207	3.7	0.000217	0.00285
HIST1H2BB	HIST1H2BB	458	3.69	0.000226	0.00285
SNF8	SNF8	1419	3.67	0.00024	0.00285
DGKQ	DGKQ	813	3.66	0.000249	0.00285
TADA2A	TADA2A	404	3.66	0.000255	0.00285
CREM	CREM	57	3.65	0.000259	0.00285
RFX3	RFX3	327	3.63	0.000279	0.00287
ZNF576	ZNF576	1871	3.59	0.00033	0.00303
ZNF155	ZNF155	547	3.58	0.000338	0.00303
HIC1	HIC1	1725	3.57	0.000351	0.00303
HOXB9	HOXB9	341	3.57	0.000353	0.00303
BUD31	BUD31	1619	3.57	0.000357	0.00303
PHF1	PHF1	1007	3.57	0.000361	0.00303
