genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HNRNPK	2.4308049044	11.3474529631983	55.4396327272687	1.68905137147311e-289	1.68905137147311e-287	652.951157814278
TPT1	2.90632693330269	12.9454838371348	53.3707385915828	2.77856790617833e-278	1.38928395308916e-276	627.121033674965
DR1	-1.72011118853565	5.01069231684208	-51.1429142542125	6.03936716755456e-266	2.01312238918485e-264	598.709047439914
HOXA1	-2.03831761229915	5.57071730244837	-50.3861032985995	1.08003177534252e-261	2.7000794383563e-260	588.915802786419
BLZF1	-1.45626952004471	5.01944698733855	-50.0147564944851	1.35326407081857e-259	2.70652814163714e-258	584.08429624228
FOXE1	-1.58258419267828	5.06635014647522	-46.0025145831111	1.87772050073214e-236	3.12953416788689e-235	530.788486022196
TRIM28	3.03612601826742	10.013948892564	45.9239223694124	5.43919696198152e-236	7.77028137425931e-235	529.724743575142
RPS19	2.84957366780943	12.7592352549624	44.7573871971334	4.26185322532514e-229	5.32731653165643e-228	513.848101380111
HLA-A	2.96097822655292	12.610807024288	43.6847205343213	1.07423689116394e-222	1.19359654573771e-221	499.105919531611
ZNF157	-1.08327715495033	4.50966635753758	-42.7993240439278	2.28554450626608e-217	2.28554450626608e-216	486.83629515068
HLA-C	2.71873978067253	12.5420627654886	42.4267175857755	4.10047220513126e-215	3.72770200466478e-214	481.645940505476
MYH9	2.7925209583705	10.111157302082	42.0621148158998	6.68135456712749e-213	5.56779547260624e-212	476.55189997515
ESR2	-1.18802991831138	4.62788788133085	-41.0347253745882	1.23731874610219e-206	9.51783650847837e-206	462.118463461328
TLE4	-1.02923221704827	4.85106487101885	-40.3131030282381	3.34546693637112e-202	2.38961924026508e-201	451.912382654261
POU4F1	-1.58011463213609	5.05370468286528	-40.0132701720356	2.36021119156977e-200	1.57347412771318e-199	447.655652574985
PFDN5	2.5997359818171	11.4844194183015	38.5520868649982	2.74153455140367e-191	1.71345909462729e-190	426.780928073938
HESX1	-1.25485721985984	6.2133223769932	-38.4435187550418	1.3036936666936e-190	7.66878627466823e-190	425.221557851003
MYT1L	-1.1086980122438	5.10148772632105	-37.6962916215408	6.15098746502322e-186	3.41721525834623e-185	414.459211113073
SCAND2	-1.28133329636828	5.31154341782118	-36.7987223220906	2.70350819981001e-180	1.42289905253158e-179	401.465307488601
HNF1A	-1.01744822870201	5.45867663232144	-36.3233880575	2.70639967904545e-177	1.35319983952272e-176	394.556369277026
BNC1	-1.13858036433494	5.91632183892948	-35.3920319317104	2.15744865263221e-171	1.02735650125343e-170	380.967612928352
MEOX2	-0.7644133184738	4.40267046993011	-34.7297331476974	3.5271112362187e-167	1.60323238009941e-166	371.26601537265
SOX30	-0.701417993310061	4.63290580373283	-34.6462722696593	1.20036261364377e-166	5.21896788540771e-166	370.041339044762
MSX2	-0.727489307873216	4.71882366671759	-32.6762818569617	4.85314553802299e-154	2.02214397417625e-153	341.015743618412
RPL27	1.71611361024593	12.6899016556937	32.1765321503751	7.89707401973221e-151	3.15882960789288e-150	333.622137603683
FLNA	2.91623119263002	10.1142791996851	32.0384575849963	6.10242516031943e-150	2.34708660012286e-149	331.577670457221
ST18	-1.34229793241676	4.91196456192832	-31.7924133411669	2.33714424513407e-148	8.65608979679287e-148	327.93284767773
RREB1	-1.47815826470156	6.55295864363526	-31.7730238022187	3.11520255919974e-148	1.11257234257134e-147	327.645531789402
USP7	1.60201359869454	10.0580374338892	31.504782815225	1.66168006620772e-146	5.72993126278525e-146	323.66952753617
DLX2	-1.74680931152422	7.73813453114421	-31.3605941356049	1.4102077749798e-145	4.70069258326601e-145	321.531434710897
REXO4	1.16644931627699	7.9929882540356	31.2015161837078	1.4934956389614e-144	4.81772786761741e-144	319.171928083425
ATF4	1.63726514834037	10.9972518543495	30.6665028191884	4.19834627426775e-141	1.31198321070867e-140	311.232305835116
