genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
DR1	-1.72011118853565	5.01069231684208	-51.1713617102975	4.44683827280014e-266	4.44683827280014e-264	599.06176441755
BLZF1	-1.45626952004471	5.01944698733855	-50.0537099685259	8.63453534045794e-260	4.31726767022897e-258	584.581720972663
FOXE1	-1.58258419267828	5.06635014647522	-46.0267496584288	1.42195594914235e-236	4.73985316380783e-235	531.119543081187
PHB2	2.33930767669537	11.2239806144398	43.8220852322069	1.68923653896648e-223	4.2230913474162e-222	501.011637056774
PNN	1.75198827727771	11.5903732035514	43.4602908131114	2.49576851386653e-221	4.99153702773305e-220	496.015838669588
ZNF157	-1.08327715495033	4.50966635753758	-42.8449639111141	1.26522411447597e-217	2.10870685745995e-216	487.484349766139
IL11	-1.27082983773858	5.23516745260918	-41.2925248238616	3.40760886119219e-208	4.86801265884598e-207	465.769274345875
TLE4	-1.02923221704827	4.85106487101885	-40.3552760756879	1.91148445111408e-202	2.3893555638926e-201	452.531444804381
POU4F1	-1.58011463213609	5.05370468286528	-40.0282147747269	1.9816336748651e-200	2.20181519429455e-199	447.890116014417
HESX1	-1.25485721985984	6.2133223769932	-38.4664812420083	9.70222371681689e-191	9.70222371681689e-190	425.578199067766
RQCD1	-1.30672059016078	6.00285068579427	-38.0793429751158	2.54010455686502e-188	2.30918596078638e-187	420.010640049967
USP22	-1.42056174957535	5.92102371066182	-37.7598862078906	2.53902432662508e-186	2.1158536055209e-185	415.405967620951
SCAND2	-1.28133329636828	5.31154341782118	-36.8175500647804	2.12238418383035e-180	1.63260321833104e-179	401.770107012965
IL2	-0.898715617358368	4.61982669141867	-36.772438342432	4.08476013967992e-180	2.91768581405709e-179	401.115411596788
CIZ1	2.04439809035891	9.12113011213819	36.4793365670265	2.88670179567628e-178	1.92446786378419e-177	396.857587364205
HNF1A	-1.01744822870201	5.45867663232144	-36.3542780862803	1.77972278173752e-177	1.11232673858595e-176	395.038753667613
IL17A	-0.667815695199575	4.57609891877866	-35.830269611564	3.6830864807215e-174	2.16652145924794e-173	387.40416940753
COBRA1	1.5799057655206	8.7079449361986	35.061483037475	2.80116759568308e-169	1.55620421982393e-168	376.165856250162
MEOX2	-0.7644133184738	4.40267046993011	-34.7799548848798	1.73526482716515e-167	9.13297277455341e-167	372.039960270756
HMGN2	1.60087531854402	12.0199140071528	34.6562245147745	1.06583205312847e-166	5.32916026564235e-166	370.224966735612
TIGD6	-0.793050652310561	4.60469402792282	-34.2752234974414	2.86994685269704e-164	1.36664135842716e-163	364.629884803742
FLII	1.36749298467683	9.68474659453525	33.2795426620822	6.70776171861237e-158	3.04898259936926e-157	349.967414689051
SKIL	-0.93125085025579	5.35899652627954	-32.9692985526948	6.54246280419236e-156	2.84454904530103e-155	345.387943014712
RING1	1.27238942165413	9.18424633496479	31.7280067594653	6.20588394428427e-148	2.58578497678511e-147	327.023702627804
REXO4	1.16644931627699	7.9929882540356	31.2149135952793	1.25037248877465e-144	5.0014899550986e-144	319.417241458724
ZFAND5	-1.01064564891341	4.82024851850231	-30.900373924996	1.33071561784588e-142	5.11813699171492e-142	314.751015588807
ZNF506	-1.12382524757364	5.18996043263919	-30.6930145345381	2.89001745669853e-141	1.07037683581427e-140	311.673733210344
CHD7	-0.935756522829901	4.80132408126314	-30.6197948827335	8.57070928709095e-141	3.06096760253248e-140	310.586953456494
FOXL1	-1.37470582250299	5.58977267527222	-30.5175821897001	3.90967794316742e-140	1.34816480798876e-139	309.069701731444
KCNH6	-0.430053129818628	4.51131994086224	-30.4646569088227	8.57944281287695e-140	2.85981427095898e-139	308.284018027025
IKBKAP	-0.627807898397348	4.8940228637761	-30.2880768729988	1.18127046258169e-138	3.81054987929578e-138	305.662412212011
NPAS3	-0.81248561824232	5.09972609475901	-29.6329338095098	1.98992248919077e-134	6.21850777872116e-134	295.933728822304
C14orf169	1.54744944845978	8.58993440662776	28.8957412636709	1.13398795676394e-129	3.4363271417089e-129	284.987210572681
PIAS2	-0.555904974981137	4.57628161195958	-28.6685480495197	3.30997334726595e-128	9.73521572725281e-128	281.614787114509
ZBTB17	1.11491870968426	7.72047655101209	28.0272314691509	4.50274073784195e-124	1.28649735366913e-123	272.100847149851
ZNF780B	-0.520861244857563	4.42011531353053	-27.975150996995	9.7491889150466e-124	2.70810803195739e-123	271.328706496238
ZNF428	1.2356629035506	8.4197576075883	27.9037430300705	2.81129311330205e-123	7.59808949541094e-123	270.270155803424
PBRM1	-0.558856418571314	4.51957821058656	-27.5969394820116	2.65578588362353e-121	6.98891022006192e-121	265.724084538882
E4F1	1.47745804254215	7.37722309681597	25.4339185105168	1.95534963688807e-107	5.01371701766172e-107	233.813037361104
HCFC1	0.932755710004681	8.89240869152326	25.0860105413984	3.22060587354116e-105	8.0515146838529e-105	228.712554937027
SOX3	-0.592873965699852	5.22791531872963	-24.9404836681776	2.71461236409627e-104	6.62100576608846e-104	226.582490688677
ZFX	-0.63646305992902	4.57602783324237	-23.4708416357465	5.31629132614772e-95	1.26578364908279e-94	205.205318039542
SIGIRR	1.54784964318814	9.06678951321048	22.5332246047946	3.86915566091737e-89	8.99803642073807e-89	191.721324864839
MSTN	-0.295780375011796	4.26310276976034	-22.2759895298682	1.53141413321434e-87	3.48048666639622e-87	188.047102999646
JUNB	2.25182196735448	9.59085900591575	22.1370316031898	1.11160937613825e-86	2.470243058085e-86	186.067178307102
SREBF1	2.19430484076452	8.96329387771497	21.8040589252929	1.26621950740918e-84	2.75265110306343e-84	181.337417785594
ZNF674	-0.27504113099037	4.29943976427096	-21.4416741622599	2.13899562324423e-82	4.55105451754091e-82	176.214377012011
PYCARD	2.68130838730452	9.44809512239919	21.2603358198242	2.75825059427112e-81	5.7463554047315e-81	173.660868881918
ZNF667	-0.829767206583599	5.15928212788351	-21.1390881214405	1.51853199222281e-80	3.09904488208737e-80	171.957413320685
ZNF80	-0.317703477636136	4.35234591359589	-21.1318982080897	1.68000132054461e-80	3.36000264108921e-80	171.856498999346
ZBED4	-0.89475309149918	6.27449589443355	-21.049744203626	5.32618741111318e-80	1.04435047276729e-79	170.704223294196
ENG	1.4275271363749	9.09280254994978	20.7633945595042	2.93763306390532e-78	5.64929435366408e-78	166.699676519359
IRF7	1.99367314224707	8.53734149754876	20.6629050827431	1.19473873884825e-77	2.25422403556274e-77	165.2987813435
ZNF234	-0.30265484928617	4.50371900138414	-20.5420781352123	6.43446272373591e-77	1.19156717106221e-76	163.617496941696
CTNNBIP1	0.893261531765098	8.98024575797256	20.0333841897719	7.41997142878399e-74	1.34908571432436e-73	156.57801587025
PTH	-0.306054550596628	4.46491784618854	-19.9664157030898	1.86814931485519e-73	3.33598091938427e-73	155.656131322638
IRF9	1.53596756250131	10.0202367733133	19.8137211371814	1.52712383427957e-72	2.67916462154311e-72	153.558516916061
SUPT6H	1.12502890361278	7.98906255738375	19.5267021617946	7.79447810469237e-71	1.34387553529179e-70	149.632495714656
ZNF668	0.806614688103984	7.14137215864241	19.1138466483046	2.14408461997619e-68	3.6340417287732e-68	144.025368005458
ALS2CR8	-0.527441192587596	4.6677201732985	-18.9928828301571	1.10149242218773e-67	1.83582070364622e-67	142.39183912989
ZNF419	-0.944378776340244	7.40082724113592	-18.8404461763473	8.60951337463726e-67	1.41139563518644e-66	140.339497228424
INHBA	2.44672647082556	8.69467525682512	18.5414480068947	4.76101800858892e-65	7.67906130417567e-65	136.334527342337
SUV39H2	-0.359226613136095	4.64782560281209	-17.8854459622669	2.87141549159953e-61	4.5578023676183e-61	127.648024146295
CREB3L2	1.60138775025227	9.75924221641164	17.7111698443996	2.83114244552907e-60	4.42366007113917e-60	125.364654660157
DEAF1	0.986501923475125	7.61825198340388	16.8110455775688	3.2378891607102e-55	4.98136793955415e-55	113.7456483507
TRIB3	1.17998857159773	8.97599777503141	16.496928865015	1.75487229157367e-53	2.65889741147525e-53	109.763609069263
HTATIP2	-0.852754247615204	6.00373092544674	-15.7418689647049	2.19369119617296e-49	3.27416596443725e-49	100.357355353889
DAXX	-0.590441830137918	7.59428687375659	-15.480986180799	5.39771921987919e-48	7.93782238217528e-48	97.1644220265738
VPS72	0.765273787149699	9.67010590903482	15.341005577526	2.9729563684082e-47	4.30863241798289e-47	95.4637824300858
TICAM1	0.633189514978794	6.7862500048159	15.050153666489	1.00101446281381e-45	1.43002066116259e-45	91.9589525449803
MYST2	-0.742031459648148	8.87539300278373	-15.0273762725556	1.31621971444488e-45	1.85383058372519e-45	91.6861449507888
RNF2	-0.572220173192855	5.86577110721897	-14.9535383769155	3.19158526642433e-45	4.43275731447824e-45	90.8034640627757
EREG	-1.20908576907517	4.51285622275178	-14.8908506035172	6.75651027687434e-45	9.25549352996484e-45	90.0561067973597
TAF9B	-0.735185647729391	6.47273966950916	-14.5358268703233	4.56041939735412e-43	6.16272891534341e-43	85.8593299900919
C2orf3	-0.783445309633773	6.59250761863688	-14.0294418380509	1.66576898110093e-40	2.22102530813457e-40	79.9817469593988
HIF1AN	0.402996828324926	7.34550714527726	14.0161320270838	1.94182973730393e-40	2.55503912803149e-40	79.829028926311
SUPT16H	0.571231617074448	9.84730104339795	13.7897119750467	2.60027669293969e-39	3.37698271810349e-39	77.245265273359
ZMYM6	0.648129972300094	8.76962574198282	13.6511971762364	1.25490956996972e-38	1.6088584230381e-38	75.6780011445973
PPRC1	0.768604772716239	7.84304661475324	13.4729372503995	9.37198288266037e-38	1.1863269471722e-37	73.6762248742098
JMJD6	0.870864947061213	7.71367459187379	13.3171806685011	5.35453682766496e-37	6.6931710345812e-37	71.9413498877796
RCHY1	-0.273642155019825	6.09929981977409	-13.2581780334138	1.03261943271375e-36	1.27483880581944e-36	71.2876553799341
GMEB2	0.673577876028903	7.92504832665992	13.1216424508525	4.68550120443625e-36	5.7140258590686e-36	69.7824160481523
POU2F3	-0.445640291787024	4.74431925897883	-13.0334926799544	1.23713485419845e-35	1.49052392072102e-35	68.8161785173915
NCOR1	0.747533418573394	8.30400573882363	12.9724210864732	2.4179176608849e-35	2.87847340581535e-35	68.1493382571927
NOTCH1	0.847535341413387	6.98219537039865	12.9525023493871	3.00720461438224e-35	3.53788778162616e-35	67.9323055123495
SLC11A1	0.559255167990695	6.90356507792167	12.7852188732124	1.86125252910352e-34	2.16424712686455e-34	66.11858900296
ZNF586	-0.56140878954739	7.96576287005822	-12.620992573178	1.09700463876644e-33	1.26092487214533e-33	64.3538028064175
TMF1	-0.584640241648399	6.48761144355858	-12.4546001728846	6.51381274513978e-33	7.40205993765884e-33	62.5819128019447
ZNF185	-0.928597913289744	8.62623999306702	-12.42702679087	8.73683482495507e-33	9.81666834264615e-33	62.2898756570936
ZDHHC7	0.604070810116418	9.74066209973109	12.0605207038557	4.14630771828253e-31	4.60700857586948e-31	58.4516593635417
C11orf30	-0.428197432467356	5.5823664150935	-11.9185650688494	1.80910307030726e-30	1.988025351986e-30	56.9871163026309
ZBTB43	-0.661924104934396	7.08062430087516	-11.8749071454414	2.83892199724452e-30	3.08578477961361e-30	56.5392171343238
