genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXA1	-2.03831761229915	5.57071730244837	-50.4056147600429	8.43530168242031e-262	8.43530168242031e-260	589.218711938863
FOXE1	-1.58258419267828	5.06635014647522	-46.0273542077392	1.34890551682992e-236	6.7445275841496e-235	531.181580761126
ZNF493	-1.43012442696488	4.72931830535348	-44.2145144572729	7.31314889170029e-226	2.43771629723343e-224	506.464077300296
ZNF157	-1.08327715495033	4.50966635753758	-42.84246271769	1.26027333492581e-217	3.15068333731453e-216	487.498325302688
ESR2	-1.18802991831138	4.62788788133085	-41.0662141538047	7.96976510882071e-207	1.59395302176414e-205	462.627379463939
POU4F1	-1.58011463213609	5.05370468286528	-40.0295538393299	1.88004639851119e-200	3.13341066418532e-199	447.953425068505
ZNF334	-1.40168205444073	4.56061856644184	-39.7549374378012	9.34377705655947e-199	1.33482529379421e-197	444.047403988821
HESX1	-1.25485721985984	6.2133223769932	-38.4666271848123	9.38792305049531e-191	1.17349038131191e-189	425.622143863076
TCF21	-1.52886480295524	4.74107580159212	-38.3207049032963	7.64466243050741e-190	8.49406936723046e-189	423.525017681729
ZNF225	-0.945615254869865	4.90268013721166	-37.8459718972112	7.11943121119477e-187	7.11943121119477e-186	416.688623510136
MYT1L	-1.1086980122438	5.10148772632105	-37.7243073878775	4.1192088244766e-186	3.74473529497873e-185	414.933262623012
ZNF613	-1.23144941786292	4.9602779905823	-36.9814959952293	1.9134521810425e-181	1.59454348420209e-180	404.187545238069
ZNF460	-1.24335575913906	4.98239354583871	-36.8526634805397	1.23987201697056e-180	9.53747705361966e-180	402.3189594799
HNF1A	-1.01744822870201	5.45867663232144	-36.3531964587481	1.75946665240848e-177	1.25676189457749e-176	395.06164150287
MEOX2	-0.7644133184738	4.40267046993011	-34.7761736691173	1.78975143871224e-167	1.19316762580816e-166	372.020792201169
SOX30	-0.701417993310061	4.63290580373283	-34.7011248229208	5.38220956703812e-167	3.36388097939882e-166	370.919896872913
HMGB1	1.92447844400006	12.0723654986821	32.7859596732774	9.61450869413801e-155	5.65559334949295e-154	342.712975023061
MSX2	-0.727489307873216	4.71882366671759	-32.718977939083	2.5879015433145e-154	1.43772307961916e-153	341.72300485969
TOX	-0.722867100218266	4.66354419315685	-32.4869328462025	8.00449439540391e-153	4.21289178705469e-152	338.291941322768
ST18	-1.34229793241676	4.91196456192832	-31.8036855017918	1.9821791474809e-148	9.91089573740452e-148	328.177030395834
RREB1	-1.47815826470156	6.55295864363526	-31.7822371685419	2.72389453900587e-148	1.29709263762184e-147	327.859239232203
