genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
DR1	-1.72011118853565	5.01069231684208	-51.170753518517	4.12663981713202e-266	4.12663981713202e-264	599.136278384319
FOXE1	-1.58258419267828	5.06635014647522	-46.0265288055286	1.33258562250129e-236	6.66292811250647e-235	531.184253140638
PHB2	2.33930767669537	11.2239806144398	43.8258008176747	1.50886753464342e-223	5.02955844881139e-222	501.124362165222
ZNF157	-1.08327715495033	4.50966635753758	-42.8391881006961	1.29252362273639e-217	3.23130905684097e-216	487.462805678781
ESR2	-1.18802991831138	4.62788788133085	-41.0643103604784	8.03599464468657e-207	1.60719892893731e-205	462.608458944206
RAG1	-1.1734082654403	5.54872292460728	-40.0405332413333	1.58041557113252e-200	2.63402595188753e-199	448.116170948408
POU4F1	-1.58011463213609	5.05370468286528	-40.0295014491232	1.84863237323452e-200	2.64090339033503e-199	447.95940912187
HESX1	-1.25485721985984	6.2133223769932	-38.4656434052535	9.36903665331888e-191	1.17112958166486e-189	425.612966876639
ZNF225	-0.945615254869865	4.90268013721166	-37.8429630157951	7.32027789822658e-187	8.13364210914065e-186	416.649487705053
MYT1L	-1.1086980122438	5.10148772632105	-37.722672516166	4.15283695707706e-186	4.15283695707706e-185	414.913792083138
MKRN3	-0.952693288816651	5.80537409643815	-37.4258934690791	3.0239563522808e-184	2.74905122934618e-183	410.625948809269
ZNF613	-1.23144941786292	4.9602779905823	-36.9806641409354	1.90822608948264e-181	1.5901884079022e-180	404.178793531469
CIZ1	2.04439809035891	9.12113011213819	36.4826444108689	2.63864550735311e-178	2.02972731334855e-177	396.947264498704
HNF1A	-1.01744822870201	5.45867663232144	-36.3512690640037	1.78393943856102e-177	1.27424245611502e-176	395.036220737897
BNC1	-1.13858036433494	5.91632183892948	-35.412960440083	1.57216341319204e-171	1.04810894212803e-170	381.34800153557
MEOX2	-0.7644133184738	4.40267046993011	-34.7720837669808	1.87615059120858e-167	1.17259411950536e-166	371.961747677367
SOX30	-0.701417993310061	4.63290580373283	-34.6959760533446	5.73087328650843e-167	3.37110193324026e-166	370.845216788209
TIGD6	-0.793050652310561	4.60469402792282	-34.2687203441824	3.04580241654061e-164	1.69211245363367e-163	364.570265261017
SKIL	-0.93125085025579	5.35899652627954	-32.9667087244617	6.5774457414508e-156	3.461813548132e-155	345.382462507081
ADAR	1.88813683587678	11.2947900381854	32.8279329585357	5.11259435245823e-155	2.55629717622912e-154	343.332171493147
MSX2	-0.727489307873216	4.71882366671759	-32.7152550145372	2.70413391432142e-154	1.28768281634353e-153	341.666808732495
TOX	-0.722867100218266	4.66354419315685	-32.4832442753258	8.36166819335361e-153	3.80075826970619e-152	338.235985343655
WDHD1	-1.2073815617187	5.60421555686207	-31.8063181006017	1.88668175271468e-148	8.15378548819935e-148	328.213971444034
ST18	-1.34229793241676	4.91196456192832	-31.8038521655948	1.95690851716784e-148	8.15378548819935e-148	328.177433254528
RREB1	-1.47815826470156	6.55295864363526	-31.7826602348658	2.67901393534184e-148	1.07160557413674e-147	327.863420642425
ZNF506	-1.12382524757364	5.18996043263919	-30.693422428516	2.79442977807734e-141	1.0747806838759e-140	311.707222631093
ATF4	1.63726514834037	10.9972518543495	30.6738563424706	3.7365404903236e-141	1.38390388530504e-140	311.416772524366
CHD7	-0.935756522829901	4.80132408126314	-30.6184017285341	8.51327947641824e-141	3.04045695586366e-140	310.593539647233
FOXL1	-1.37470582250299	5.58977267527222	-30.5193858312771	3.70427975155562e-140	1.27733784536401e-139	309.123517606595
MATR3	1.81791809453654	9.96629604268016	30.057341498791	3.54315775222564e-137	1.18105258407521e-136	302.262327830033
NPAS3	-0.81248561824232	5.09972609475901	-29.6301941918225	2.02100746832011e-134	6.51937893006487e-134	295.918104451358
NEUROG2	-1.03435471692008	4.76945590898736	-28.5037214203944	3.73859517817574e-127	1.16831099317992e-126	279.191322288793
ZBTB17	1.11491870968426	7.72047655101209	28.0281820838623	4.34406987262271e-124	1.31638480988567e-123	272.136585687438
ZNF780B	-0.520861244857563	4.42011531353053	-27.9646992957195	1.11401981316474e-123	3.27652886224924e-123	271.195273402318
ZNF428	1.2356629035506	8.4197576075883	27.9053056340523	2.6884156739072e-123	7.68118763973486e-123	270.314708513455
PLXND1	1.59827080240346	9.60693704306671	27.6780734631062	7.81314319980744e-122	2.17031755550207e-121	266.946883792565
PBRM1	-0.558856418571314	4.51957821058656	-27.5888555888116	2.93194560296429e-121	7.92417730530889e-121	265.625091100003
SIM1	-1.28720087261772	5.37126068866317	-27.5354236211236	6.47226135817467e-121	1.70322667320386e-120	264.833626459698
RPA4	-0.792012358956115	5.21194372666814	-27.0072840391715	1.6123678544777e-117	4.13427654994281e-117	257.017200863603
ZNF345	-0.962906540389085	5.12497765705548	-26.5254602910673	1.9987427931372e-114	4.99685698284299e-114	249.89868161793
RFX4	-0.665530345948026	5.27648771803819	-26.132853675493	6.5583607697999e-112	1.59960018775607e-111	244.108825236397
E4F1	1.47745804254215	7.37722309681597	25.4363263116789	1.85617626043044e-107	4.41946728673913e-107	233.864947854788
SOX3	-0.592873965699852	5.22791531872963	-24.9361950321558	2.84527668331634e-104	6.61692251934032e-104	226.535415083299
YOD1	-0.641233903826685	4.79594147175648	-24.8803216707496	6.44697371905181e-104	1.4652212997845e-103	225.718089029363
ZNF593	1.50777922175675	8.17603610936029	24.11097463622	4.85209686234486e-99	1.07824374718775e-98	214.498502953267
ZFX	-0.63646305992902	4.57602783324237	-23.4685455443935	5.4235169806821e-95	1.17902543058306e-94	205.185277684484
ZKSCAN5	-0.688041981396431	5.42328108613842	-22.756389788927	1.55790326900621e-90	3.31468780639619e-90	194.930062222131
DMRT1	-0.829150616559569	5.09540185705453	-22.6496642250113	7.20643638469638e-90	1.50134091347841e-89	193.400063045928
JUNB	2.25182196735448	9.59085900591575	22.1399276889634	1.05483873613124e-86	2.15273211455354e-86	186.119456159371
SREBF1	2.19430484076452	8.96329387771497	21.8069031823493	1.20325131824254e-84	2.40650263648508e-84	181.388283817652
ZNF674	-0.27504113099037	4.29943976427096	-21.4212976439618	2.82326746941261e-82	5.5358185674757e-82	175.937098789623
ZNF682	-0.63247806563692	4.90249871979403	-21.3041302330026	1.47374715916298e-81	2.83412915223649e-81	174.28675393727
ZNF667	-0.829767206583599	5.15928212788351	-21.1397397317146	1.49018321831611e-80	2.81166644965304e-80	171.976157090965
ZNF80	-0.317703477636136	4.35234591359589	-21.118124183471	2.01918560100526e-80	3.73923259445419e-80	171.67277182366
ZBED4	-0.89475309149918	6.27449589443355	-21.0507571765168	5.20102408810582e-80	9.45640743291968e-80	170.727895692315
IRF7	1.99367314224707	8.53734149754876	20.6655680053758	1.14082049214527e-77	2.0371794502594e-77	165.344821578746
ZNF234	-0.30265484928617	4.50371900138414	-20.5280111933618	7.7572076715824e-77	1.3609136265934e-76	163.430746401742
IRF9	1.53596756250131	10.0202367733133	19.8160630043903	1.46709334888082e-72	2.52947129117382e-72	153.598486711457
ZRSR1	-0.755209448946726	6.20328313521993	-19.4294288578903	2.91863945590871e-70	4.94684653543849e-70	148.314421565371
TOE1	0.556737318528479	8.32723269941593	19.3259560991671	1.19498541793182e-69	1.99164236321971e-69	146.907289483033
ZNF668	0.806614688103984	7.14137215864241	19.11473858335	2.10340620256391e-68	3.44820688944903e-68	144.044424813188
ZNF419	-0.944378776340244	7.40082724113592	-18.8418830269565	8.38768162346811e-67	1.35285187475292e-66	140.365490057151
ZNF43	1.21726239118536	8.00008982588314	17.8848036485629	2.87931047253701e-61	4.57033408339208e-61	127.645229150959
