genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HNRNPK	2.4308049044	11.3474529631983	55.4479182590231	1.49645043811688e-289	3.38197799014414e-287	653.054354087763
TPT1	2.90632693330269	12.9454838371348	53.376458936255	2.54021782562559e-278	2.87044614295691e-276	627.191808201876
DR1	-1.72011118853565	5.01069231684208	-51.1548580406685	5.09396190452841e-266	3.8374513014114e-264	598.859329526624
HOXA1	-2.03831761229915	5.57071730244837	-50.3946917974476	9.50858464902162e-262	5.37235032669722e-260	589.022861490349
BLZF1	-1.45626952004471	5.01944698733855	-50.0298534769107	1.09432554318128e-259	4.94635145517937e-258	584.276202131292
FOXE1	-1.58258419267828	5.06635014647522	-46.0128425413285	1.61115725645613e-236	6.06869233265142e-235	530.919338273456
TRIM28	3.03612601826742	10.013948892564	45.9276940794408	5.09991942924153e-236	1.64654541572655e-234	529.766846651781
RPS19	2.84957366780943	12.7592352549624	44.7612482893947	3.99161548393748e-229	1.12763137421234e-227	513.890821131942
ZNF493	-1.43012442696488	4.72931830535348	-44.1985292263631	8.95439255236175e-226	2.24854746314862e-224	506.1737310777
PHB2	2.33930767669537	11.2239806144398	43.8201283834515	1.63861351270157e-223	3.70326653870555e-222	500.963355392277
HLA-A	2.96097822655292	12.610807024288	43.6881960563442	1.0115981075602e-222	2.07837429371459e-221	499.142774478262
PNN	1.75198827727771	11.5903732035514	43.4523698212312	2.63186005245569e-221	4.95666976545821e-220	495.883472209015
ZNF157	-1.08327715495033	4.50966635753758	-42.8160175295581	1.79112922353071e-217	3.11380926552262e-216	487.056507701537
HLA-C	2.71873978067253	12.5420627654886	42.4303464942823	3.85385346452058e-215	6.22122059272608e-214	481.684248410263
MYH9	2.7925209583705	10.111157302082	42.0655507553999	6.29680719668284e-213	9.48718950966881e-212	476.587315600817
IL11	-1.27082983773858	5.23516745260918	-41.2755405183806	4.11330924511617e-208	5.81004930872659e-207	465.498567060515
ESR2	-1.18802991831138	4.62788788133085	-41.0472396184123	1.02614617192334e-206	1.36417079326279e-205	462.281363623271
TLE4	-1.02923221704827	4.85106487101885	-40.328576699316	2.65896295292717e-202	3.33847570756411e-201	452.117550840561
RAG1	-1.1734082654403	5.54872292460728	-40.0243001574905	1.99751743768332e-200	2.37599442587595e-199	447.797877582614
POU4F1	-1.58011463213609	5.05370468286528	-40.0203698667709	2.1122584624457e-200	2.38685206256364e-199	447.742018223712
ZNF334	-1.40168205444073	4.56061856644184	-39.7430963273391	1.09077326302293e-198	1.17387979734849e-197	443.797252519256
PFDN5	2.5997359818171	11.4844194183015	38.5551739987406	2.59834807021894e-191	2.66921210849764e-190	426.809408469914
HESX1	-1.25485721985984	6.2133223769932	-38.4529813733585	1.12748200157899e-190	1.10787361894283e-189	425.341580728195
TCF21	-1.52886480295524	4.74107580159212	-38.3121311774682	8.53787246899317e-190	8.0398299083019e-189	423.316879665535
RQCD1	-1.30672059016078	6.00285068579427	-38.0677704654683	2.87517361697267e-188	2.59915694974329e-187	419.799818318076
ZNF225	-0.945615254869865	4.90268013721166	-37.8220114552615	9.93446225609331e-187	8.63534026875803e-186	416.25706534168
USP22	-1.42056174957535	5.92102371066182	-37.7512126932093	2.75929784112074e-186	2.3096344892344e-185	415.235439533119
MYT1L	-1.1086980122438	5.10148772632105	-37.7074654244472	5.18842792748543e-186	4.18780254147038e-185	414.603940054016
MKRN3	-0.952693288816651	5.80537409643815	-37.4059124678631	4.04952365755385e-184	3.15583567795576e-183	410.246310188628
ZNF613	-1.23144941786292	4.9602779905823	-36.9689653701284	2.26776684299199e-181	1.70838435505397e-180	403.917997321641
ZNF460	-1.24335575913906	4.98239354583871	-36.840538327442	1.46117359859801e-180	1.06524268801016e-179	402.054875889328
SCAND2	-1.28133329636828	5.31154341782118	-36.8068124787469	2.3838480641964e-180	1.68359269533871e-179	401.56537677023
IL2	-0.898715617358368	4.61982669141867	-36.7454958582501	5.80588697393977e-180	3.9761528973042e-179	400.675179664624
CIZ1	2.04439809035891	9.12113011213819	36.4783252719609	2.81782938101652e-178	1.87302776502862e-177	396.792755728327
HNF1A	-1.01744822870201	5.45867663232144	-36.3351499175628	2.26205824401987e-177	1.4606433232814e-176	394.709789437656
IL17A	-0.667815695199575	4.57609891877866	-35.7816224101246	7.21720868519794e-174	4.53080323015204e-173	386.64164425035
BNC1	-1.13858036433494	5.91632183892948	-35.4009699384097	1.87857607657697e-171	1.14745457650377e-170	381.079790333548
COBRA1	1.5799057655206	8.7079449361986	35.0573341757281	2.87296588112579e-169	1.70865865561692e-168	376.049802737642
MEOX2	-0.7644133184738	4.40267046993011	-34.747321056552	2.70494505710191e-167	1.56748098180778e-166	371.504959998249
SOX30	-0.701417993310061	4.63290580373283	-34.6668289460277	8.81262142845782e-167	4.97913110707867e-166	370.323881638809
HMGN2	1.60087531854402	12.0199140071528	34.6525535895422	1.08666615369972e-166	5.9899158716131e-166	370.11437185477
TIGD6	-0.793050652310561	4.60469402792282	-34.2466618616851	4.22313556315789e-164	2.27244913636591e-163	364.151921609351
FLII	1.36749298467683	9.68474659453525	33.2738771966632	7.06764923666939e-158	3.71462494764484e-157	349.82229282771
SKIL	-0.93125085025579	5.35899652627954	-32.9523507436643	8.15023047966882e-156	4.18625474637535e-155	345.075009985762
HMGB1	1.92447844400006	12.0723654986821	32.7832879248967	9.9130555927041e-155	4.97855680878028e-154	342.57685939991
MSX2	-0.727489307873216	4.71882366671759	-32.6924770065308	3.79544501256062e-154	1.86471863660587e-153	341.234462748948
TOX	-0.722867100218266	4.66354419315685	-32.4606608661073	1.17046706008721e-152	5.62820331020659e-152	337.806068347051
RPL27	1.71611361024593	12.6899016556937	32.1800873769615	7.44635976410256e-151	3.50599438893162e-150	333.653668413301
FLNA	2.91623119263002	10.1142791996851	32.0402888424472	5.90323957122348e-150	2.72271865938063e-149	331.583581772472
WDHD1	-1.2073815617187	5.60421555686207	-31.7984991396062	2.12291219512102e-148	9.55276046205031e-148	328.001633421043
ST18	-1.34229793241676	4.91196456192832	-31.797464631793	2.15571143170162e-148	9.55276046205031e-148	327.986303719609
RREB1	-1.47815826470156	6.55295864363526	-31.7773455579033	2.90462290620505e-148	1.26239380154296e-147	327.688165361557
RING1	1.27238942165413	9.18424633496479	31.7221177397053	6.58567731818462e-148	2.80823221492401e-147	326.869695281275
USP7	1.60201359869454	10.0580374338892	31.5085199866994	1.56298239248934e-146	6.54137075375166e-146	323.703326766013
DLX2	-1.74680931152422	7.73813453114421	-31.3638473689231	1.33607111610164e-145	5.49003767707219e-145	321.557963632737
REXO4	1.16644931627699	7.9929882540356	31.2075878489714	1.35710819732482e-144	5.47690093920375e-144	319.240163110837
ZFAND5	-1.01064564891341	4.82024851850231	-30.8896073008967	1.52110325132839e-142	6.03104096140731e-142	314.521804926111
ZNF506	-1.12382524757364	5.18996043263919	-30.6853359584093	3.15696375824794e-141	1.2301272575242e-140	311.489663503436
ATF4	1.63726514834037	10.9972518543495	30.669886067439	3.97101448503059e-141	1.52110046375748e-140	311.260300895823
CHD7	-0.935756522829901	4.80132408126314	-30.606962289272	1.01087279018925e-140	3.80762084304619e-140	310.326122035619
HLF	-1.70229600352437	6.83415760737774	-30.5868640861854	1.36243418035354e-140	5.04770696327706e-140	310.027727421612
FOXL1	-1.37470582250299	5.58977267527222	-30.5139659232839	4.02234274203144e-140	1.4662088059663e-139	308.9453718034
KCNH6	-0.430053129818628	4.51131994086224	-30.3895582108494	2.55231390454509e-139	9.15591972106652e-139	307.098064559938
IRF3	1.68829108820508	8.78626171130405	30.2563261021601	1.84672192722316e-138	6.48934801453402e-138	305.119526378709
IKBKAP	-0.627807898397348	4.8940228637761	-30.2556123656195	1.86640540241023e-138	6.48934801453402e-138	305.108926679769
MATR3	1.81791809453654	9.96629604268016	30.0542429876455	3.71679614093055e-137	1.27272110280349e-136	302.118218521923
AFF2	-0.972755548853717	6.53721915856641	-29.8074441446468	1.45409908472043e-135	4.90487153950475e-135	298.452464438803
NPAS3	-0.81248561824232	5.09972609475901	-29.6165180474461	2.48069948129962e-134	8.24467768784874e-134	295.616493564616
SUB1	2.84527874050382	10.3318665327076	29.3787323491209	8.49019536240988e-133	2.78084659696323e-132	292.084544703561
DNMT1	1.88314033306892	8.44218904866413	29.2024213108203	1.16554602732709e-131	3.76304860251319e-131	289.465881289755
C14orf169	1.54744944845978	8.58993440662776	28.8944845779862	1.13024937834555e-129	3.5976952043112e-129	284.892910779015
PIAS2	-0.555904974981137	4.57628161195958	-28.6328810542606	5.50177393743392e-128	1.72694570813898e-127	281.009004229677
NEUROG2	-1.03435471692008	4.76945590898736	-28.4960816037108	4.19425512231966e-127	1.29849542143047e-126	278.978489632917
DAP	1.59900040781626	9.87425102170846	28.3883559526134	2.07592287467306e-126	6.33998067129881e-126	277.379792954532
THAP7	1.59896958941436	7.67267773895546	28.2512134751063	1.58953262546161e-125	4.78979164472431e-125	275.344929333759
ZNF614	-0.735058702032969	5.78983919318878	-28.1119245561052	1.25590895077833e-124	3.73467661678819e-124	273.278714605234
SNAPC5	-0.750000435695546	5.1111362948389	-28.1026346004308	1.44152469737408e-124	4.23096859229274e-124	273.140926303433
ZBTB17	1.11491870968426	7.72047655101209	28.021881421023	4.77690577220162e-124	1.38407782630457e-123	271.943303987129
ZNF780B	-0.520861244857563	4.42011531353053	-27.9370808408143	1.68058876127988e-123	4.80776025378802e-123	270.685868943706
ZNF428	1.2356629035506	8.4197576075883	27.9001876871196	2.90476002329768e-123	8.20594706581595e-123	270.138883113208
LASS2	2.08365899531675	10.7665687024565	27.8760479285107	4.15525303387297e-123	1.15936689587073e-122	269.78100590669
PLXND1	1.59827080240346	9.60693704306671	27.6749710072367	8.19280949167782e-122	2.25801822575511e-121	266.800775560872
PBRM1	-0.558856418571314	4.51957821058656	-27.565770266918	4.13400107460515e-121	1.12564366609731e-120	265.182895079031
SIM1	-1.28720087261772	5.37126068866317	-27.5308631863173	6.93474034820045e-121	1.86577537939679e-120	264.665822009309
TGIF1	1.8453056811117	8.92769309613103	27.3778830673703	6.68884838982729e-120	1.77844674835408e-119	262.400342298437
HIST1H2AL	-0.664470298867061	4.82980532451964	-27.0191073299399	1.35545332679748e-117	3.56200525414222e-117	257.09136495059
RPA4	-0.792012358956115	5.21194372666814	-26.9963496573758	1.89808044691261e-117	4.93064575864655e-117	256.754820364453
CEBPB	2.4084273467281	11.0437995328032	26.8180032733857	2.65389284634089e-116	6.81567935537547e-116	254.118348751236
ZNF345	-0.962906540389085	5.12497765705548	-26.5183555275728	2.22274623849129e-114	5.64427696515767e-114	249.692741698865
ZNF669	-1.10050769615409	6.58480268197578	-26.1576701738024	4.55441327145014e-112	1.14366377705304e-111	244.373130190268
RFX4	-0.665530345948026	5.27648771803819	-26.1189144152672	8.06462253435852e-112	2.00286229974179e-111	243.80206412894
HOXB9	-0.786451943134033	5.1879339008619	-25.5222508178447	5.25845262311103e-108	1.29175031828597e-107	235.024649873304
E4F1	1.47745804254215	7.37722309681597	25.4335053209525	1.93694232158035e-107	4.70697811480816e-107	233.721622813719
HCFC1	0.932755710004681	8.89240869152326	25.0800294271795	3.46355418603969e-105	8.3272685749465e-105	228.538706932411
ELF1	1.61662977221832	8.933090646598	25.0039959824998	1.05525512449724e-104	2.51039640143553e-104	227.425401073228
SOX3	-0.592873965699852	5.22791531872963	-24.9209735986636	3.55948011934458e-104	8.3796094476237e-104	226.210417139115
YOD1	-0.641233903826685	4.79594147175648	-24.8673570522221	7.80250020604554e-104	1.81790210986216e-103	225.426141236129
ZNF549	-0.548304922578551	4.93917642191783	-24.5184539146504	1.27964641708512e-101	2.95102132919629e-101	220.329970697111
LOC100130354	-0.499851653452102	5.45565583091322	-24.5096863281587	1.45436677627377e-101	3.32006961048356e-101	220.2020802179
ZNF593	1.50777922175675	8.17603610936029	24.1086336370457	5.02520838397139e-99	1.13569709477753e-98	214.361566687724
IKZF5	-1.22789018996134	6.52416494116528	-23.6570957675529	3.53970781284285e-96	7.92053431388598e-96	207.809716004851
ELSPBP1	-0.799917936331599	6.5300520327373	-23.6308458362766	5.17807579213582e-96	1.14729914610068e-95	207.429657325247
ZFX	-0.63646305992902	4.57602783324237	-23.45747711303	6.37115045040679e-95	1.39794174931256e-94	204.921943334875
ZNF175	-0.930666264247254	7.53631896314143	-23.1098983522587	9.63878986339111e-93	2.0945831818523e-92	199.907384264525
ZKSCAN5	-0.688041981396431	5.42328108613842	-22.7477081048558	1.76621566521414e-90	3.80156895560377e-90	194.701671314103
PARP1	1.16485345759439	9.82600857552052	22.6519484619753	6.97993303230742e-90	1.48817440122781e-89	193.328862428056
DMRT1	-0.829150616559569	5.09540185705453	-22.6436947984555	7.85706673402551e-90	1.65952998307455e-89	193.21060924096
SIGIRR	1.54784964318814	9.06678951321048	22.533848741371	3.79302403950647e-89	7.93725400859686e-89	191.637896216582
MSTN	-0.295780375011796	4.26310276976034	-22.2135552828294	3.69415586785222e-87	7.65944244160184e-87	187.064020336819
JUNB	2.25182196735448	9.59085900591575	22.1389735021345	1.07010960323633e-86	2.19858882119463e-86	186.001596400352
SREBF1	2.19430484076452	8.96329387771497	21.8059478400293	1.22057641160699e-84	2.48513755876738e-84	181.27024620305
KDM1	1.0925311558531	8.98818106492996	21.7894644717318	1.5422291551819e-84	3.11199811670633e-84	181.036613710742
HDAC5	1.07389241313152	7.88091391888451	21.5999946806067	2.26031723778486e-83	4.52063447556972e-83	178.354939036645
ZNF471	-0.40831652955001	4.77620285141453	-21.5954411182519	2.41076485214273e-83	4.77923558407243e-83	178.290577802378
ZNF674	-0.27504113099037	4.29943976427096	-21.3770919208912	5.27188707884559e-82	1.036040417234e-81	175.209331768788
ZNF682	-0.63247806563692	4.90249871979403	-21.2957086095682	1.66057041426379e-81	3.235249255376e-81	174.063414304184
PYCARD	2.68130838730452	9.44809512239919	21.2625746918919	2.64823671037682e-81	5.11539740636889e-81	173.597272654703
ZNF667	-0.829767206583599	5.15928212788351	-21.1348650324323	1.59694074242418e-80	3.05854752362597e-80	171.802796598355
ZNF80	-0.317703477636136	4.35234591359589	-21.0862950440494	3.15983190104616e-80	6.00102529106245e-80	171.121255012328
ZBED4	-0.89475309149918	6.27449589443355	-21.046585543025	5.51833012864621e-80	1.0392855075617e-79	170.564428636788
ENG	1.4275271363749	9.09280254994978	20.7639736860289	2.88920291811885e-78	5.39636247516413e-78	166.61166813527
IRF7	1.99367314224707	8.53734149754876	20.6646017469792	1.15702698969192e-77	2.14334507926536e-77	165.22612915429
ZNF234	-0.30265484928617	4.50371900138414	-20.4958085796349	1.21501164742614e-76	2.23246042535209e-76	162.877965470519
HOXB6	-0.651715282944598	6.12779267161406	-20.3732466741624	6.6722483503443e-76	1.21607107030469e-75	161.177222928443
CTNNBIP1	0.893261531765098	8.98024575797256	20.0309042639321	7.61986375278683e-74	1.37767136650386e-73	156.446348305784
