genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXD1	-1.65042685414125	4.88848508961329	-48.3546250500118	1.85477156807252e-250	1.96605786215687e-248	563.155483863505
RBM26	-2.17551614284564	5.26780763534616	-48.1212768622982	4.11509273962796e-249	2.18099915200282e-247	560.056317483924
TBR1	-1.91985668146432	5.37054013210823	-48.0352697025031	1.29198863743383e-248	4.56502651893286e-247	558.912327574206
ELK4	-1.79048417227289	4.93334273113241	-44.8551767958103	5.75290666705628e-230	1.52452026676991e-228	515.976335127019
NLRP3	-1.40829750946653	4.69864816011081	-41.8330201203854	9.26476901371681e-212	1.96413103090796e-210	474.057199924183
ATXN3L	-2.14470050711682	5.20468236196702	-41.0609145848083	4.90200532287861e-207	8.6602094037522e-206	463.181955488474
ELL2	-1.50714165884142	5.83487756807848	-40.5614271860836	5.76803573494219e-204	8.73445411291245e-203	456.112267839991
PAX4	-1.16858953510959	4.79744449755061	-40.4623253125375	2.35308111836888e-203	3.11783248183877e-202	454.706442694763
MECOM	-1.90295252751181	6.04124263975826	-40.4448608920682	3.01501335866825e-203	3.5510157335426e-202	454.458591296415
DMD	-2.21625677774103	6.20216261465094	-39.2612464724691	6.41370077349612e-196	6.79852281990589e-195	437.587630595354
ZNF717	-2.00281483200546	5.85227441409734	-39.1512959766569	3.0970176594711e-195	2.98439883549033e-194	436.013238250235
BMP15	-2.0310588672042	6.3182854043399	-38.6097766332872	7.35221447571364e-192	6.49445612021371e-191	428.241923333399
ZNF695	-1.72694430117112	5.40676169769243	-37.0490623165696	4.58728502154919e-182	3.7404016329555e-181	405.691081304769
ISL1	-1.77825241404253	5.24540188313793	-36.9332539869489	2.46672267434448e-181	1.86766145343225e-180	404.009166435567
ZC3H13	-1.81956179207207	6.69852537809279	-34.4527881463444	1.41085233139097e-165	9.97002314182952e-165	367.733508578812
ING2	-1.84645693763512	5.85850897266029	-34.3009975265099	1.31782862883587e-164	8.73061466603763e-164	365.499645386632
NEUROD4	-1.71795411710412	6.14867048307441	-34.2433325323638	3.08082066267103e-164	1.92098229554782e-163	364.650632699733
IL1RL1	-1.61275666343186	5.84527285390997	-34.2381002716271	3.32762765232182e-164	1.95960295081174e-163	364.573587115512
SHOX	-1.52129828265891	6.57565314662993	-34.0778578727188	3.52759437992782e-163	1.96802633827552e-162	362.213204499713
SP4	-1.51994909814653	6.16921303564514	-33.6991750956444	9.40067063507738e-161	4.98235543659101e-160	356.629242266081
ZNF287	-1.57393308584114	6.52596601403376	-32.6675225309112	3.9647573271097e-154	2.00125846035061e-153	341.378621489872
TP63	-2.13037203593377	6.97917031849474	-32.5125121650277	3.94036767789483e-153	1.89854079025842e-152	339.082883054787
ZIC3	-1.49321699023096	5.85984952172105	-32.2230189797352	2.87906099258281e-151	1.32687158788599e-150	334.792825857813
DCC	-1.65684814261438	5.73676907653613	-32.0237834823191	5.52979427918238e-150	2.44232580663889e-149	331.838482820618
IKZF2	-1.25112192977041	6.20250692646821	-30.8039336465963	4.09651251261411e-142	1.73692130534838e-141	313.724108537878
CHD2	-1.18801492392443	6.8311389424182	-30.559574107314	1.55112698152106e-140	6.32382538620126e-140	310.09148798061
POU4F2	-1.13491323498324	5.18132410388748	-30.287920918879	8.82260452228465e-139	3.46368918282286e-138	306.052175712401
DMC1	-1.44261307121452	5.80259642601319	-29.944691705723	1.45679211208412e-136	5.51499871003276e-136	300.947621616446
ASF1A	-1.40584303539108	7.00042335187435	-29.8361576191292	7.32423732649028e-136	2.6771350227861e-135	299.333361388587
PSMD9	-1.40821577789211	7.01293575852675	-29.7864414859861	1.53476429428038e-135	5.42283383979067e-135	298.593908971897
PRDM5	-1.06812815442938	6.51233896909322	-29.7047907725363	5.17244046943092e-135	1.76864093470864e-134	297.379472279907
NEUROD2	-1.44324768066924	6.77292812359349	-29.5038140328941	1.02914004380517e-133	3.40902639510461e-133	294.390256289821
HMGA2	-1.62266170895327	6.09509902420379	-29.4709260529959	1.67882252144119e-133	5.39258143250805e-133	293.901108862259
ZNF280A	-1.04599444957071	6.77788640991001	-29.1883052388879	1.12533236246743e-131	3.50838913004551e-131	289.697900010668
NR1I2	-1.02066215575062	6.25869499484273	-29.0965398520231	4.40767960159395e-131	1.33489725076845e-130	288.333278706349
NR1H4	-1.2077357954346	5.78870983172255	-28.4971268493774	3.28155963177616e-127	9.66237002689646e-127	279.42241136756
KDM5D	-1.18209570351602	6.45862679589345	-28.358157703525	2.59026308871097e-126	7.42075371360441e-126	277.357468709321
VDR	-1.07834073936172	8.06182887808257	-28.0079809669567	4.71370674479908e-124	1.31487609197027e-123	272.156404819893
