ID	genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
1010	SLCO1A2	-2.34375362133097	5.31603089834497	-50.3080248234109	4.41944076796491e-262	5.00280694933628e-259	589.977583119879
995	SLC30A10	-2.32525227831767	5.09545319095697	-48.5024861907507	9.4876380712474e-252	5.37000314832603e-249	566.210711218457
1021	SPACA1	-1.53003451218118	4.92699958823353	-48.4539107754479	1.80948619229376e-251	6.82779456558845e-249	565.565676342812
771	MSTP9	-1.73746355477109	5.37441879145318	-48.3890164088461	4.28894560683951e-251	1.21377160673558e-248	564.703483427103
42	HOXD1	-1.65042685414125	4.88848508961329	-48.3077352168405	1.26504923010702e-250	2.38672621413524e-248	563.62283480046
619	HOXD1	-1.65042685414125	4.88848508961329	-48.3077352168405	1.26504923010702e-250	2.38672621413524e-248	563.62283480046
927	RBM26	-2.17551614284564	5.26780763534616	-48.1360103832124	1.24664919697895e-249	2.01600984425738e-247	561.337021577817
46	TBR1	-1.91985668146432	5.37054013210823	-48.0272453142801	5.3198930277488e-249	6.69124323045738e-247	559.887366002151
1055	TBR1	-1.91985668146432	5.37054013210823	-48.0272453142801	5.3198930277488e-249	6.69124323045738e-247	559.887366002151
585	GPR98	-2.07183771590042	5.36905689112014	-47.7356869607001	2.61973154845459e-247	2.96553611285059e-245	555.994147598788
701	KLHL4	-2.20623426684554	5.28733348562152	-47.5560289618187	2.90639194477486e-246	2.99094152862285e-244	553.589909809815
715	LAMA4	-1.61297574494901	4.99896534255604	-47.3953343352007	2.50959158308592e-245	2.36738139337771e-243	551.436066297412
95	214645_at	-1.79848966691788	4.92651244034605	-47.2464202220642	1.85544517819064e-244	1.61566457054754e-242	549.437276379642
494	DLGAP2	-1.74635176272139	5.7690738356439	-47.1319441441638	8.6530296482419e-244	6.99659254414988e-242	547.898870920464
62	208098_at	-2.42988158542472	5.58859620662415	-47.0783198975285	1.78097748014874e-243	1.34404433835225e-241	547.177677885665
282	221144_at	-2.45499551445859	4.98041814186146	-46.9026306361132	1.90029334168604e-242	1.34445753924287e-240	544.812354307919
1025	SPINLW1	-2.67605021941758	5.65319872056844	-46.2215765241929	1.90526315136026e-238	1.26868111019989e-236	535.607493732267
907	PRSS7	-1.6664472876169	4.95746542440518	-46.1571788317119	4.56621311784594e-238	2.87164069411201e-236	534.734188538492
107	215234_at	-2.0201910747822	5.80671577218728	-45.725654929464	1.61759297033267e-235	9.63744864429779e-234	528.869236779668
888	PPP1R3A	-1.76400416038169	5.23509979006012	-45.6822090841951	2.9246657985147e-235	1.65536084195932e-233	528.277502543243
1042	TAAR3	-2.12525131509934	5.64106304019971	-45.4394634243377	8.03510608526896e-234	4.33130480405927e-232	524.9671005491
642	IFNA5	-2.10153843956989	4.93727879239822	-45.4176622877695	1.08236125243657e-233	5.56924062617361e-232	524.669443517494
953	SCN11A	-1.59180903750773	5.30960883260763	-45.0142786244018	2.70865059088566e-231	1.33312716038373e-229	519.151626514582
355	ARHGAP24	-1.7211105455416	5.94139494315167	-44.9917776720214	3.6879492026545e-231	1.73948270725204e-229	518.843265333611
182	216487_at	-1.65257911023928	5.53927444681549	-44.8795153619674	1.72144193080844e-230	7.79468906270061e-229	517.303877910975
40	ELK4	-1.79048417227289	4.93334273113241	-44.8474370808804	2.67427245892125e-230	1.12121349018476e-228	516.863730745417
515	ELK4	-1.79048417227289	4.93334273113241	-44.8474370808804	2.67427245892125e-230	1.12121349018476e-228	516.863730745417
1052	TAS2R8	-1.97222358632621	5.29809714593015	-44.6935056204171	2.21811985353077e-229	8.96754169356013e-228	514.749925508534
248	217470_at	-2.2290321596903	5.13512752468428	-44.5368325587953	1.91594492923126e-228	7.47879193065442e-227	512.595577957972
357	ASB4	-1.62363356300576	5.26650234301218	-44.3459900930066	2.65893779094818e-227	1.00330585978445e-225	509.967448709613
901	PRO2964	-1.60589861436489	5.1812735245777	-44.188030153313	2.35298987090752e-226	8.59220817376551e-225	507.788895288592
312	ACSL6	-1.79487968984264	5.14899453241977	-43.8079875560183	4.5190643571478e-224	1.59861901634104e-222	502.535397403487
1011	SLCO1C1	-2.0124844397006	5.15323399867463	-43.7542537149241	9.5168215689087e-224	3.26455818666808e-222	501.791245816098
274	220873_at	-2.16036820206363	6.13736264272521	-43.7117325694649	1.71611192276117e-223	5.71364322519307e-222	501.202138289651
279	220897_at	-1.65010152241007	5.01021789838026	-43.3141634119441	4.29572035498517e-221	1.38935869766949e-219	495.683861930305
966	SERPINI2	-1.97552234831581	6.01986753656083	-43.2874336198008	6.23130000041878e-221	1.95939766679835e-219	495.312194506261
765	MPL	-2.00652327080027	5.57893243330052	-43.0783146325578	1.14717715923006e-219	3.50974201148223e-218	492.401634434883
179	216444_at	-1.85594542002501	5.36165993778826	-42.8142881521869	4.57034844216941e-218	1.36148274645678e-216	488.719694729537
917	PTCH1	-1.59035522833568	5.75487286070771	-42.793287477107	6.12896281716915e-218	1.77897074590653e-216	488.426491248891
761	MIA2	-1.5276750278157	4.82944686411176	-42.7658907237184	8.98815418192504e-218	2.54364763348479e-216	488.043912627088
832	OR2B2	-1.51365904755463	5.08063244465012	-42.6934390309965	2.47509414986068e-217	6.83367457961535e-216	487.031758252017
517	EMR3	-1.78477122969446	5.86633951209622	-42.5705390616634	1.38172683060098e-216	3.72408279104834e-215	485.313475516141
976	SIRPB1	-1.70361715627616	6.57915807602622	-42.5685454215482	1.42083331442019e-216	3.7404263067992e-215	485.285588028275
300	222355_at	-1.90393185073898	5.64067492148545	-42.4682077857674	5.79199344016928e-216	1.4901219486981e-214	483.881461975937
814	NRXN1	-2.20430655558443	6.29253287936758	-42.4427916525497	8.26980423188138e-216	2.0803151978866e-214	483.525607814807
763	MMP27	-1.53641500427016	5.92045219290031	-42.4050012866591	1.40450367597031e-215	3.45630035043128e-214	482.996365947047
460	CTAGE1	-1.78324517672386	5.12122110418464	-42.3812038957234	1.96070364823015e-215	4.72237559531177e-214	482.663008610458
55	207477_at	-2.17659701833702	5.46075100311696	-42.3584176329102	2.69880030414312e-215	6.36467071727087e-214	482.343755559198
258	217699_at	-1.74435255723989	5.46657890840244	-42.2547150666924	1.15610074176994e-214	2.67082865241546e-213	480.890065722045
1099	USH1C	-2.4493867621413	6.32536116749103	-42.1797585022663	3.31136190192961e-214	7.49692334596863e-213	479.838582723593
184	216529_at	-1.64707060650801	4.81844602936369	-41.9851719102544	5.10122193048011e-213	1.13227122064774e-211	477.106011645189
299	222342_at	-1.18519183134027	4.70191394692417	-41.8091444860799	6.07629253492108e-212	1.32276214414051e-210	474.630438583593
799	NLRP3	-1.40829750946653	4.69864816011081	-41.7889938972279	8.07056115882229e-212	1.72375004373337e-210	474.346830596417
