genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXD1	-1.65042685414125	4.88848508961329	-48.273596916188	1.0818165169566e-250	5.1927192813917e-249	563.657517844389
TBR1	-1.91985668146432	5.37054013210823	-48.0181924431089	3.27817355362098e-249	7.86761652869035e-248	560.246324561735
ELK4	-1.79048417227289	4.93334273113241	-44.8388242444506	1.77067728930968e-230	2.83308366289549e-229	517.113483977222
MECOM	-1.90295252751181	6.04124263975826	-40.4706697694116	6.69917617149754e-204	8.03901140579704e-203	455.916921915507
PAX4	-1.16858953510959	4.79744449755061	-40.3166302718711	6.02464313981725e-203	5.78365741422456e-202	453.720552357049
ZNF717	-2.00281483200546	5.85227441409734	-39.1918449922035	5.98833716430892e-196	4.79066973144713e-195	437.609295365508
ZNF695	-1.72694430117112	5.40676169769243	-37.0708994298961	1.30542465727627e-182	8.95148336418014e-182	406.898746065734
ISL1	-1.77825241404253	5.24540188313793	-36.9611146772793	6.47039941381765e-182	3.88223964829059e-181	405.298195887821
NEUROD4	-1.71795411710412	6.14867048307441	-34.2758273367228	8.7151475727957e-165	4.64807870549104e-164	365.861811134124
SHOX	-1.52129828265891	6.57565314662993	-34.0898675786028	1.36276928811276e-163	6.54129258294125e-163	363.112680743387
SP4	-1.51994909814653	6.16921303564514	-33.7130159335074	3.60619240915402e-161	1.57361123308539e-160	357.535439031253
ZNF287	-1.57393308584114	6.52596601403376	-32.6922743396823	1.36480591562501e-154	5.45922366250003e-154	342.392271436867
TP63	-2.13037203593377	6.97917031849474	-32.573953629619	7.92356536268479e-154	2.92562413391438e-153	340.633865056392
ZIC3	-1.49321699023096	5.85984952172105	-32.2410137272235	1.12100821404782e-151	3.84345673387825e-151	335.682961308655
IKZF2	-1.25112192977041	6.20250692646821	-30.7964578168881	2.50448134916684e-142	8.0143403173339e-142	314.162133955232
POU4F2	-1.13491323498324	5.18132410388748	-30.2623006293443	7.25387938279693e-139	2.17616381483908e-138	306.193666740068
PRDM5	-1.06812815442938	6.51233896909322	-29.6693382572253	5.06626608203191e-135	1.4304751290443e-134	297.345596055245
NEUROD2	-1.44324768066924	6.77292812359349	-29.5283398003858	4.15710483982362e-134	1.10856129061963e-133	295.241637429981
HMGA2	-1.62266170895327	6.09509902420379	-29.5102584749337	5.44517091336381e-134	1.37562212548138e-133	294.971836414697
NR1I2	-1.02066215575062	6.25869499484273	-29.055326604643	4.84176781075377e-131	1.1620242745809e-130	288.184383927316
NR1H4	-1.2077357954346	5.78870983172255	-28.4982385873293	1.9707418087687e-127	4.50455270575702e-127	279.876693929798
KDM5D	-1.18209570351602	6.45862679589345	-28.3562325337238	1.63803271076222e-126	3.57388955075394e-126	277.760039334664
VDR	-1.07834073936172	8.06182887808257	-27.9902789394772	3.83108056152514e-124	7.99529856318291e-124	272.307940586095
