ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
1093	SLCO1A2	-2.34375362133097	5.31603089834497	-50.2881439920753	1.81239780027664e-261	2.20750052073695e-258	588.573888372018
584	FN1	4.12695861706238	12.075508973491	49.8177560589365	8.41429606461007e-259	5.12430630334753e-256	582.438072721033
1102	SPACA1	-1.53003451218118	4.92699958823353	-48.5342581764074	1.83041651097196e-251	7.43149103454616e-249	565.555134350819
98	211606_at	-1.9524254552785	5.60736908573445	-48.5099256833026	2.52647459706853e-251	7.69311514807367e-249	565.233083187544
1079	SLC30A10	-2.32525227831767	5.09545319095697	-48.4786247433044	3.82481752650258e-251	9.31725549456028e-249	564.818693212133
52	HOXD1	-1.65042685414125	4.88848508961329	-48.3610361849393	1.81823704544658e-250	3.16373245907704e-248	563.26086096536
667	HOXD1	-1.65042685414125	4.88848508961329	-48.3610361849393	1.81823704544658e-250	3.16373245907704e-248	563.26086096536
1002	RBM26	-2.17551614284564	5.26780763534616	-48.1222298560323	4.33430267350244e-249	6.59897582040747e-247	560.091825437079
54	TBR1	-1.91985668146432	5.37054013210823	-48.0382277203872	1.32469242096876e-248	1.61347536873995e-246	558.975406530261
1138	TBR1	-1.91985668146432	5.37054013210823	-48.0382277203872	1.32469242096876e-248	1.61347536873995e-246	558.975406530261
628	GPR98	-2.07183771590042	5.36905689112014	-47.7294660836717	8.10550368326328e-247	8.97500316928607e-245	554.864332397664
760	KLHL4	-2.20623426684554	5.28733348562152	-47.5379353215644	1.04629548249417e-245	1.06198991473159e-243	552.308221471009
775	LAMA4	-1.61297574494901	4.99896534255604	-47.4488300191478	3.44455650014184e-245	3.22728447474828e-243	551.117503584125
110	214645_at	-1.79848966691788	4.92651244034605	-47.2687227259073	3.84064260993985e-244	3.34135907064767e-242	548.707728963894
525	DLGAP2	-1.74635176272139	5.7690738356439	-47.161024164865	1.6273004814291e-243	1.32136799092043e-241	547.264847316662
70	208098_at	-2.42988158542472	5.58859620662415	-47.0445503005832	7.76822937535048e-243	5.91356461198555e-241	545.702791325487
289	221144_at	-2.45499551445859	4.98041814186146	-46.8671506282988	8.42685236791898e-242	6.03759187301489e-240	543.320439815902
980	PRSS7	-1.6664472876169	4.95746542440518	-46.1924382820319	7.56332990685672e-238	5.11785323697305e-236	534.224292849701
1108	SPINLW1	-2.67605021941758	5.65319872056844	-46.1749936509482	9.57720074945882e-238	6.13948974360044e-236	533.988375087717
123	215234_at	-2.0201910747822	5.80671577218728	-45.7164926191735	4.80499497594335e-235	2.9262419403495e-233	527.774429369614
960	PPP1R3A	-1.76400416038169	5.23509979006012	-45.7004069864987	5.97907557170641e-235	3.46786383158972e-233	527.555961829397
1126	TAAR3	-2.12525131509934	5.64106304019971	-45.4208892645794	2.68273605821106e-233	1.48526023586412e-231	523.754687975265
692	IFNA5	-2.10153843956989	4.93727879239822	-45.4007992571556	3.52749995292483e-233	1.86804127941845e-231	523.481112590969
1035	SCN11A	-1.59180903750773	5.30960883260763	-45.0542104950132	3.9979081915497e-231	2.02893840721147e-229	518.753799942871
353	ARHGAP24	-1.7211105455416	5.94139494315167	-45.0118650591819	7.13278858534705e-231	3.47509459878108e-229	518.175238906923
193	216487_at	-1.65257911023928	5.53927444681549	-44.9087560641325	2.92320739373274e-230	1.36941023291018e-228	516.765574228442
50	ELK4	-1.79048417227289	4.93334273113241	-44.8579607670069	5.85938290346487e-230	2.54883156300722e-228	516.0706539045
554	ELK4	-1.79048417227289	4.93334273113241	-44.8579607670069	5.85938290346487e-230	2.54883156300722e-228	516.0706539045
343	ANXA10	-2.08904194160177	5.64445868064074	-44.8277604498705	8.86062962768105e-230	3.72146444362604e-228	515.657343279079
259	217470_at	-2.2290321596903	5.13512752468428	-44.5088905995333	7.02717898945232e-228	2.85303466971764e-226	511.286772708079
356	ASB4	-1.62363356300576	5.26650234301218	-44.3763064216238	4.34558226331718e-227	1.70739328926462e-225	509.465959160516
975	PRO2964	-1.60589861436489	5.1812735245777	-44.2201041496386	3.72757703424604e-226	1.4188090086599e-224	507.318122148777
315	ACSL6	-1.79487968984264	5.14899453241977	-43.8130191723215	1.02282636428925e-223	3.7751591263767e-222	501.707049182262
1094	SLCO1C1	-2.0124844397006	5.15323399867463	-43.7389379489049	2.84736905443676e-223	1.02002809067764e-221	500.68385684947
282	220873_at	-2.16036820206363	6.13736264272521	-43.6859871911527	5.9214658315099e-223	2.06067010936545e-221	499.952120517231
287	220897_at	-1.65010152241007	5.01021789838026	-43.3344317845625	7.71290745467963e-221	2.60953368883327e-219	495.085632931946
1050	SERPINI2	-1.97552234831581	6.01986753656083	-43.273497841589	1.79638742792297e-220	5.91351320867615e-219	494.240682781321
833	MPL	-2.00652327080027	5.57893243330052	-43.0613216415285	3.42297398973568e-219	1.09715324197317e-217	491.295163860121
988	PTCH1	-1.59035522833568	5.75487286070771	-42.8189848247362	9.97939582606813e-218	3.11664208106435e-216	487.924613871521
190	216444_at	-1.85594542002501	5.36165993778826	-42.808920922283	1.14813842402376e-217	3.49608150115236e-216	487.784494373534
827	MIA2	-1.5276750278157	4.82944686411176	-42.8012323440267	1.27795665280581e-217	3.79646634906701e-216	487.677438670555
896	OR2B2	-1.51365904755463	5.08063244465012	-42.7306426698612	3.41802531445028e-217	9.9122734119058e-216	486.69423337604
