genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXD1	-1.65042685414125	4.88848508961329	-48.3281956137594	1.22564077810432e-250	6.98615243519462e-249	563.534533032535
TBR1	-1.91985668146432	5.37054013210823	-48.0358889635955	6.01402646082733e-249	1.71399754133579e-247	559.641345198147
ELK4	-1.79048417227289	4.93334273113241	-44.8555832595165	2.94634809704387e-230	5.59806138438336e-229	516.605947531563
MECOM	-1.90295252751181	6.04124263975826	-40.4623788271934	1.37309993340472e-203	1.95666740510173e-202	455.200688208379
PAX4	-1.16858953510959	4.79744449755061	-40.4071078313222	3.01383663755121e-203	3.43577376680838e-202	454.41457371897
ISL1	-1.77825241404253	5.24540188313793	-36.9510646824556	1.22493495035823e-181	1.16368820284032e-180	404.661204782954
IL1RL1	-1.61275666343186	5.84527285390997	-34.253014755858	1.84460031270706e-164	1.50203168320432e-163	365.113147956503
SHOX	-1.52129828265891	6.57565314662993	-34.0885028462268	2.09091580294133e-163	1.48977750959569e-162	362.685652711215
SP4	-1.51994909814653	6.16921303564514	-33.7105323151312	5.5657260129152e-161	3.52495980817963e-160	357.102498608907
ZNF287	-1.57393308584114	6.52596601403376	-32.6833221629638	2.25376748805107e-154	1.28464746818911e-153	341.89167238686
TP63	-2.13037203593377	6.97917031849474	-32.543771803352	1.78728992324622e-153	9.2614114204577e-153	339.82148114322
ZIC3	-1.49321699023096	5.85984952172105	-32.235890737269	1.7276180227083e-151	8.20618560786444e-151	335.25139649984
POU4F2	-1.13491323498324	5.18132410388748	-30.282021762387	7.32783636646336e-139	3.21297440683393e-138	306.184215112001
PSMD9	-1.40821577789211	7.01293575852675	-29.7996532841282	9.69899822872799e-136	3.94887785026782e-135	298.998765886564
PRDM5	-1.06812815442938	6.51233896909322	-29.6946294535366	4.63938082351831e-135	1.76296471293696e-134	297.434227123306
NEUROD2	-1.44324768066924	6.77292812359349	-29.5190007079512	6.35557313801104e-134	2.26417293041643e-133	294.817925073588
HMGA2	-1.62266170895327	6.09509902420379	-29.4923593121232	9.45320313763116e-134	3.16960340497045e-133	294.421062958895
NR1I2	-1.02066215575062	6.25869499484273	-29.0838363184981	4.16229316573054e-131	1.31805950248134e-130	288.336126443651
NR1H4	-1.2077357954346	5.78870983172255	-28.5022516441279	2.407533188592e-127	7.222599565776e-127	279.677144887578
KDM5D	-1.18209570351602	6.45862679589345	-28.3619750567356	1.94357759478361e-126	5.53919614513327e-126	277.589625235265
VDR	-1.07834073936172	8.06182887808257	-28.0050629472832	3.93925352658295e-124	1.06922595721537e-123	272.28061932117
AEBP1	3.16524476857178	10.241009588533	27.927776632705	1.24371615141128e-123	3.22235548320195e-123	271.131509105075
IAPP	-0.902729140429959	5.66154177401695	-27.6782159094197	5.08635314984991e-122	1.26053099800628e-121	267.422410912618
NR2E1	-1.25670055097131	6.26366266833621	-27.4174470510062	2.45122237541573e-120	5.82165314161236e-120	263.549325629264
TAAR5	-1.04775901065427	6.680347667927	-26.9922007697924	1.35230483275632e-117	3.08325501868442e-117	257.239968517454
SRY	-1.12327294140929	6.05869805408967	-26.2280776420128	1.11379448065187e-112	2.44178020758294e-112	245.928181669446
ATF7	-0.997785145505815	5.85488387062416	-26.2109403689829	1.43504877890336e-112	3.02954742212931e-112	245.674923867626
TFDP3	-0.943244254607652	6.21066596015298	-25.7395466012433	1.5158321149476e-109	3.08580109114332e-109	238.717200229565
HIST1H3E	-1.44923312513716	6.73465396416638	-25.0535642160352	3.68664518661138e-105	7.24616467713272e-105	228.625684241707
ZIM2	-1.32798479185667	7.26463537834352	-24.3888667212402	6.2714891165056e-101	1.19158293213606e-100	218.892110489253
NKX3-1	-1.07367489745963	6.80619197116666	-24.056426404218	8.03871925486199e-99	1.4780870887972e-98	214.04300132555
TCF20	-1.22531195518067	6.96775670328963	-23.6548635198846	2.77468914980619e-96	4.94241504809227e-96	208.204457964332
ZNF215	-0.897802691830415	6.60689891871411	-22.7668331314478	1.04887907920366e-90	1.81170022771542e-90	195.374985020415
STAT4	-1.59747553386766	7.25393373865847	-22.5685141791302	1.81556174199671e-89	3.04373586158272e-89	192.526898558609
LHX3	-0.97025427596509	8.30583416294768	-22.1865625786693	4.32150265776634e-87	7.03787575693375e-87	187.060866249656
PHOX2B	-0.861620748637794	6.32899067912265	-21.9322959510607	1.62716181343593e-85	2.57633953794023e-85	183.436865884459
CBL	-0.863223358399957	6.36810108066238	-21.7786212654855	1.44959474006002e-84	2.23315946441679e-84	181.252567272772
ERCC4	-1.13164632050802	7.73109590978214	-21.2370210960733	3.10750991834182e-81	4.66126487751272e-81	173.592352750253
HIST1H3J	-0.811337947628634	7.0644878467354	-20.9334643730195	2.22707378104999e-79	3.25495398768845e-79	169.326279915211
HAND1	-0.805399718739229	6.50630718612403	-18.5113793423942	6.21357368879832e-65	8.8543425065376e-65	136.120838703985
YLPM1	-0.780002609050528	7.90310312356473	-16.3458391207782	1.07913996780268e-52	1.50026776011592e-52	108.005388253789
HOXA11	-0.812908383802791	7.3884064691091	-15.2107565428945	1.3443598868403e-46	1.82448841785469e-46	94.0134794458704
RUNX1T1	-0.706291069757161	7.49353636078822	-14.5591750254609	3.25923517960894e-43	4.32038151715603e-43	86.2479311586185
CD5	-0.546785763872082	8.33903386978719	-13.8480808654129	1.26901246035363e-39	1.64394796000356e-39	78.0138433565239
EPN1	0.785745092758374	7.54797936241964	13.8036164369968	2.10971212277995e-39	2.67230202218794e-39	77.5076930874328
