genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
HOXD1	-1.65042685414125	4.88848508961329	-48.3632929991905	1.63274742949605e-250	9.6332098340267e-249	563.249507969719
RBM26	-2.17551614284564	5.26780763534616	-48.1267075033027	3.7813095656661e-249	1.1154863218715e-247	560.10713081397
TBR1	-1.91985668146432	5.37054013210823	-48.0418722286694	1.16880286852455e-248	2.29864564143162e-247	558.978640561806
ELK4	-1.79048417227289	4.93334273113241	-44.8613550393324	5.2292503833632e-230	7.71314431546072e-229	516.03388581315
PAX4	-1.16858953510959	4.79744449755061	-40.4720575450139	2.03160745665293e-203	2.39729679885046e-202	454.810378269579
ZNF717	-2.00281483200546	5.85227441409734	-39.1549597836952	2.91471351850455e-195	2.86613495986281e-194	436.029532998172
ZNF695	-1.72694430117112	5.40676169769243	-37.0530500395085	4.29796417710928e-182	3.62256980642068e-181	405.709684454091
ISL1	-1.77825241404253	5.24540188313793	-36.9370373409664	2.31804614380731e-181	1.70955903105789e-180	404.02467264161
ZC3H13	-1.81956179207207	6.69852537809279	-34.4558659613534	1.34014236077423e-165	8.78537769840882e-165	367.735868756218
NEUROD4	-1.71795411710412	6.14867048307441	-34.2466305488526	2.91707702597722e-164	1.72107544532656e-163	364.655993033424
SHOX	-1.52129828265891	6.57565314662993	-34.0817803660405	3.30962334635232e-163	1.77516161304352e-162	362.227577791756
SP4	-1.51994909814653	6.16921303564514	-33.7029920573976	8.83418171413673e-161	4.34347267611723e-160	356.6416385147
ZNF287	-1.57393308584114	6.52596601403376	-32.6708654813381	3.75293545996523e-154	1.70325532413807e-153	341.382844301067
TP63	-2.13037203593377	6.97917031849474	-32.5146820945706	3.7954005979418e-153	1.59949025198976e-152	339.069550698836
ZIC3	-1.49321699023096	5.85984952172105	-32.2265187018476	2.71923472562005e-151	1.06956565874389e-150	334.798864182329
IKZF2	-1.25112192977041	6.20250692646821	-30.8080578856176	3.83492359257539e-142	1.41412807476218e-141	313.737802735749
CHD2	-1.18801492392443	6.8311389424182	-30.563970682042	1.44631835698346e-140	5.01957547423671e-140	310.108951094156
