genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
UBC	2.61775648221547	13.3258593193268	55.2589155668912	5.16980696177813e-289	5.16980696177813e-287	651.831222472252
DR1	-1.72011118853565	5.01069231684208	-51.100795355468	3.91984618738996e-266	1.95992309369498e-264	599.140577478312
BLZF1	-1.45626952004471	5.01944698733855	-49.9306354724827	1.5897286867142e-259	5.29909562238066e-258	583.922530374361
TCEB2	3.71897079142898	10.8447739869099	48.7445060538867	9.44911469481769e-253	2.36227867370442e-251	568.32214524449
SMAD4	-1.45877289128535	4.85281914961179	-48.5153414057455	1.96308717966159e-251	3.92617435932318e-250	565.287888946423
EDF1	3.42096025058712	9.88307079702695	48.0391213813785	1.09635968696786e-248	1.82726614494644e-247	558.961640144598
TSFM	-1.96351571322496	6.02327016829124	-47.9913221398676	2.07181509694862e-248	2.95973585278374e-247	558.325108357655
SP2	-1.65934535925801	4.70950381016514	-46.3702232942849	5.79062002974296e-239	7.23827503717871e-238	536.570589148159
FOXE1	-1.58258419267828	5.06635014647522	-45.9698563118649	1.30989633602438e-236	1.45544037336042e-235	531.148288234864
CREB5	-1.8316516281006	5.44115636583972	-45.8871992911229	4.02148356400574e-236	4.02148356400574e-235	530.026413483497
EZH1	-1.06898561811525	4.86118826358469	-45.7488603813274	2.63334582680467e-235	2.39395075164061e-234	528.146937190035
RPS14	2.80633226884533	12.7529382071407	45.30418124718	1.1237301090819e-232	9.36441757568246e-232	522.089868810085
ELK4	-1.79048417227289	4.93334273113241	-44.9074461938392	2.54653860020153e-230	1.95887584630887e-229	516.665812019114
PAWR	-1.47597054960303	4.96071961548803	-44.0869499274762	2.00812814983426e-225	1.43437724988162e-224	505.388793254261
ZFP37	-1.29935184999265	5.64641157074708	-44.008699646396	5.91022650142991e-225	3.94015100095327e-224	504.309160341007
ZNF192	-1.89307106912594	5.37967782320915	-44.0008337378508	6.58790891617329e-225	4.1174430726083e-224	504.200593287305
SMARCB1	-1.4686907733549	5.21501364016804	-43.6286462997325	1.12981282846672e-222	6.64595781451013e-222	499.055309126272
NANOG	-2.19398872284057	6.46782663566531	-43.5154007536153	5.42271464859321e-222	3.01261924921845e-221	497.486550662132
RPL6	2.28305244807229	12.0188780180433	42.7205075863796	3.41871291240445e-217	1.79932258547603e-216	486.433500480824
NDUFA13	3.13403626609037	10.7735415012607	42.4768675693573	1.02628214141985e-215	5.13141070709923e-215	483.031222158885
IKZF3	-1.76686059862317	5.35883273518541	-42.1680738514285	7.7257010096653e-214	3.67890524269776e-213	478.709495491844
UBA52	2.68072591368572	11.8438624054024	40.8843855166439	5.4781653351053e-206	2.49007515232059e-205	460.630561030492
ZNF235	-1.65880774108208	5.61819890084354	-40.8229030938809	1.30796909293823e-205	5.68682214320971e-205	459.760180929504
