genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLIC1	3.16675627909616	10.8357897915914	67.7070868644846	0	0	796.042038417725
TUBA1B	2.70357039771308	12.8713793906608	58.2956565969007	8.27491990937085e-305	2.24995072335793e-301	688.282968177046
RPS15	2.70676663139622	13.0399700543388	57.9509596481612	5.24715446187284e-303	9.51134198788817e-300	684.137529379856
SCN3A	-2.45512134713285	5.28339245808077	-57.258416211604	2.28929112222479e-299	3.11229128066461e-296	675.76491826997
RPS2	3.09968463399333	13.4321271372685	57.0105903246553	4.65985554589957e-298	5.06805889172037e-295	672.75451453121
CFL1	2.62854310372089	13.0620378167465	56.1720740030017	1.31981349421115e-293	1.19619096358671e-290	662.512815571588
GAPDH	3.1622946272078	13.1372691249299	56.0521178542109	5.76097510446626e-293	4.47545465972679e-290	661.040571649308
ARF1	2.7371364491721	11.69582428358	55.694599520515	4.70414006004659e-291	3.19763920581667e-288	656.642126303554
HNRNPK	2.4308049044	11.3474529631983	55.4213801909136	1.37486971006495e-289	8.30726831481467e-287	653.270114366445
UBC	2.61775648221547	13.3258593193268	55.2235831434053	1.59190242171969e-288	8.65676536931167e-286	650.823168339129
CYLD	-1.54114133183441	5.25406963446207	-54.8576341499689	1.49747774094007e-286	7.40298541384739e-284	646.283199847703
ARHGEF12	-1.73891211688521	4.93467487161852	-54.8287910509008	2.14391975689022e-286	9.71552969830749e-284	645.924663859688
RPL3	3.4731979371941	12.4917915771356	54.7427420298797	6.25783902980787e-286	2.61770220339194e-283	644.854410752761
HSP90AB1	2.93368356816586	12.0283535971875	54.4441258937819	2.59395514627143e-284	1.007566291816e-281	641.133155706084
PFN1	4.2738705617951	11.223668195327	54.2906887155799	1.76591744489989e-283	6.40203937691039e-281	639.216749850357
RPLP1	2.96542421135669	12.8015354649054	53.6284993203554	7.18767612080057e-280	2.44291142155709e-277	630.912398916505
215853_at	-2.16836864420566	4.83053689015305	-53.5753554547719	1.40380435439652e-279	4.49052239953427e-277	630.243559674312
RBM34	-1.66798335313078	5.25564093499482	-53.479352931192	4.70832581366691e-279	1.42243754304004e-276	629.034429610209
TPT1	2.90632693330269	12.9454838371348	53.3720102196905	1.82431207133998e-278	5.22137318102465e-276	627.68110693751
ACTB	2.82352957650873	12.8081349973134	53.0999244666186	5.68740823322537e-277	1.54640629861398e-274	624.244325843089
RAB14	-1.78102238743725	5.10875140841732	-52.8271082898207	1.80622963780217e-275	4.67727465255629e-273	620.789008962015
SRPX2	-2.48468885310784	5.0270882136246	-52.4883565993417	1.34039382960143e-273	3.31320983880573e-271	616.485611813032
RPL27A	3.20913790735786	12.9271385467474	52.2531539884027	2.68905678732064e-272	6.35786556932594e-270	613.489205822923
KCNV1	-1.86566518615308	4.69627029641689	-52.0262990200905	4.88195232782633e-271	1.10616903161332e-268	610.592571041408
PDE4D	-1.79414027388102	5.03892136951972	-51.4636876921919	6.65325682285218e-268	1.44721642410681e-265	603.380905551645
CHCHD2	3.19542299018481	11.8386707022408	51.4451668150777	8.44327918047884e-268	1.76594431474784e-265	603.142825735875
