ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
1611	CLIC1	3.16675627909616	10.8357897915914	67.714492496247	0	0	796.164279480825
4057	SCN3A	-2.45512134713285	5.28339245808077	-57.2650635083035	2.00899509196128e-299	4.96221787714437e-296	675.887058013105
1550	CFL1	2.62854310372089	13.0620378167465	56.178216005605	1.16618904023865e-293	1.92032461959298e-290	662.629483747867
1073	ARF1	2.7371364491721	11.69582428358	55.7005055291365	4.17002409009077e-291	5.1499797512621e-288	656.756167683426
2472	HNRNPK	2.4308049044	11.3474529631983	55.4277108903946	1.21260765987525e-289	1.19805636795675e-286	653.38955518156
4689	UBC	2.61775648221547	13.3258593193268	55.2295716668215	1.41017191925913e-288	1.16104154685668e-285	650.938490893782
1758	CYLD	-1.54114133183441	5.25406963446207	-54.8670724760343	1.27111793988183e-286	8.97046089002322e-284	646.441598656737
1084	ARHGEF12	-1.73891211688521	4.93467487161852	-54.8370666195639	1.84637948655098e-286	1.14013933294523e-283	646.068636096326
3534	PFN1	4.2738705617951	11.223668195327	54.2953844809778	1.59083779701974e-283	8.73193190808616e-281	639.316423875566
3975	RPLP1	2.96542421135669	12.8015354649054	53.6338253149455	6.42745259713549e-280	3.17516158298493e-277	631.020245898934
406	215853_at	-2.16836864420566	4.83053689015305	-53.5818510728136	1.23701286528376e-279	5.55531232227436e-277	630.366153500715
3853	RBM34	-1.66798335313078	5.25564093499482	-53.4875647759404	4.06031383112505e-279	1.67149586047981e-276	629.178704070961
4588	TPT1	2.90632693330269	12.9454838371348	53.3773528088384	1.63133592800507e-278	6.19907652641926e-276	627.78927523612
896	ACTB	2.82352957650873	12.8081349973134	53.1053073430221	5.08425062748108e-277	1.79401414998261e-274	624.353121499084
3812	RAB14	-1.78102238743725	5.10875140841732	-52.8346140981045	1.57206985894144e-275	5.17735006878048e-273	620.924845307421
4331	SRPX2	-2.48468885310784	5.0270882136246	-52.4940534754381	1.19401171580787e-273	3.68651117255681e-271	616.598664956872
3963	RPL27A	3.20913790735786	12.9271385467474	52.2580930130548	2.41908240906324e-272	7.02956888280731e-270	613.592701161811
2692	KCNV1	-1.86566518615308	4.69627029641689	-52.0332798274702	4.27936552455301e-271	1.17444809396066e-268	610.722246587206
3498	PDE4D	-1.79414027388102	5.03892136951972	-51.4707728158098	5.82603022756994e-268	1.51476785916819e-265	603.512262779064
1594	CLCA4	-1.94035612140097	4.95171595150094	-51.3159288202067	4.27663898371242e-267	1.05632982897697e-264	601.520563679135
1907	DR1	-1.72011118853565	5.01069231684208	-51.0974895621458	7.15500225579512e-266	1.68312910207752e-263	598.705744681719
229	210949_s_at	3.40877627784203	11.3684103183332	51.0143367591961	2.09431297288794e-265	4.70268458457565e-263	597.632659481223
3961	RPL24	2.95561172867519	12.0638767858502	50.999372229468	2.54110462650351e-265	5.45785080649015e-263	597.439450380147
2044	F9	-2.12463607136247	5.32075968510812	-50.9863134774062	3.00827984692774e-265	6.19204268492627e-263	597.270824068866
3952	RPL13	3.52552204250652	12.845035636787	50.8608857803652	1.52330382887483e-264	3.01004836585667e-262	595.65009909074
2357	GRM5	-1.47876132699745	5.03310167298245	-50.5233424967527	1.21019856530919e-262	2.29937727408746e-260	591.278698053719
4662	TUBB2C	2.84455982750417	10.8194693833271	50.500742198596	1.62292165858569e-262	2.96934555311604e-260	590.9854991354
1067	AQP4	-1.55501675850257	4.63164175013465	-50.4727776144296	2.33359562847247e-262	4.11712943023357e-260	590.622619396255
2012	ERAP1	-1.34975987386859	5.16454061121705	-50.4333779282459	3.89334541536418e-262	6.63211253513761e-260	590.111186687696
2288	GNB2	2.72296471400916	9.70642005219262	50.3974263561664	6.21211153454445e-262	1.02292769935499e-259	589.644342771424
54	HOXA1	-2.03831761229915	5.57071730244837	-50.3667893591019	9.25155405755152e-262	1.42820865763452e-259	589.246382559893
2475	HOXA1	-2.03831761229915	5.57071730244837	-50.3667893591019	9.25155405755152e-262	1.42820865763452e-259	589.246382559893
4235	SLCO1A2	-2.34375362133097	5.31603089834497	-50.3077210109638	1.99460335270976e-261	2.98586077648067e-259	588.478780175115
761	220878_at	-1.6793164087234	4.87193601444133	-50.2812985315144	2.81295466861434e-261	4.08705766557496e-259	588.135274302722
472	216169_at	-2.18238729785612	5.03048444498244	-50.1890184031757	9.35211844387788e-261	1.31998471750733e-258	586.934898253285
1139	ATP5E	3.02483020947342	11.3376163961188	50.14031005088	1.76396973050741e-260	2.42055846352961e-258	586.300871556707
1217	BLZF1	-1.45626952004471	5.01944698733855	-49.943038021978	2.31169469812998e-259	3.08642481317894e-257	583.729980716862
4511	TIMP1	3.65342044228742	11.6877900019341	49.6903691508991	6.28418126121302e-258	8.16943563957693e-256	580.430025052823
275	213808_at	-1.61085006712123	5.0631310251433	-49.2871150994156	1.24326205139423e-255	1.57479859843269e-253	575.146813216648
929	ADH7	-1.77512252369308	5.62726665235434	-49.175503783688	5.39120461130108e-255	6.65813769495683e-253	573.680950336502
4446	TCEB2	3.71897079142898	10.8447739869099	48.7043936645319	2.68165799624134e-252	3.23107085400785e-250	567.476418776993
2848	LOC100130958	-1.35358348827432	4.49924434899338	-48.6478787207108	5.65862487372564e-252	6.65562068481063e-250	566.730255762965
1089	ARL4D	-1.77623673206256	5.45370425918111	-48.6360057907507	6.62010543574409e-252	7.6054234540874e-250	566.573447669244
4300	SPACA1	-1.53003451218118	4.92699958823353	-48.6131131243885	8.95976924939986e-252	1.00593772936444e-249	566.271050190371
505	216443_at	-1.72519959253467	5.16184569346078	-48.5863418171426	1.27653516494099e-251	1.40135193662411e-249	565.917335521579
244	211606_at	-1.9524254552785	5.60736908573445	-48.5460199588182	2.17598890808026e-251	2.33682287085141e-249	565.384416320759
94	SMAD4	-1.45877289128535	4.85281914961179	-48.5237880999053	2.92013113019503e-251	3.00530162149239e-249	565.090499399911
4244	SMAD4	-1.45877289128535	4.85281914961179	-48.5237880999053	2.92013113019503e-251	3.00530162149239e-249	565.090499399911
4202	SLC30A10	-2.32525227831767	5.09545319095697	-48.4946829807011	4.29222559141398e-251	4.32726416767042e-249	564.705621317051
3121	MSTP9	-1.73746355477109	5.37441879145318	-48.4810501925115	5.1410521880186e-251	5.07935956176238e-249	564.525308808252
3439	PACRG	-1.60438501879335	5.39390956117319	-48.4594200345801	6.84566679901094e-251	6.63090078178707e-249	564.239172528719
2482	HOXD1	-1.65042685414125	4.88848508961329	-48.4234313366972	1.10253052328861e-250	1.04740399712418e-248	563.76296409582
4881	ZNF214	-1.57862543158966	4.8614595579638	-48.3210514461512	4.28124750937326e-250	3.99044579175545e-248	562.407375001264
560	216709_at	-2.09587632763304	5.13063005810929	-48.2615930516738	9.41896404531147e-250	8.61660784885901e-248	561.619501344052
251	211942_x_at	2.73856676676464	12.3928434432661	48.255094957722	1.02668805994325e-249	9.22152548385391e-248	561.53336949783
3851	RBM26	-2.17551614284564	5.26780763534616	-48.1441080329259	4.47901856064697e-249	3.951134230285e-247	560.061434148066
56	TBR1	-1.91985668146432	5.37054013210823	-48.0749234524578	1.12281489389526e-248	9.56328547559069e-247	559.143117267436
4438	TBR1	-1.91985668146432	5.37054013210823	-48.0749234524578	1.12281489389526e-248	9.56328547559069e-247	559.143117267436
1943	EDF1	3.42096025058712	9.88307079702695	48.0008897500104	3.00395416913292e-248	2.49561007293395e-246	558.159777650688
1188	BAT1	3.05956759117721	11.0949486535969	48.0002130700226	3.03110535174163e-248	2.49561007293395e-246	558.150786630474
4626	TSFM	-1.96351571322496	6.02327016829124	-47.9736082128862	4.31777240414997e-248	3.49668781581981e-246	557.797243913539
812	222031_at	-1.79625605489772	4.97555481934563	-47.9490615973646	5.98500702041595e-248	4.76869914207335e-246	557.470974562369
4753	VCP	2.55463993449011	10.3013445806988	47.9468911244444	6.16034404404457e-248	4.83049199644129e-246	557.442121416238
2768	KNG1	-1.46796900556311	5.63372906457696	-47.8365760930233	2.67487613868214e-247	2.06467001954528e-245	555.974880914947
53	GCM2	-1.18543784749162	4.44339770881846	-47.8340620331989	2.76595007800924e-247	2.0702717250554e-245	555.941425182555
2225	GCM2	-1.18543784749162	4.44339770881846	-47.8340620331989	2.76595007800924e-247	2.0702717250554e-245	555.941425182555
2332	GPR98	-2.07183771590042	5.36905689112014	-47.7556338876707	7.86362112073295e-247	5.79795348304788e-245	554.897353011765
2385	GUK1	3.30609722608858	9.98442586827307	47.7077699593602	1.48840552459208e-246	1.08128283698307e-244	554.25979159281
2060	FAM13C	-1.94419007666972	4.78847829008267	-47.599020665853	6.34980851009966e-246	4.54609478839019e-244	552.810165180545
504	216438_s_at	2.66418678994611	11.6977588494352	47.5645952881452	1.00539409049881e-245	7.09520972437733e-244	552.350970487219
2762	KLHL4	-2.20623426684554	5.28733348562152	-47.5568612772028	1.1147610278666e-245	7.75622461642394e-244	552.247787568578
3955	RPL18	3.02609827180658	12.2422353627222	47.5514515534638	1.19826208274473e-245	8.22140928994298e-244	552.175609614316
