ID	genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
1630	CLIC1	3.16675627909616	10.8357897915914	67.7115414557813	0	0	796.173070376684
4804	TUBA1B	2.70357039771308	12.8713793906608	58.2994660601698	7.41673472163305e-305	1.88904233359994e-301	688.393323695653
4092	RPS15	2.70676663139622	13.0399700543388	57.9547682566123	4.70511712898536e-303	7.98928888501714e-300	684.247376126335
4178	SCN3A	-2.45512134713285	5.28339245808077	-57.2619003770129	2.06275318839399e-299	2.62691618541974e-296	675.869827282044
4099	RPS2	3.09968463399333	13.4321271372685	57.0147270280812	4.16688527593308e-298	4.24522271912063e-295	672.866993010514
1564	CFL1	2.62854310372089	13.0620378167465	56.1757711228596	1.18782293532381e-293	1.00846167208991e-290	662.618724634993
2241	GAPDH	3.1622946272078	13.1372691249299	56.0562619366515	5.15723499246746e-293	3.75299357880418e-290	661.151795539631
1074	ARF1	2.7371364491721	11.69582428358	55.6984004759073	4.23091232562835e-291	2.69403342334385e-288	656.748619722336
1	HNRNPK	2.4308049044	11.3474529631983	55.4248286186697	1.242404353666e-289	6.32880777757462e-287	653.371856164995
2506	HNRNPK	2.4308049044	11.3474529631983	55.4248286186697	1.242404353666e-289	6.32880777757462e-287	653.371856164995
4835	UBC	2.61775648221547	13.3258593193268	55.22725446406	1.43493722239827e-288	6.64506382808798e-286	650.927376576469
1773	CYLD	-1.54114133183441	5.25406963446207	-54.8587133988821	1.39473140410501e-286	5.92063481042575e-284	646.354653944241
1083	ARHGEF12	-1.73891211688521	4.93467487161852	-54.8307216029266	1.97586871341171e-286	7.74236555855327e-284	646.006651776213
4065	RPL3	3.4731979371941	12.4917915771356	54.7469943033121	5.60366380951216e-286	2.03893310326107e-283	644.965147469754
2538	HSP90AB1	2.93368356816586	12.0283535971875	54.4480573678475	2.33298151955367e-284	7.92280524040428e-282	641.23947469241
3611	PFN1	4.2738705617951	11.223668195327	54.2951750474381	1.57757331741563e-283	5.02259904932202e-281	639.329786417164
4083	RPLP1	2.96542421135669	12.8015354649054	53.6324249065759	6.47176391798782e-280	1.93924502342529e-277	631.017482480647
404	215853_at	-2.16836864420566	4.83053689015305	-53.5784124633763	1.27797840937227e-279	3.61667889852352e-277	630.337631976034
3955	RBM34	-1.66798335313078	5.25564093499482	-53.4811329904838	4.35648326220665e-279	1.16799609145688e-276	629.11226221412
2	TPT1	2.90632693330269	12.9454838371348	53.375886069268	1.64417721940144e-278	3.98830416934806e-276	627.78519796543
4735	TPT1	2.90632693330269	12.9454838371348	53.375886069268	1.64417721940144e-278	3.98830416934806e-276	627.78519796543
3911	RAB14	-1.78102238743725	5.10875140841732	-52.8293124614843	1.6639601430018e-275	3.85282407656872e-273	620.871117977198
4468	SRPX2	-2.48468885310784	5.0270882136246	-52.4918424255729	1.21543860013654e-273	2.69193227351979e-271	616.583477208142
4063	RPL27A	3.20913790735786	12.9271385467474	52.2571631842956	2.42289917680276e-272	5.14260350276387e-270	613.593400157891
2737	KCNV1	-1.86566518615308	4.69627029641689	-52.0287723785958	4.48732947194114e-271	9.14338253202728e-269	610.676810863992
3573	PDE4D	-1.79414027388102	5.03892136951972	-51.4660019900047	6.13302478464867e-268	1.20160108665386e-265	603.462199776019
1569	CHCHD2	3.19542299018481	11.8386707022408	51.4491313758391	7.6197654184182e-268	1.4375957422749e-265	603.245307960716
1613	CLCA4	-1.94035612140097	4.95171595150094	-51.3120237859415	4.45269835469142e-267	8.10073050671361e-265	601.48130181337
95	DR1	-1.72011118853565	5.01069231684208	-51.0923457033405	7.57105046368359e-266	1.28556436873347e-263	598.650036914746
1936	DR1	-1.72011118853565	5.01069231684208	-51.0923457033405	7.57105046368359e-266	1.28556436873347e-263	598.650036914746
228	210949_s_at	3.40877627784203	11.3684103183332	51.0137113180953	2.09057963269104e-265	3.43529440288006e-263	597.635105626653
4061	RPL24	2.95561172867519	12.0638767858502	50.9982417937477	2.55319954361514e-265	4.06437452349235e-263	597.435349661937
2070	F9	-2.12463607136247	5.32075968510812	-50.9832791714496	3.09792106420755e-265	4.78206360638583e-263	597.242110685121
4051	RPL13	3.52552204250652	12.845035636787	50.8603704376454	1.51852180386413e-264	2.27510296143644e-262	595.653708134136
2393	GRM5	-1.47876132699745	5.03310167298245	-50.5163244160916	1.31285757122753e-262	1.91077041938087e-260	591.197374310746
