ID	genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
1572	CLIC1	3.16675627909616	10.8357897915914	67.7131252334297	0	0	796.206554379057
3845	RPS15	2.70676663139622	13.0399700543388	57.9561226751793	4.53234768337053e-303	1.08119153986804e-299	684.280715881515
3926	SCN3A	-2.45512134713285	5.28339245808077	-57.2631606679169	1.98986346595743e-299	3.1645461986943e-296	675.902152579828
3852	RPS2	3.09968463399333	13.4321271372685	57.0161684209996	4.01121892280172e-298	4.78438137017175e-295	672.901562597823
2135	GAPDH	3.1622946272078	13.1372691249299	56.0577005930791	4.96669351793395e-293	4.73921895481258e-290	661.186507270959
1042	ARF1	2.7371364491721	11.69582428358	55.6997414585974	4.08010887127916e-291	3.24436657081214e-288	656.782190507083
2379	HNRNPK	2.4308049044	11.3474529631983	55.4260697248583	1.1997413617334e-289	8.17709433832863e-287	653.404236395042
10	UBC	2.61775648221547	13.3258593193268	55.2285568636863	1.38472964284921e-288	7.34060569559288e-286	650.96054467559
4535	UBC	2.61775648221547	13.3258593193268	55.2285568636863	1.38472964284921e-288	7.34060569559288e-286	650.96054467559
1709	CYLD	-1.54114133183441	5.25406963446207	-54.8592897121611	1.35835909022559e-286	6.48073121946631e-284	646.378851831537
1052	ARHGEF12	-1.73891211688521	4.93467487161852	-54.8315356209479	1.91868471195973e-286	8.32185887341805e-284	646.033806891518
3813	RPL3	3.4731979371941	12.4917915771356	54.7484566382854	5.39794358687041e-286	2.14613240441323e-283	645.000377715372
2409	HSP90AB1	2.93368356816586	12.0283535971875	54.4494285620176	2.25016881505362e-284	8.2581195512468e-282	641.273616807618
3399	PFN1	4.2738705617951	11.223668195327	54.2967005273168	1.5187380491237e-283	5.17564230883511e-281	639.365880383078
3835	RPLP1	2.96542421135669	12.8015354649054	53.6337903720332	6.24462790810897e-280	1.98620798330586e-277	631.051673350026
398	215853_at	-2.16836864420566	4.83053689015305	-53.5795349520251	1.23693536740311e-279	3.68838664867514e-277	630.368771440617
3709	RBM34	-1.66798335313078	5.25564093499482	-53.4818982017225	4.23580279897079e-279	1.18876559728763e-276	629.138909993721
4438	TPT1	2.90632693330269	12.9454838371348	53.3772363520704	1.58694785886773e-278	4.20629346369887e-276	627.819233669851
876	ACTB	2.82352957650873	12.8081349973134	53.105060371784	4.95536889824586e-277	1.24431921123847e-274	624.380959740785
3670	RAB14	-1.78102238743725	5.10875140841732	-52.8301929050717	1.61602335375145e-275	3.85502371037408e-273	620.899268386064
4195	SRPX2	-2.48468885310784	5.0270882136246	-52.4930792962986	1.17526739537637e-273	2.67009559206698e-271	616.616187948961
3811	RPL27A	3.20913790735786	12.9271385467474	52.258545128718	2.33872520766808e-272	5.07184452990201e-270	613.627988117957
2584	KCNV1	-1.86566518615308	4.69627029641689	-52.0297240257747	4.35576469297728e-271	9.03537102182374e-269	610.705927319991
3361	PDE4D	-1.79414027388102	5.03892136951972	-51.4669063756909	5.95841513881181e-268	1.1844832761363e-265	603.490748861503
1515	CHCHD2	3.19542299018481	11.8386707022408	51.4504968022155	7.35910020388369e-268	1.40441068290916e-265	603.279785772028
1557	CLCA4	-1.94035612140097	4.95171595150094	-51.3130263189165	4.32077954162311e-267	7.92863045887841e-265	601.51112398789
93	DR1	-1.72011118853565	5.01069231684208	-51.093195240808	7.36202711329262e-266	1.25443683419711e-263	598.677900981617
1856	DR1	-1.72011118853565	5.01069231684208	-51.093195240808	7.36202711329262e-266	1.25443683419711e-263	598.677900981617
220	210949_s_at	3.40877627784203	11.3684103183332	51.0150938180598	2.01898732393099e-265	3.32158224912922e-263	597.66985524329
3808	RPL24	2.95561172867519	12.0638767858502	50.999564027391	2.46770198943623e-265	3.92446873053342e-263	597.469322837035
1979	F9	-2.12463607136247	5.32075968510812	-50.98437545213	3.00295957200457e-265	4.62165165097865e-263	597.273167182949
3798	RPL13	3.52552204250652	12.845035636787	50.8617616024289	1.4664494352825e-264	2.1863844549165e-262	595.688587739126
2270	GRM5	-1.47876132699745	5.03310167298245	-50.5169355531177	1.28092783507122e-262	1.85191112155297e-260	591.222173389232
4510	TUBB2C	2.84455982750417	10.8194693833271	50.5007997994021	1.57950853348495e-262	2.21642212154609e-260	591.012807115917
1037	AQP4	-1.55501675850257	4.63164175013465	-50.4672393373199	2.44247971835184e-262	3.32944878178761e-260	590.577245395504
1953	ERAP1	-1.34975987386859	5.16454061121705	-50.4252500970725	4.21474687551342e-262	5.58571037307625e-260	590.032092525624
2206	GNB2	2.72296471400916	9.70642005219262	50.3972766641577	6.06283283113363e-262	7.81777714522664e-260	589.668786347703
2382	HOXA1	-2.03831761229915	5.57071730244837	-50.3646124711933	9.27068560548926e-262	1.16395897431024e-259	589.244434522915
4102	SLCO1A2	-2.34375362133097	5.31603089834497	-50.3066787791352	1.969578580184e-261	2.40945112975842e-259	588.491468810944
751	220878_at	-1.6793164087234	4.87193601444133	-50.2769667090508	2.89924210513508e-261	3.45807102089986e-259	588.105136994379
462	216169_at	-2.18238729785612	5.03048444498244	-50.1874650059543	9.29765297245431e-261	1.08192932516048e-258	586.940720364241
1107	ATP5E	3.02483020947342	11.3376163961188	50.1406715665198	1.71056990900057e-260	1.9431259609147e-258	586.3315382468
1180	BLZF1	-1.45626952004471	5.01944698733855	-49.9366383483252	2.44903486141727e-259	2.71728961019112e-257	583.672117449128
4368	TIMP1	3.65342044228742	11.6877900019341	49.6913974742336	6.04341227236861e-258	6.55298180715242e-256	580.468684627138
261	213808_at	-1.61085006712123	5.0631310251433	-49.2825752975989	1.28679243619712e-255	1.36428593624366e-253	575.111755731724
907	ADH7	-1.77512252369308	5.62726665235434	-49.1722201739211	5.48945127639003e-255	5.69351566079496e-253	573.662155036178
7	TCEB2	3.71897079142898	10.8447739869099	48.7055001775205	2.57830012784702e-252	2.56272289790794e-250	567.514609444883
4308	TCEB2	3.71897079142898	10.8447739869099	48.7055001775205	2.57830012784702e-252	2.56272289790794e-250	567.514609444883
2737	LOC100130958	-1.35358348827432	4.49924434899338	-48.6408012892572	6.06234582714349e-252	5.90274529414318e-250	566.660264018963
1058	ARL4D	-1.77623673206256	5.45370425918111	-48.6328873787176	6.73091639573466e-252	6.42264042481001e-250	566.555725442707
4162	SPACA1	-1.53003451218118	4.92699958823353	-48.608100246667	9.34110289732617e-252	8.73851018100846e-250	566.228250035013
499	216443_at	-1.72519959253467	5.16184569346078	-48.5829100134572	1.3033787864034e-251	1.19585003652512e-249	565.895370639676
235	211606_at	-1.9524254552785	5.60736908573445	-48.5438659355605	2.18462150594313e-251	1.96657154808579e-249	565.379261749393
85	SMAD4	-1.45877289128535	4.85281914961179	-48.5180780705696	3.07305861222497e-251	2.66573866162279e-249	565.038277624125
4110	SMAD4	-1.45877289128535	4.85281914961179	-48.5180780705696	3.07305861222497e-251	2.66573866162279e-249	565.038277624125
4069	SLC30A10	-2.32525227831767	5.09545319095697	-48.4938659857199	4.23391993683989e-251	3.60714857476127e-249	564.718054138027
2997	MSTP9	-1.73746355477109	5.37441879145318	-48.4777316918502	5.24204341720943e-251	4.38768230587828e-249	564.50462514585
3308	PACRG	-1.60438501879335	5.39390956117319	-48.4551301509873	7.07071242272759e-251	5.81627051186781e-249	564.20559109813
877	ACTG1	3.12647012105314	13.1686182438763	48.4334950971522	9.41659929076723e-251	7.61467715529669e-249	563.919284786749
2388	HOXD1	-1.65042685414125	4.88848508961329	-48.4195188625766	1.1331563215171e-250	9.01048134993017e-249	563.734300076272
4715	ZNF214	-1.57862543158966	4.8614595579638	-48.3165950266165	4.43266370220133e-250	3.46692434806599e-248	562.371286598157
554	216709_at	-2.09587632763304	5.13063005810929	-48.2600894279158	9.37829330080108e-250	7.2167479577616e-248	561.622426567835
241	211942_x_at	2.73856676676464	12.3928434432661	48.2551840629001	1.00088845992401e-249	7.57974419412298e-248	561.557397792983
3707	RBM26	-2.17551614284564	5.26780763534616	-48.1429009065929	4.44273649922677e-249	3.31192122465796e-247	560.068080149718
4300	TBR1	-1.91985668146432	5.37054013210823	-48.0727267714522	1.12854644987606e-248	8.28353094209031e-247	559.136499035252
15	EDF1	3.42096025058712	9.88307079702695	48.0017973779506	2.89744406423636e-248	2.06323964633906e-246	558.19427041451
1890	EDF1	3.42096025058712	9.88307079702695	48.0017973779506	2.89744406423636e-248	2.06323964633906e-246	558.19427041451
60	TSFM	-1.96351571322496	6.02327016829124	-47.9716329919329	4.3275757685062e-248	2.99229912920914e-246	557.793376415299
4477	TSFM	-1.96351571322496	6.02327016829124	-47.9716329919329	4.3275757685062e-248	2.99229912920914e-246	557.793376415299
4600	VCP	2.55463993449011	10.3013445806988	47.946678851703	6.0313826192359e-248	4.07584257155553e-246	557.461642875072
796	222031_at	-1.79625605489772	4.97555481934563	-47.9462549365488	6.0654961764922e-248	4.07584257155553e-246	557.456006795314
2656	KNG1	-1.46796900556311	5.63372906457696	-47.8312668735461	2.80313087806726e-247	1.85746353045262e-245	555.926383061449
2141	GCM2	-1.18543784749162	4.44339770881846	-47.8246865185117	3.0599031222229e-247	1.99983531453773e-245	555.83879859239
2244	GPR98	-2.07183771590042	5.36905689112014	-47.7541384394794	7.83324487999676e-247	5.0503258543871e-245	554.899467187608
2294	GUK1	3.30609722608858	9.98442586827307	47.7085907086127	1.4376411225728e-246	9.1453143943931e-245	554.292682181215
1996	FAM13C	-1.94419007666972	4.78847829008267	-47.5970433184632	6.36721052146771e-246	3.99710018393717e-244	552.80556786215
498	216438_s_at	2.66418678994611	11.6977588494352	47.5646241352295	9.81542523036115e-246	6.08173945117572e-244	552.373076910264
2651	KLHL4	-2.20623426684554	5.28733348562152	-47.555848052465	1.10357225696096e-245	6.75018363841121e-244	552.255976455158
3803	RPL18	3.02609827180658	12.2422353627222	47.5519932896399	1.16186448226846e-245	7.01677904418079e-244	552.204538825056
2689	LAMA4	-1.61297574494901	4.99896534255604	-47.5068857425584	2.12228756511164e-245	1.26567924664345e-243	551.602490996901
1844	DNPEP	-2.25829087029252	5.67548220000303	-47.4737548897198	3.30408314627977e-245	1.94614576430874e-243	551.160135221379
3817	RPL35	3.26311110167749	11.6951891131957	47.3949156477717	9.47902950108598e-245	5.51517679874161e-243	550.106945895379
1802	DHRS7	-1.41788747501945	5.41615089707402	-47.3875696409845	1.04575308534006e-244	6.01119032549085e-243	550.008773741023
2384	HOXA2	-1.69312672150276	5.40336738968298	-47.3721284378958	1.28564300011456e-244	7.30214613517448e-243	549.802395529963
284	214645_at	-1.79848966691788	4.92651244034605	-47.3091231576957	2.98691528237468e-244	1.67653797790701e-242	548.959998268603
753	220880_at	-1.31261013008082	5.09541107232487	-47.2791467136267	4.46149590825354e-244	2.47509267189275e-242	548.559033316906
1819	DLGAP2	-1.74635176272139	5.7690738356439	-47.205169541773	1.20150766604854e-243	6.58895755714666e-242	547.569040357956
2444	IFIH1	-1.68301945946573	4.9152226974269	-47.1982886642034	1.31752879696735e-243	7.14310214810366e-242	547.476923325169
4044	SLC17A6	-1.89516619619389	4.88108058449407	-47.1427191327575	2.77435093445765e-243	1.48723913576376e-241	546.732778167376
1059	ARL6IP4	2.0980098843637	9.5869656347302	47.1088370463306	4.36946140685635e-243	2.31630004134574e-241	546.278868183776
165	208098_at	-2.42988158542472	5.58859620662415	-47.0534084231286	9.18911480482389e-243	4.81772161910053e-241	545.535999746755
243	212191_x_at	3.92004002290941	12.1054668862277	46.9117972324973	6.14945714566927e-242	3.18902826543349e-240	543.636374028163
772	221144_at	-2.45499551445859	4.98041814186146	-46.8749488480865	1.00885855035765e-241	5.17555284274874e-240	543.141671694474
444	216104_at	-1.28266880698912	4.68191916184686	-46.7545285639778	5.0925099976012e-241	2.58471970197397e-239	541.523824588423
3799	RPL13A	2.98061627900901	13.4224020239784	46.70394351081	1.00580674018811e-240	5.05126732361839e-239	540.84368330367
3428	PIK3C2G	-2.13189953574698	5.72352274069384	-46.6936667142974	1.15499838216745e-240	5.74010133470927e-239	540.705468287534
470	216286_at	-1.95074761186365	4.63067017921027	-46.6788706433443	1.40952496573471e-240	6.93282846548483e-239	540.506449757816
4280	TAS2R10	-1.84672029361967	5.05889771724659	-46.3826379016861	7.64129237545326e-239	3.72006182890689e-237	536.516249401252
91	SP2	-1.65934535925801	4.70950381016514	-46.3590031798368	1.05128571423323e-238	5.01568414260675e-237	536.197431696676
4159	SP2	-1.65934535925801	4.70950381016514	-46.3590031798368	1.05128571423323e-238	5.01568414260675e-237	536.197431696676
2046	FGF5	-1.61991794795351	6.08368746165485	-46.2806040893323	3.03062307919076e-238	1.43159432780387e-236	535.139388233425
3598	PRSS7	-1.6664472876169	4.95746542440518	-46.2394875751864	5.28214809363461e-238	2.47069887791478e-236	534.584195941372
2070	FMO6P	-1.93848106511625	6.35415035268721	-46.2040421229366	8.52868816451313e-238	3.95052147892157e-236	534.105413934049
1777	DDX41	2.69004670031095	8.98832361925262	46.1860536462729	1.08768585868356e-237	4.98975887671082e-236	533.862374685602
4174	SPINLW1	-2.67605021941758	5.65319872056844	-46.1761867908081	1.24292531314922e-237	5.64761587527134e-236	533.729048527978
3834	RPLP0	2.69674978491124	13.107652650997	46.1317755550684	2.26624410484161e-237	1.02002364379239e-235	533.128793596895
1628	COX5B	2.57651222297322	10.8601894129891	46.1291672456058	2.34763487490557e-237	1.04678186805369e-235	533.093532645834
1855	DPPA4	-0.98963049137238	4.91002758581803	-46.1033911950432	3.32724386562377e-237	1.46984078545287e-235	532.745029416347
4471	TRPC6	-1.62599396749009	5.77913446327924	-46.1020287481295	3.38915187212511e-237	1.48345353962467e-235	532.726606299873
2648	KLHL29	-1.94328677834242	5.98168805948297	-45.963275242258	2.2181286027742e-236	9.62062869439611e-235	530.849187303246
99	FOXE1	-1.58258419267828	5.06635014647522	-45.9613825826758	2.27574145812363e-236	9.69425222920344e-235	530.823562285323
2078	FOXE1	-1.58258419267828	5.06635014647522	-45.9613825826758	2.27574145812363e-236	9.69425222920344e-235	530.823562285323
4456	TRIM28	3.03612601826742	10.013948892564	45.9394954157512	3.06138746329106e-236	1.29255571569572e-234	530.527196837994
4590	UTP18	-2.28137722858919	5.83259804022632	-45.9361095294312	3.20512413972747e-236	1.34137256759998e-234	530.481344694907
94	CREB5	-1.8316516281006	5.44115636583972	-45.8696452732674	7.89080534196207e-236	3.24543381780181e-234	529.580994543797
1648	CREB5	-1.8316516281006	5.44115636583972	-45.8696452732674	7.89080534196207e-236	3.24543381780181e-234	529.580994543797
4561	UHRF1BP1L	-1.46610372269657	4.60092177106022	-45.8312149377083	1.32882451562604e-235	5.41865108038617e-234	529.060157862791
2413	HSPA5	2.46589468037963	11.070856749476	45.7884346575944	2.37424508198244e-235	9.59959600520187e-234	528.480156719989
97	EZH1	-1.06898561811525	4.86118826358469	-45.78194133936	2.59293756982557e-235	1.03090876213648e-233	528.392103019127
