genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
DR1	-1.72011118853565	5.01069231684208	-51.1695995612191	4.25380990921777e-266	4.25380990921777e-264	599.105979760976
HOXA1	-2.03831761229915	5.57071730244837	-50.4044544610832	8.45649382883277e-262	4.22824691441639e-260	589.207875836513
FOXE1	-1.58258419267828	5.06635014647522	-46.0254801581364	1.36893689290335e-236	4.5631229763445e-235	531.157392307761
PHB2	2.33930767669537	11.2239806144398	43.8246735381122	1.55033211757249e-223	3.87583029393123e-222	501.097304535124
ZNF157	-1.08327715495033	4.50966635753758	-42.8383947235725	1.32137910430171e-217	2.64275820860343e-216	487.440778619169
ESR2	-1.18802991831138	4.62788788133085	-41.0634598460406	8.21573895985993e-207	1.36928982664332e-205	462.586390035904
RAG1	-1.1734082654403	5.54872292460728	-40.0396967166037	1.61474564546136e-200	2.30677949351623e-199	448.094733203375
POU4F1	-1.58011463213609	5.05370468286528	-40.0285409345155	1.89211061130805e-200	2.36513826413506e-199	447.936214128967
ZNF334	-1.40168205444073	4.56061856644184	-39.7534431845526	9.46977977467318e-199	1.05219775274146e-197	444.02313630614
HESX1	-1.25485721985984	6.2133223769932	-38.4647884459825	9.56872327298637e-191	9.56872327298637e-190	425.591929021677
ZNF225	-0.945615254869865	4.90268013721166	-37.8422706336908	7.45684191517322e-187	6.77894719561202e-186	416.631055539612
MYT1L	-1.1086980122438	5.10148772632105	-37.7218829052473	4.2360309634112e-186	3.53002580284267e-185	414.894008589666
MKRN3	-0.952693288816651	5.80537409643815	-37.4251957625619	3.08005106064136e-184	2.3692700466472e-183	410.607620118934
ZNF613	-1.23144941786292	4.9602779905823	-36.9798338833295	1.94698907705188e-181	1.39070648360849e-180	404.158734931761
CIZ1	2.04439809035891	9.12113011213819	36.4816989635132	2.69619643880611e-178	1.79746429253741e-177	396.925739643597
HNF1A	-1.01744822870201	5.45867663232144	-36.3505338081215	1.81718375362377e-177	1.13573984601486e-176	395.017808213588
BNC1	-1.13858036433494	5.91632183892948	-35.4121791663707	1.60190005342179e-171	9.4229414907164e-171	381.329314934081
MEOX2	-0.7644133184738	4.40267046993011	-34.7715441290107	1.90436016357633e-167	1.05797786865351e-166	371.946874494542
SOX30	-0.701417993310061	4.63290580373283	-34.6955153949929	5.81011161507108e-167	3.05795348161636e-166	370.831535570343
TIGD6	-0.793050652310561	4.60469402792282	-34.2681474145409	3.09243540098585e-164	1.54621770049293e-163	364.555121426932
SKIL	-0.93125085025579	5.35899652627954	-32.9660373672929	6.68413272329204e-156	3.18292034442478e-155	345.366423206903
MSX2	-0.727489307873216	4.71882366671759	-32.7147381856285	2.74143381026065e-154	1.2461062773912e-153	341.653159574597
TOX	-0.722867100218266	4.66354419315685	-32.4827305323296	8.47577878148461e-153	3.68512120934113e-152	338.222480921817
WDHD1	-1.2073815617187	5.60421555686207	-31.8055647591159	1.91867950715202e-148	7.963328387124e-148	328.197204644302
ST18	-1.34229793241676	4.91196456192832	-31.8030738457868	1.990832096781e-148	7.963328387124e-148	328.160297380737
RREB1	-1.47815826470156	6.55295864363526	-31.781863737381	2.72616581782375e-148	1.0485253145476e-147	327.846024210168
ZNF506	-1.12382524757364	5.18996043263919	-30.6927049153037	2.83900094785752e-141	1.05148183253982e-140	311.691449081366
ATF4	1.63726514834037	10.9972518543495	30.6730673569331	3.80013834341139e-141	1.35719226550407e-140	311.399946122746
CHD7	-0.935756522829901	4.80132408126314	-30.6177450028474	8.64099412949001e-141	2.9796531481e-140	310.578699573957
FOXL1	-1.37470582250299	5.58977267527222	-30.5186265292714	3.76542788959802e-140	1.25514262986601e-139	309.107195705613
MATR3	1.81791809453654	9.96629604268016	30.0565545176987	3.60243989028395e-137	1.16207738396256e-136	302.245785707439
NPAS3	-0.81248561824232	5.09972609475901	-29.6296042876451	2.04845306541812e-134	6.40141582943163e-134	295.904665573391
NEUROG2	-1.03435471692008	4.76945590898736	-28.5030573746509	3.79178759798676e-127	1.14902654484447e-126	279.177244862737
ZBTB17	1.11491870968426	7.72047655101209	28.0275079127349	4.40568244989926e-124	1.29578895585272e-123	272.122552468744
ZNF780B	-0.520861244857563	4.42011531353053	-27.9644003601213	1.12351988040718e-123	3.21005680116337e-123	271.18682951884
ZNF428	1.2356629035506	8.4197576075883	27.9046142076921	2.72710691296073e-123	7.57529698044646e-123	270.300469666133
PLXND1	1.59827080240346	9.60693704306671	27.6773531368467	7.92824879712472e-122	2.14276994516884e-121	266.932309584756
PBRM1	-0.558856418571314	4.51957821058656	-27.5884876911805	2.95953261685243e-121	7.78824372855902e-121	265.615774020588
SIM1	-1.28720087261772	5.37126068866317	-27.5347327924308	6.56435926433099e-121	1.68316904213615e-120	264.819547540988
RPA4	-0.792012358956115	5.21194372666814	-27.0067195450997	1.631906123254e-117	4.07976530813499e-117	257.005205388749
ZNF345	-0.962906540389085	5.12497765705548	-26.5248422481012	2.02417339053668e-114	4.93700826960165e-114	249.886088462445
RFX4	-0.665530345948026	5.27648771803819	-26.1323662771824	6.62797916563453e-112	1.57809027753203e-111	244.09831465053
E4F1	1.47745804254215	7.37722309681597	25.4356637992255	1.88020024960965e-107	4.37255872002244e-107	233.852138568979
SOX3	-0.592873965699852	5.22791531872963	-24.9357635929583	2.87178882022542e-104	6.52679277323959e-104	226.526188204837
YOD1	-0.641233903826685	4.79594147175648	-24.87985226426	6.5105251315293e-104	1.44678336256207e-103	225.708328081419
ZNF593	1.50777922175675	8.17603610936029	24.1103408189208	4.91022323892262e-99	1.0674398345484e-98	214.486644837672
ZFX	-0.63646305992902	4.57602783324237	-23.4680824490399	5.47354879738005e-95	1.16458485050639e-94	205.176143154795
ZKSCAN5	-0.688041981396431	5.42328108613842	-22.7559048374586	1.57235144294868e-90	3.27573217280975e-90	194.92087932846
DMRT1	-0.829150616559569	5.09540185705453	-22.6491347867209	7.27762153080656e-90	1.48522888383807e-89	193.39028269296
JUNB	2.25182196735448	9.59085900591575	22.1393247773867	1.06616813828202e-86	2.13233627656405e-86	186.108823502863
SREBF1	2.19430484076452	8.96329387771497	21.8063096108675	1.2158546430383e-84	2.3840287118398e-84	181.377914361737
ZNF674	-0.27504113099037	4.29943976427096	-21.4214735902882	2.82159439713555e-82	5.42614307141451e-82	175.937728157008
ZNF682	-0.63247806563692	4.90249871979403	-21.3036813767759	1.48585838854739e-81	2.80350639348563e-81	174.278617534072
ZNF667	-0.829767206583599	5.15928212788351	-21.1392333948285	1.50355500989767e-80	2.78436112944013e-80	171.967272962063
ZNF80	-0.317703477636136	4.35234591359589	-21.1180910359565	2.02378654727856e-80	3.67961190414284e-80	171.670535924517
ZBED4	-0.89475309149918	6.27449589443355	-21.0502410279457	5.24824349161474e-80	9.37186337788346e-80	170.718907107593
IRF7	1.99367314224707	8.53734149754876	20.6650065657436	1.15173992638568e-77	2.02059636208014e-77	165.335345891202
ZNF234	-0.30265484928617	4.50371900138414	-20.5280011592824	7.77117158373773e-77	1.33985716960995e-76	163.428986999223
IRF9	1.53596756250131	10.0202367733133	19.8155315860408	1.48004328000371e-72	2.50854793220968e-72	153.589748650054
ZRSR1	-0.755209448946726	6.20328313521993	-19.4289649659294	2.94126560174425e-70	4.90210933624042e-70	148.306747919403
TOE1	0.556737318528479	8.32723269941593	19.325556999726	1.20314366394434e-69	1.97236666220384e-69	146.900532848979
ZNF668	0.806614688103984	7.14137215864241	19.1142708188518	2.11958644124529e-68	3.41868780846015e-68	144.03681082276
ZNF419	-0.944378776340244	7.40082724113592	-18.8414036471055	8.45270441932905e-67	1.34169911417921e-66	140.357817167041
ZNF43	1.21726239118536	8.00008982588314	17.8843292709523	2.90044567161783e-61	4.53194636190286e-61	127.637965413587
CREB3L2	1.60138775025227	9.75924221641164	17.7129249025319	2.75438050434098e-60	4.2375084682169e-60	125.392059833777
NCOA1	1.0141109255165	9.61650660040879	17.5590046550335	2.06111017970075e-59	3.12289421166781e-59	123.384013188176
SATB2	-0.334382341012224	4.41723831927847	-16.98261276148	3.58483314752528e-56	5.35049723511236e-56	115.940798822146
HELZ	1.07185303381638	9.33754157865336	16.8392909374578	2.24839324666456e-55	3.30646065685964e-55	114.109394940868
DEAF1	0.986501923475125	7.61825198340388	16.8122166632741	3.17777337155931e-55	4.60546865443378e-55	113.764324635784
BOLA1	1.04443211554117	7.03131591008777	15.8493655303103	5.79303769479697e-50	8.27576813542424e-50	101.684805482499
SLC4A10	-0.244657826584093	4.49701566532747	-15.764702106199	1.65002177508842e-49	2.32397433111045e-49	100.641268976342
VPS72	0.765273787149699	9.67010590903482	15.3417748575215	2.93710510642622e-47	4.0793126478142e-47	95.4758664078478
CPSF4	0.557323395792933	8.77199270004528	15.2505042611022	8.89254175902133e-47	1.21815640534539e-46	94.3717337893746
DUSP12	0.873764417985275	7.84603008660605	14.965336916798	2.76378511608439e-45	3.7348447514654e-45	90.9468718958499
ZBED1	0.656323003435276	9.17551919891351	14.801341094472	1.96034681649332e-44	2.61379575532443e-44	88.9946855288826
CAMTA1	-1.02792154155878	5.93465239650344	-14.5141233113896	5.87457331034008e-43	7.72970172413169e-43	85.6070555820986
TFCP2	0.642962234951124	8.45127432952446	14.2973788446808	7.44212873613391e-42	9.66510225471936e-42	83.0776583566534
MYB	-0.259862868120468	4.65297683642954	-13.989110622064	2.64493143581593e-40	3.39093773822555e-40	79.5212776201574
MKRN1	0.857443380586894	9.60858062197082	13.925467435557	5.49462065230064e-40	6.95521601557044e-40	78.7931707656488
PITX1	1.65739346008956	7.23087877067067	13.6764338124794	9.40984152962826e-39	1.17623019120353e-38	75.9646430119607
GMEB2	0.673577876028903	7.92504832665992	13.122351832244	4.64144912600997e-36	5.73018410618515e-36	69.7918188863016
ZNF254	-0.400359513592244	4.67619622655978	-13.0748599005601	7.83575435843524e-36	9.55579799809175e-36	69.27065937796
POU2F3	-0.445640291787024	4.74431925897883	-13.0331114504094	1.24037140528587e-35	1.49442337986249e-35	68.8135805196021
NCOR1	0.747533418573394	8.30400573882363	12.973300347421	2.39102602961929e-35	2.84645955907058e-35	68.160469883786
ZFR	-0.643794160896947	7.06578483877243	-12.8686161624889	7.50499521788389e-35	8.82940613868693e-35	67.0222855123117
ZNF586	-0.56140878954739	7.96576287005822	-12.6213966750241	1.09071191502881e-33	1.26826966863815e-33	64.3595294351764
BRPF1	-0.659569554920241	8.2469595349572	-12.2627030884875	4.9738964251657e-32	5.71712232777666e-32	60.5602021351389
ZMAT3	-0.688774307708025	7.72371678606873	-12.0942306466902	2.91353866213408e-31	3.31083938878873e-31	58.8024764527018
ZBTB43	-0.661924104934396	7.08062430087516	-11.8756689883523	2.81353080223162e-30	3.16127056430519e-30	56.5481544859568
HIST1H1C	1.84767291230034	8.98103132498788	11.7972396062433	6.30295521205248e-30	7.00328356894719e-30	55.7464543390846
FOXO3	0.830731223084248	9.98923402267527	10.0563539255692	1.3495603921942e-22	1.48303339801561e-22	38.9893912989941
ZNF142	0.245604176202286	6.52650494311098	9.94686567178636	3.64296801772503e-22	3.95974784535329e-22	38.0050685615272
