Regulon	Size	NES	p.value	FDR	Ledge
PARP1	PARP1	11026	4.04	5.46e-05	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9177 genes
HLA-A	HLA-A	11426	4	6.31e-05	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 8883 genes
SREBF1	SREBF1	12206	3.9	9.61e-05	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 7942 genes
DAP	DAP	11247	3.89	0.000101	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9664 genes
IRF9	IRF9	10924	3.89	0.000102	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9274 genes
ACP5	ACP5	10742	3.89	0.000102	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 8873 genes
NCOR1	NCOR1	8918	3.88	0.000104	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 5775 genes
IRF7	IRF7	11341	3.88	0.000106	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9296 genes
HLA-C	HLA-C	11658	3.86	0.000112	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 8322 genes
PDLIM1	PDLIM1	10583	3.86	0.000114	0.00274	RPS15, CYLD, RPS2, ARHGEF12, + 6874 genes
RPS19	RPS19	11578	3.85	0.00012	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9299 genes
ZBTB17	ZBTB17	11578	3.84	0.000121	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 9517 genes
E4F1	E4F1	11843	3.84	0.000122	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 8949 genes
RBM9	RBM9	10792	3.83	0.000127	0.00274	TUBA1C, RPGR, TUBA1B, RPS15, + 6860 genes
ZKSCAN4	ZKSCAN4	4975	3.83	0.00013	0.00274	RPS15, CYLD, RBM34, HNRNPK, + 2751 genes
SUPT6H	SUPT6H	11963	3.83	0.000131	0.00274	TUBA1C, RPGR, TUBA1B, SCN3A, + 7307 genes
