Input	Match type	Approved symbol	Approved name	HGNC ID	Location
IRF9	Approved symbol	IRF9	interferon regulatory factor 9	HGNC:6131	14q11.2
IRF7	Approved symbol	IRF7	interferon regulatory factor 7	HGNC:6122	11p15.5
SREBF1	Approved symbol	SREBF1	sterol regulatory element binding transcription factor 1	HGNC:11289	17p11.2
NCOR1	Approved symbol	NCOR1	nuclear receptor corepressor 1	HGNC:7672	17p11.2
ZBTB17	Approved symbol	ZBTB17	zinc finger and BTB domain containing 17	HGNC:12936	1p36.13
E4F1	Approved symbol	E4F1	E4F transcription factor 1	HGNC:3121	16p13.3
ZKSCAN4	Approved symbol	ZKSCAN4	zinc finger with KRAB and SCAN domains 4	HGNC:13854	6p21
CREB3L2	Approved symbol	CREB3L2	cAMP responsive element binding protein 3-like 2	HGNC:23720	7q34
JUNB	Approved symbol	JUNB	jun B proto-oncogene	HGNC:6205	19p13.13
FOXE1	Approved symbol	FOXE1	forkhead box E1 (thyroid transcription factor 2)	HGNC:3806	9q22
HNF1A	Approved symbol	HNF1A	HNF1 homeobox A	HGNC:11621	12q24.31
FOXL1	Approved symbol	FOXL1	forkhead box L1	HGNC:3817	16q24
POU4F1	Approved symbol	POU4F1	POU class 4 homeobox 1	HGNC:9218	13q31.1
ZNF157	Approved symbol	ZNF157	zinc finger protein 157	HGNC:12942	Xp11.2
MEOX2	Approved symbol	MEOX2	mesenchyme homeobox 2	HGNC:7014	7p22.1-p21.3
HESX1	Approved symbol	HESX1	HESX homeobox 1	HGNC:4877	3p14.3
ZNF80	Approved symbol	ZNF80	zinc finger protein 80	HGNC:13155	3q13.31
SOX3	Approved symbol	SOX3	SRY (sex determining region Y)-box 3	HGNC:11199	Xq27.1
ZFX	Approved symbol	ZFX	zinc finger protein, X-linked	HGNC:12869	Xp22.1-p21.3
POU2F3	Approved symbol	POU2F3	POU class 2 homeobox 3	HGNC:19864	11q23.3
GMEB2	Approved symbol	GMEB2	glucocorticoid modulatory element binding protein 2	HGNC:4371	20q13.33
ZNF668	Approved symbol	ZNF668	zinc finger protein 668	HGNC:25821	16p11.2
ZNF142	Approved symbol	ZNF142	zinc finger protein 142	HGNC:12927	2q35
DEAF1	Approved symbol	DEAF1	DEAF1 transcription factor	HGNC:14677	11p15.5
ATF4	Approved symbol	ATF4	activating transcription factor 4	HGNC:786	22q13.1
FOXO3	Approved symbol	FOXO3	forkhead box O3	HGNC:3821	6q21
TFCP2	Approved symbol	TFCP2	transcription factor CP2	HGNC:11748	12q13
FOXK2	Approved symbol	FOXK2	forkhead box K2	HGNC:6036	17q25
PITX1	Approved symbol	PITX1	paired-like homeodomain 1	HGNC:9004	5q31.1
HOXA1	Approved symbol	HOXA1	homeobox A1	HGNC:5099	7p15.2
DMRT1	Approved symbol	DMRT1	doublesex and mab-3 related transcription factor 1	HGNC:2934	9p24.3
SOX30	Approved symbol	SOX30	SRY (sex determining region Y)-box 30	HGNC:30635	5q33
ST18	Approved symbol	ST18	suppression of tumorigenicity 18, zinc finger	HGNC:18695	8q11.23
RREB1	Approved symbol	RREB1	ras responsive element binding protein 1	HGNC:10449	6p25
ZKSCAN5	Approved symbol	ZKSCAN5	zinc finger with KRAB and SCAN domains 5	HGNC:12867	7q22
RFX4	Approved symbol	RFX4	regulatory factor X, 4 (influences HLA class II expression)	HGNC:9985	12q24
ESR2	Approved symbol	ESR2	estrogen receptor 2 (ER beta)	HGNC:3468	14q21-q22
SATB2	Approved symbol	SATB2	SATB homeobox 2	HGNC:21637	2q33.1
MSX2	Approved symbol	MSX2	msh homeobox 2	HGNC:7392	5q35.2
PBRM1	Approved symbol	PBRM1	polybromo 1	HGNC:30064	3p21
SIM1	Approved symbol	SIM1	single-minded family bHLH transcription factor 1	HGNC:10882	6q16.3
MYT1L	Approved symbol	MYT1L	myelin transcription factor 1-like	HGNC:7623	2p25.3
ZNF506	Approved symbol	ZNF506	zinc finger protein 506	HGNC:23780	19p13.11
