Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AAF	Unmatched				
AFP1	Unmatched				
ANF	Synonyms	HESX1	HESX homeobox 1	HGNC:4877	3p14.3
AP-1	Synonyms	FOS	FBJ murine osteosarcoma viral oncogene homolog	HGNC:3796	14q24.3
AP-1	Synonyms	JUN	jun proto-oncogene	HGNC:6204	1p32-p31
AP-1	Synonyms	JUND	jun D proto-oncogene	HGNC:6206	19p13.2
AP-1	Synonyms	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	HGNC:3797	19q13.3
AP-2alphaA	Unmatched				
AP-4	Synonyms	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	HGNC:11745	16p13
AP-5	Synonyms	AP5B1	"adaptor-related protein complex 5, beta 1 subunit"	HGNC:25104	11q13.1
AP-3	Unmatched				
1	Unmatched				
2	Unmatched				
AR	Approved symbol	AR	androgen receptor	HGNC:644	Xq12
AR	Synonyms	AKR1B1	"aldo-keto reductase family 1, member B1 (aldose reductase)"	HGNC:381	7q35
COUP-TF2	Unmatched				
ATBF1-B	Unmatched				
ATF	Unmatched				
ATF-a	Unmatched				
ATF-adelta	Unmatched				
B-Myb	Synonyms	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2	HGNC:7548	20q13.1
BP1	Synonyms	DLX4	distal-less homeobox 4	HGNC:2917	17q21.33
BP2	Unmatched				
Pax-5	Unmatched				
B-TFIID	Unmatched				
gammaCAAT	Unmatched				
gammaCAC1	Unmatched				
gammaCAC2	Unmatched				
CACCC-binding	Unmatched				
factor	Unmatched				
alpha-CBF	Unmatched				
CBF	Unmatched				
4	Unmatched				
5	Unmatched				
NFI/CTF	Unmatched				
CCK-1a	Unmatched				
CCK-1b	Unmatched				
CUTL1	Previous symbol	CUX1	cut-like homeobox 1	HGNC:2557	7q22.1
CD28RC	Unmatched				
C/EBPalpha	Unmatched				
c-Ets-1	Unmatched				
c-Ets-2	Unmatched				
CFF	Synonyms	HCFC1	host cell factor C1	HGNC:4839	Xq28
c-Fos	Synonyms	FOS	FBJ murine osteosarcoma viral oncogene homolog	HGNC:3796	14q24.3
c-Jun	Synonyms	JUN	jun proto-oncogene	HGNC:6204	1p32-p31
c-Myb	Synonyms	MYB	v-myb avian myeloblastosis viral oncogene homolog	HGNC:7545	6q22-q23
C-Myc	Synonyms	MYC	v-myc avian myelocytomatosis viral oncogene homolog	HGNC:7553	8q24
CoS	Unmatched				
COUP-TF1	Unmatched				
NF-Y	Unmatched				
CP2a	Unmatched				
NF-YB	Synonyms	NFYB	"nuclear transcription factor Y, beta"	HGNC:7805	12q22-q23
CPE	Approved symbol	CPE	carboxypeptidase E	HGNC:2303	4q32.3
binding	Unmatched				
protein	Unmatched				
CREB	Unmatched				
deltaCREB	Unmatched				
ATF-2	Unmatched				
c-Rel	Synonyms	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	HGNC:9954	2p13-p12
CRF	Synonyms	CRH	corticotropin releasing hormone	HGNC:2355	8q13
