# Annotation file compilation of the Affymetrix Human Genome U133 Set annotation data (chip HGU133A) http://bioconductor.org/packages/release/data/annotation/html/hgu133a.db.html
# and the web tool g:Convert http://biit.cs.ut.ee/gprofiler/gconvert.cgi
#
# List start ->
affy	genesym
1007_s_at	DDR1
1053_at	RFC2
117_at	HSPA7
121_at	PAX8
1255_g_at	GUCA1A
1294_at	UBA7
1316_at	THRA
1320_at	PTPN21
1405_i_at	CCL5
1431_at	CYP2E1
1438_at	EPHB3
1487_at	ESRRA
1494_f_at	CYP2A6
1598_g_at	GAS6
160020_at	MMP14
1729_at	TRADD
1773_at	PLD1
177_at	CHURC1-FNTB
179_at	DTX2P1-UPK3BP1-PMS2P11
1861_at	BAD
200000_s_at	PRPF8
200001_at	CAPNS1
200002_at	RPL35
200003_s_at	RPL28
200004_at	EIF4G2
200005_at	EIF3D
200006_at	PARK7
200007_at	SRP14
200008_s_at	GDI2
200009_at	GDI2
200010_at	RPL11
200011_s_at	ARF3
200012_x_at	RPL21P119
200013_at	RPL24
200014_s_at	HNRNPC
200015_s_at	SEPT2
200016_x_at	HNRNPA1P7
200017_at	RPS27A
200018_at	RPS13
200019_s_at	FAU
200020_at	TARDBP
200021_at	CFL1
200022_at	RPL18
200023_s_at	EIF3FP3
200024_at	RPS5
200025_s_at	RPL27
200026_at	RPL34
200027_at	NARS
200028_s_at	STARD7
200029_at	RPL19
200030_s_at	SLC25A3
200031_s_at	RPS11
200032_s_at	TIPIN
200033_at	DDX5
200034_s_at	RPL6
200035_at	CTDNEP1
200036_s_at	RPL10A
200037_s_at	CBX3
200038_s_at	RPL17
200039_s_at	PSMB2
200040_at	KHDRBS1
200041_s_at	DDX39B
200042_at	RTCB
200043_at	ERH
200044_at	SRSF9
200045_at	ABCF1
200046_at	DAD1
200047_s_at	YY1
200048_s_at	JTB
200049_at	KAT7
200050_at	ZNF146
200051_at	SART1
200052_s_at	ILF2
200053_at	SPAG7
200054_at	ZPR1
200055_at	TAF10
200056_s_at	C1D
200057_s_at	NONO
200058_s_at	SNRNP200
200059_s_at	RHOA
200060_s_at	RNPS1
200061_s_at	RPS24
200062_s_at	RPL30
200063_s_at	NPM1P6
200064_at	HSP90AB1
200065_s_at	ARF1
200066_at	IK
200067_x_at	SNX3
200068_s_at	CANX
200069_at	SART3
200070_at	CNPPD1
200071_at	SMNDC1
200072_s_at	HNRNPM
200073_s_at	HNRNPD
200074_s_at	RPL14
200075_s_at	GUK1
200076_s_at	KXD1
200077_s_at	OAZ1
200078_s_at	ATP6V0B
200079_s_at	KARS
200080_s_at	H3F3A
200081_s_at	RPS6
200082_s_at	RPS7P11
200083_at	USP22
200084_at	C11ORF58
200085_s_at	TCEB2
200086_s_at	COX4I1
200087_s_at	TMED2
200088_x_at	RPL12P4
200089_s_at	RPL4P5
200090_at	FNTA
200091_s_at	RPS25
200092_s_at	RPL37
200093_s_at	HINT1
200094_s_at	EEF2
200095_x_at	RPS10-NUDT3
200096_s_at	ATP6V0E1
200097_s_at	HNRNPK
200098_s_at	ANAPC5
200099_s_at	RPS3AP6
200593_s_at	HNRNPU
200594_x_at	HNRNPU
200595_s_at	EIF3A
200596_s_at	EIF3A
200597_at	EIF3A
200598_s_at	HSP90B1
200599_s_at	HSP90B1
200600_at	MSN
200601_at	ACTN4
200602_at	APP
200603_at	PRKAR1A
200604_s_at	PRKAR1A
200605_s_at	PRKAR1A
200606_at	DSP
200607_s_at	RAD21
200608_s_at	RAD21
200609_s_at	WDR1
200610_s_at	NCL
200611_s_at	WDR1
200612_s_at	AP2B1
200613_at	AP2M1
200614_at	CLTC
200615_s_at	AP2B1
200616_s_at	MLEC
200617_at	MLEC
200618_at	LASP1
200619_at	SF3B2
200620_at	TMEM59
200621_at	CSRP1
200622_x_at	CALM3
200623_s_at	CALM3
200624_s_at	MATR3
200625_s_at	CAP1
200626_s_at	MATR3
200627_at	PTGES3
200628_s_at	WARS
